season,team_id,team_name,team_abbrev,division_id,is_my_team,wins,losses,ties,points_for,points_against,playoff_seed,final_rank
2024,8,"Sahit, I don't have kik, stop",SDHK,1,False,4,10,0,1421.6799999999998,1650.52,10,10
2024,9,Courtland Trailblazers,Amon,1,False,6,8,0,1675.7599999999998,1741.8800000000003,7,7
2024,10,Avengers: Saquontumania,TAI,1,False,6,8,0,1725.88,1815.18,5,5
2025,1,Phil 1010 Prof: Hurts MTW 10-12,L,0,False,5,9,0,1578.8,1704.64,10,7
2025,2,Jauantanomo Bay,JTB,0,False,6,8,0,1582.28,1671.86,8,10
2025,3,Sahit on my face🥵💩,SU,0,False,8,6,0,1550.42,1639.28,3,3
2025,4,OhPlzMrsRobinson,OPR,0,False,5,9,0,1606.78,1674.64,9,8
2025,5,Free Win,SG,0,False,10,4,0,1903.06,1640.06,1,1
2025,6,Ladd's McCaffrican Boutte,LMB,1,False,7,7,0,1673.2199999999998,1706.88,6,6
2025,7,Padma's Pack,KAST,1,True,9,5,0,1805.2,1596.14,2,2
2025,8,"Sahit, I don't have kik, stop",SDHK,1,False,7,7,0,1678.8600000000004,1725.08,5,4
2025,9,Karma is the guy on the Chiefs,Amon,1,False,6,8,0,1608.9999999999998,1776.8200000000002,7,9
2025,10,Boswell That Ends Well,TAI,1,False,7,7,0,1853.36,1705.5800000000002,4,5
