season,team_id,overall_pick,round,gsis_id,player_name,position,adp_rank,proj_source,proj_season_ppr,adp_curve_ppr,actual_season_ppr
2018,9,52,6,00-0029293,Marvin Jones Jr.,WR,54.0,model,181.62274129837832,168.65154185652614,115.8
2018,8,53,6,00-0024389,Delanie Walker,TE,,model,155.06362863237624,78.92293792800211,9.2
2018,4,54,6,00-0030431,Robert Woods,WR,77.0,model,131.29236577535676,149.92335854538817,265.6
2018,7,55,6,00-0033857,JuJu Smith-Schuster,WR,43.0,model,248.1737122829096,180.67443424624966,296.9
2018,2,56,6,00-0028237,Chris Hogan,WR,55.0,model,98.05816386911371,167.6830375427734,106.2
2018,3,57,6,00-0024333,Stephen Gostkowski,K,,slot_average,,,
2018,1,58,6,00-0026986,Michael Crabtree,WR,62.0,model,153.04492472361093,161.3596901143526,132.7
2018,5,59,6,00-0032426,Alex Collins,RB,37.0,model,101.83062917167844,150.2141474062518,108.6
2018,10,60,6,00-0027685,Emmanuel Sanders,WR,65.0,model,149.80329840162824,158.86558814899243,198.22
2018,10,61,7,00-0025418,Greg Olsen,TE,56.0,model,91.66796241862065,160.5881245470517,80.10000000000001
2018,5,62,7,00-0033871,Corey Davis,WR,60.0,model,129.09003379186902,163.09040267942234,183.6
2018,1,63,7,00-0032764,Derrick Henry,RB,40.0,model,97.36249266611104,146.95429770817938,201.36
2018,3,64,7,,LA D/ST,D/ST,,slot_average,,,
2018,2,65,7,00-0028087,Dion Lewis,RB,57.0,model,120.62120883240354,132.14511284269733,160.7
2018,7,66,7,00-0033881,Evan Engram,TE,63.0,model,151.50524977542105,154.15893247134537,126.3
2018,4,67,7,00-0027981,Kyle Rudolph,TE,71.0,model,143.31833869273797,147.6335552728077,151.4
2018,8,68,7,,JAX D/ST,D/ST,,slot_average,,,
2018,9,69,7,00-0027696,Jimmy Graham,TE,53.0,model,125.07465662850768,163.59356485670716,130.6
2018,6,70,7,00-0029604,Kirk Cousins,QB,86.0,model,296.6122343393839,235.45310295866796,283.12
2018,6,71,8,,BAL D/ST,D/ST,,slot_average,,,
2018,9,72,8,00-0029664,Josh Gordon,WR,50.0,model,114.92578007125836,172.71369985091928,130.0
2018,8,73,8,00-0029597,Justin Tucker,K,,slot_average,,,
2018,4,74,8,,PHI D/ST,D/ST,,slot_average,,,
2018,7,75,8,00-0029621,Greg Zuerlein,K,,slot_average,,,
2018,2,76,8,00-0029615,Lamar Miller,RB,46.0,model,204.4647702207268,141.11035315468848,172.6
2018,3,77,8,00-0032055,Devin Funchess,WR,79.0,model,144.0555606502179,148.56989966575327,122.9
2018,1,78,8,00-0030472,Jordan Reed,TE,81.0,model,100.14161171256308,140.44092357634608,119.8
2018,5,79,8,00-0028002,Randall Cobb,WR,95.0,model,152.16008534709766,138.8353653526152,86.3
2018,10,80,8,,LAC D/ST,D/ST,,slot_average,,,
2018,10,81,9,00-0027966,Mark Ingram II,RB,51.0,model,182.26208149109016,136.7958527613384,142.5
2018,5,82,9,00-0030288,Rex Burkhead,RB,66.0,model,109.98042428762268,126.01509947878228,49.7
2018,1,83,9,00-0026498,Matthew Stafford,QB,94.0,model,272.88333813385657,225.61741260281514,212.18
2018,3,84,9,00-0032058,Tevin Coleman,RB,68.0,model,105.12874405465008,124.76684077230371,193.6
