gsis_id,position,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle
00-0035659,WR,6-0,208.0,4.35,18.0,37.5,125.0,7.01,4.15
00-0035660,TE,6-5,252.0,4.67,19.0,36.5,122.0,7.21,4.25
00-0035657,RB,5-10,216.0,4.57,16.0,37.0,121.0,,
00-0035703,WR,6-4,220.0,4.42,12.0,43.5,140.0,6.77,4.07
00-0035689,TE,6-4,254.0,,16.0,34.5,,7.12,4.27
00-0035251,QB,6-2,217.0,4.84,,34.0,112.0,7.09,4.28
00-0034972,RB,5-11,221.0,4.67,22.0,35.0,127.0,7.13,4.29
00-0035529,WR,6-5,227.0,4.48,18.0,36.0,128.0,,
00-0035652,QB,6-4,213.0,4.73,,30.5,116.0,7.2,4.2
00-0035256,RB,5-9,200.0,,18.0,,,,
00-0034975,RB,5-10,198.0,4.4,21.0,40.0,130.0,,
00-0035589,WR,6-1,214.0,4.42,20.0,37.0,127.0,7.32,4.15
00-0035259,TE,6-3,267.0,4.89,24.0,31.0,117.0,7.18,4.38
00-0035217,RB,5-10,224.0,4.66,16.0,29.5,119.0,7.07,4.33
00-0035590,WR,6-1,199.0,4.58,13.0,30.5,124.0,7.22,4.28
00-0035261,RB,6-0,210.0,4.52,13.0,35.0,121.0,,
00-0035264,QB,6-2,218.0,4.81,,31.0,110.0,7.28,4.33
00-0034981,TE,6-4,253.0,4.66,22.0,36.5,121.0,7.16,4.11
00-0035268,RB,5-11,220.0,4.45,22.0,30.0,114.0,7.02,4.29
00-0035222,TE,6-8,265.0,4.9,12.0,29.5,110.0,7.4,4.53
00-0034983,WR,5-10,184.0,4.59,7.0,35.0,116.0,6.8,4.19
00-0035273,RB,6-1,228.0,4.58,19.0,29.5,114.0,7.53,4.31
00-0035275,RB,5-11,208.0,4.47,21.0,30.0,116.0,7.37,4.63
00-0035282,QB,6-1,224.0,4.62,,33.5,118.0,6.65,4.05
00-0035283,QB,6-4,222.0,,,,,,
00-0035535,WR,6-1,190.0,4.39,11.0,40.5,135.0,7.0,4.15
00-0035287,WR,6-1,201.0,4.6,14.0,30.0,117.0,7.28,4.23
00-0034988,TE,6-5,255.0,4.92,15.0,32.0,108.0,7.08,4.47
00-0035289,QB,6-1,225.0,4.97,,33.5,116.0,7.14,4.45
00-0035291,RB,5-8,206.0,4.51,19.0,33.0,121.0,7.44,4.44
00-0035592,WR,6-2,215.0,4.58,15.0,36.5,126.0,,
00-0035537,RB,,,,,,,,
00-0035593,WR,,,,,,,,
00-0034995,RB,5-11,212.0,4.57,17.0,36.0,130.0,7.0,4.16
00-0035146,QB,6-0,202.0,4.57,,33.0,115.0,7.09,4.12
00-0035296,WR,,,,,,,,
00-0035594,RB,5-10,201.0,4.48,17.0,39.5,130.0,7.07,4.31
00-0035297,WR,6-2,221.0,4.6,18.0,32.5,117.0,7.15,4.32
00-0035298,WR,,,,,,,,
00-0035299,RB,6-0,224.0,,25.0,,,,
00-0035148,RB,,,,,,,,
00-0035303,RB,5-10,211.0,4.47,22.0,33.5,,,
00-0035304,RB,,,,,,,,
00-0035596,RB,,,,,,,,
00-0035539,TE,6-3,244.0,4.91,19.0,28.0,,7.45,4.43
00-0035308,TE,6-4,251.0,4.83,17.0,,,,
00-0035309,TE,,,,,,,,
00-0035310,RB,,,,,,,,
00-0035311,RB,5-9,205.0,4.58,24.0,35.5,118.0,7.19,4.27
00-0035597,WR,,,,,,,,
00-0035313,WR,5-11,184.0,4.55,,36.5,117.0,6.96,
00-0035002,WR,6-1,197.0,4.46,12.0,36.5,122.0,,4.29
00-0035006,WR,,,,,,,,
00-0035320,TE,6-4,240.0,4.56,,29.0,113.0,7.2,4.4
00-0036442,QB,6-3,221.0,,,,,,
00-0036212,QB,6-0,217.0,,,,,,
00-0036355,QB,6-6,236.0,4.68,,35.5,123.0,7.06,4.46
00-0036357,WR,5-11,188.0,4.27,,42.0,131.0,,
00-0036407,WR,6-1,193.0,4.45,,35.0,120.0,,4.53
00-0036358,WR,6-2,198.0,4.5,11.0,34.5,124.0,,
00-0036387,WR,5-11,206.0,4.47,17.0,42.0,138.0,7.31,4.46
00-0036322,WR,6-1,202.0,4.43,,37.5,126.0,,
00-0036261,WR,6-0,205.0,4.5,11.0,40.0,128.0,,
00-0036264,QB,6-4,224.0,4.74,,35.5,118.0,7.21,4.52
00-0036360,RB,5-7,207.0,4.6,15.0,39.5,123.0,,
00-0036410,WR,6-4,216.0,,,,,,
00-0036252,WR,6-4,223.0,4.52,13.0,36.5,121.0,6.96,4.14
00-0036275,RB,5-8,212.0,4.48,,35.5,121.0,,
00-0036223,RB,5-10,226.0,4.39,17.0,36.0,123.0,7.01,4.24
00-0036268,WR,6-1,227.0,4.58,17.0,,,,
00-0036290,TE,6-6,262.0,4.7,,37.0,123.0,7.44,4.41
00-0036412,WR,5-9,178.0,,15.0,,,,
00-0036326,WR,6-4,238.0,4.42,19.0,40.5,126.0,,
00-0036414,RB,5-10,217.0,4.47,20.0,35.5,122.0,,4.42
00-0036389,QB,6-1,222.0,4.59,,35.0,125.0,,
00-0036158,RB,5-9,209.0,,23.0,,,,
00-0036415,WR,6-1,200.0,,,,,,
00-0036255,WR,6-3,207.0,4.38,16.0,38.5,131.0,6.66,4.43
00-0036265,RB,6-0,247.0,4.53,23.0,41.0,131.0,7.19,
00-0036328,RB,,,,,,,,
00-0036450,RB,5-10,214.0,4.51,,32.0,117.0,,
00-0036364,WR,5-11,204.0,,13.0,,,,
00-0036365,WR,6-3,212.0,,,,,,
00-0036251,RB,5-9,223.0,4.65,19.0,33.0,,,4.37
00-0036194,TE,6-3,257.0,4.73,16.0,30.5,115.0,,
00-0036331,WR,5-10,200.0,4.39,,35.5,123.0,7.13,4.2
00-0036297,RB,5-10,203.0,4.41,20.0,37.0,125.0,,
00-0036332,TE,6-2,242.0,4.72,25.0,35.5,115.0,7.15,4.35
00-0036225,TE,6-4,253.0,4.71,21.0,34.0,125.0,7.07,4.19
00-0036422,TE,6-5,255.0,4.8,18.0,34.5,114.0,6.78,4.27
00-0036370,RB,5-11,212.0,4.49,23.0,31.0,121.0,6.95,4.28
00-0036232,TE,6-5,243.0,4.73,13.0,32.5,110.0,7.41,4.37
00-0036423,TE,6-5,258.0,4.49,,,,,
00-0036269,RB,5-11,216.0,4.62,22.0,35.0,118.0,7.13,4.31
00-0036226,QB,6-6,231.0,4.89,,27.5,110.0,7.5,4.75
00-0036336,RB,5-8,208.0,4.44,,29.5,116.0,,
00-0036301,QB,6-4,229.0,4.89,,29.0,112.0,7.51,4.64
00-0036196,WR,,,,,,,,
00-0036244,TE,6-7,252.0,4.77,18.0,32.5,109.0,7.15,4.46
00-0036424,TE,6-4,245.0,4.66,21.0,33.5,116.0,7.25,4.28
00-0036340,WR,6-4,223.0,4.6,22.0,36.0,127.0,7.33,4.55
00-0036425,RB,5-10,217.0,4.58,,33.5,119.0,7.18,4.32
00-0036377,WR,6-0,224.0,4.47,21.0,38.0,123.0,,
00-0036427,WR,6-1,206.0,,,,,,
00-0036254,WR,6-6,222.0,,17.0,,,,
00-0036277,WR,6-1,202.0,4.73,23.0,38.5,124.0,7.2,4.33
00-0036197,QB,6-2,219.0,5.01,,30.0,111.0,7.27,4.51
00-0036398,WR,6-1,189.0,4.43,,38.5,122.0,7.07,4.21
00-0036308,WR,6-2,198.0,4.45,,36.0,121.0,7.28,4.62
00-0036278,RB,,,,,,,,
00-0036309,WR,5-10,176.0,4.38,9.0,37.0,124.0,,
00-0036345,WR,5-11,203.0,4.48,18.0,37.5,123.0,7.0,4.35
00-0036233,WR,6-2,212.0,4.48,,44.5,139.0,,
00-0036312,QB,6-6,224.0,,,,,,
00-0036429,TE,6-5,244.0,4.78,21.0,34.5,120.0,7.18,4.46
00-0036271,WR,6-0,185.0,4.35,,36.5,125.0,7.28,4.36
00-0036133,WR,5-11,201.0,,20.0,34.5,,7.27,4.4
00-0036250,TE,,,,,,,,
00-0036165,WR,6-4,210.0,4.61,9.0,36.5,124.0,7.01,4.12
00-0036228,WR,6-4,225.0,4.48,15.0,36.0,132.0,7.28,4.38
00-0036247,WR,6-0,197.0,4.46,16.0,36.5,124.0,7.05,4.26
00-0036259,WR,6-3,215.0,4.72,,29.0,119.0,,
00-0036382,WR,6-0,196.0,4.6,17.0,32.5,114.0,,
00-0036383,RB,5-9,207.0,4.57,12.0,39.0,122.0,6.97,4.25
,QB,6-3,215.0,4.58,,36.0,121.0,7.13,4.52
00-0036384,QB,,,,,,,,
00-0036433,QB,,,,,,,,
00-0036279,QB,6-4,235.0,4.81,,28.5,108.0,7.26,4.48
00-0036435,RB,5-8,188.0,4.42,20.0,37.5,120.0,,
00-0036245,RB,,,,,,,,
00-0036438,TE,6-5,248.0,4.66,,36.5,123.0,7.51,4.62
00-0036439,WR,6-2,209.0,4.46,13.0,39.5,126.0,,
00-0036971,QB,6-5,213.0,,,,,,
00-0037013,QB,6-2,214.0,,,,,,
00-0037012,QB,6-3,224.0,,,,,,
00-0036970,TE,6-5,245.0,4.44,22.0,33.5,129.0,7.12,4.3
00-0036900,WR,6-0,201.0,4.34,,41.0,132.0,6.96,3.99
00-0036613,WR,,,,,,,,
00-0036912,WR,,,,,,,,
00-0036945,QB,6-2,227.0,4.45,,,,,
00-0036972,QB,6-2,217.0,4.72,,32.0,116.0,7.04,4.39
00-0036913,WR,5-11,193.0,4.39,9.0,39.5,136.0,6.88,4.25
00-0036893,RB,,,,,,,,
00-0036973,RB,5-10,215.0,4.45,18.0,33.5,128.0,,
00-0036550,WR,6-0,190.0,4.39,,36.0,123.0,,
00-0036980,WR,,,4.35,17.0,36.0,121.0,6.63,4.07
00-0036997,RB,5-9,212.0,4.55,22.0,36.0,123.0,6.97,4.09
00-0036936,WR,5-7,180.0,4.28,,42.5,,6.65,4.06
00-0036894,TE,6-5,251.0,,26.0,,,,
00-0036620,WR,5-8,190.0,4.38,,35.0,124.0,6.93,4.22
00-0036849,WR,5-8,155.0,4.42,,33.0,117.0,6.89,4.14
00-0036955,WR,6-2,205.0,4.4,19.0,39.0,125.0,,
00-0036928,QB,6-5,236.0,5.1,,31.5,113.0,7.08,4.6
00-0036946,QB,,,,,,,,
00-0036898,QB,6-3,217.0,4.82,,32.0,110.0,6.95,4.4
00-0036988,WR,,,,,,,,
00-0037004,TE,,,,,,,,
00-0036626,WR,6-0,189.0,4.46,18.0,35.0,128.0,6.87,4.35
00-0037005,TE,6-3,241.0,4.6,20.0,36.5,122.0,,
00-0036991,WR,5-9,212.0,4.52,19.0,33.0,121.0,7.07,4.31
00-0036984,RB,6-0,215.0,4.57,,37.0,125.0,6.83,4.28
00-0036554,WR,6-4,215.0,4.43,14.0,37.5,125.0,6.78,4.29
00-0036999,WR,6-0,186.0,4.27,,32.0,123.0,7.13,4.25
00-0037011,TE,6-4,247.0,,,,,,
00-0036924,RB,5-7,201.0,4.5,16.0,34.0,119.0,6.81,3.98
00-0036627,WR,6-1,208.0,4.43,,35.0,,7.09,4.26
00-0036963,WR,5-11,197.0,4.51,20.0,38.5,127.0,6.88,4.17
00-0036842,RB,,,,,,,,
00-0036875,RB,5-11,231.0,4.64,15.0,31.5,112.0,7.09,4.15
00-0036628,TE,6-5,250.0,4.84,19.0,31.5,120.0,6.85,4.35
00-0036555,RB,6-0,210.0,4.48,20.0,36.0,120.0,7.24,4.26
00-0036876,TE,,,,,,,,
00-0036877,WR,5-7,174.0,4.47,,35.5,122.0,6.66,3.98
00-0036630,WR,5-11,194.0,4.48,11.0,33.0,112.0,6.97,4.25
00-0036929,QB,6-0,211.0,4.65,,32.5,115.0,6.99,4.19
00-0036918,WR,6-5,219.0,4.39,15.0,40.5,133.0,6.54,4.31
00-0036887,TE,6-5,251.0,4.79,22.0,36.5,118.0,7.14,4.36
00-0036556,TE,6-2,247.0,4.64,17.0,31.0,116.0,,
00-0036919,RB,,201.0,4.42,21.0,,,,
00-0036635,WR,6-0,181.0,4.43,,37.0,124.0,7.0,4.2
00-0036637,TE,6-3,240.0,4.55,15.0,35.0,115.0,6.83,4.37
00-0036640,TE,6-6,245.0,4.58,17.0,37.5,117.0,6.95,4.19
00-0036646,WR,6-3,222.0,4.44,16.0,34.5,120.0,6.78,4.26
00-0036647,WR,6-0,204.0,4.53,16.0,36.5,128.0,7.03,4.21
00-0036565,RB,,,,,,,,
00-0036951,WR,6-0,201.0,4.56,19.0,34.5,117.0,7.05,4.25
00-0036567,RB,5-10,201.0,4.38,17.0,37.5,128.0,6.94,4.19
00-0036569,RB,5-10,218.0,4.62,17.0,34.5,118.0,7.51,4.48
00-0036650,RB,,,4.62,,30.0,,6.96,
00-0036857,RB,5-11,211.0,4.5,20.0,40.5,127.0,6.83,4.12
00-0036571,WR,5-10,180.0,4.48,,33.0,122.0,6.76,4.14
00-0036572,WR,,,,,,,,
00-0036652,WR,6-2,217.0,4.36,,34.0,124.0,7.38,4.38
00-0036858,WR,6-1,226.0,4.48,29.0,39.5,125.0,7.0,4.14
00-0036654,RB,5-8,189.0,4.55,,,,,
00-0036906,RB,5-8,210.0,4.46,22.0,33.0,115.0,6.96,4.31
00-0036879,QB,6-1,220.0,4.84,,36.5,114.0,7.15,4.44
00-0036657,WR,6-3,211.0,4.49,12.0,37.0,124.0,7.2,4.43
00-0036907,WR,5-10,190.0,4.59,12.0,34.0,121.0,7.38,4.38
00-0036482,WR,,,,,,,,
00-0036860,RB,5-10,204.0,4.49,22.0,38.0,122.0,6.71,4.12
00-0036536,WR,6-0,187.0,4.44,18.0,35.5,125.0,6.81,4.27
00-0036578,RB,5-11,228.0,4.58,19.0,39.5,120.0,7.2,4.27
00-0036862,WR,6-2,220.0,,13.0,,,,
00-0036939,WR,6-0,210.0,4.44,21.0,39.5,129.0,7.42,4.41
00-0036669,RB,5-10,214.0,4.51,22.0,36.0,122.0,7.13,4.35
00-0036670,RB,5-10,206.0,4.57,13.0,31.0,115.0,7.38,4.38
00-0036671,WR,,,4.54,14.0,31.0,114.0,,4.19
00-0037238,WR,6-4,219.0,,,,,,
00-0037740,WR,6-0,183.0,4.38,,36.0,123.0,,4.36
00-0037239,WR,6-0,187.0,4.39,,32.0,124.0,,
00-0037240,WR,6-2,179.0,,,,,,
00-0037741,WR,5-11,178.0,4.43,,36.0,121.0,7.28,
00-0037742,WR,6-2,225.0,4.55,,33.0,122.0,7.28,
00-0038102,QB,6-3,217.0,4.73,,33.5,121.0,,4.29
00-0038124,WR,6-4,208.0,4.36,,38.5,136.0,,
00-0038120,RB,5-11,217.0,4.39,,40.0,126.0,,
00-0038134,RB,5-9,211.0,4.38,,34.0,122.0,,
00-0038117,WR,5-8,178.0,4.44,,34.5,118.0,,
00-0037614,WR,5-11,187.0,,,,,,
00-0038104,WR,6-2,181.0,4.28,,36.5,130.0,,
00-0037247,WR,6-3,195.0,4.47,,33.0,125.0,,
00-0037664,WR,6-3,211.0,4.41,,40.5,129.0,7.13,4.28
00-0038090,WR,5-10,195.0,4.41,,34.5,125.0,7.13,4.32
00-0037744,TE,6-4,246.0,,18.0,33.0,117.0,,
00-0037248,RB,5-11,199.0,4.42,,33.0,124.0,,
00-0037745,WR,6-0,204.0,4.31,,33.0,121.0,,
00-0037755,TE,6-7,259.0,4.61,24.0,,,,
00-0038122,QB,6-3,211.0,4.52,,36.0,127.0,7.15,4.29
00-0037252,TE,6-4,243.0,4.69,16.0,34.0,122.0,7.05,4.37
00-0038128,QB,6-1,219.0,,,,,,
00-0037666,WR,6-1,194.0,4.49,,36.0,123.0,7.08,
00-0037256,RB,6-0,214.0,4.48,,38.0,125.0,,
00-0037827,RB,6-0,211.0,4.48,,30.0,117.0,,
00-0038132,QB,6-2,212.0,,,,,,
00-0037746,RB,6-2,225.0,4.53,,30.0,119.0,,
00-0037257,WR,6-1,212.0,4.65,,33.0,118.0,7.14,4.57
00-0037805,TE,6-5,250.0,,19.0,,,,
00-0037828,WR,6-0,186.0,4.33,,34.0,126.0,,
00-0038129,TE,6-5,247.0,,,,,,
00-0037258,RB,5-10,218.0,4.59,21.0,34.5,119.0,,
00-0038115,TE,6-5,253.0,4.63,22.0,34.5,125.0,7.05,4.47
00-0038040,RB,6-0,214.0,4.4,,33.5,128.0,,
00-0038045,RB,6-0,217.0,,,30.0,114.0,,
00-0038092,WR,6-2,209.0,,,36.5,126.0,,4.38
00-0038098,RB,5-11,207.0,4.37,,36.0,124.0,,
00-0038046,TE,6-7,252.0,,,,,,
00-0038041,TE,6-5,250.0,4.81,15.0,31.5,118.0,7.03,4.48
00-0037617,RB,6-2,228.0,,27.0,,,,
00-0037816,WR,6-2,201.0,,,,,,
00-0038108,QB,6-1,215.0,4.88,,30.0,109.0,7.19,4.4
00-0037837,WR,5-8,170.0,4.32,,39.0,135.0,6.65,4.07
00-0037838,TE,6-5,245.0,,,36.0,,,4.57
00-0037809,TE,,,,,,,,
00-0037077,QB,6-1,218.0,,,,,,
00-0037261,WR,6-0,196.0,4.43,,34.5,124.0,7.28,4.21
00-0037078,TE,6-6,246.0,4.76,17.0,27.0,120.0,7.06,4.41
00-0037263,RB,5-11,224.0,4.6,,33.0,120.0,,
00-0037265,RB,5-10,222.0,4.59,25.0,29.5,118.0,,
00-0037267,RB,5-11,210.0,4.46,,31.0,118.0,,
00-0037272,WR,,,,,,,,
00-0037273,WR,5-11,189.0,4.58,,33.5,124.0,,
00-0037840,RB,5-9,194.0,4.65,,32.0,116.0,,
00-0037276,RB,,,,,,,,
00-0037277,TE,6-6,258.0,,22.0,,,,
00-0037282,TE,6-4,249.0,,,,,,
00-0037286,RB,5-10,221.0,,21.0,38.5,126.0,,
00-0037291,WR,5-11,186.0,4.5,,38.0,128.0,7.03,4.28
00-0037292,TE,,,,,,,,
00-0037085,RB,5-8,197.0,4.45,,33.5,121.0,,
00-0037086,TE,6-4,241.0,4.62,20.0,,,,
00-0037299,RB,6-0,221.0,4.53,,34.5,122.0,,
00-0037300,WR,,,,,,,,
00-0037087,RB,5-11,206.0,4.43,,30.0,,,
00-0037304,TE,5-11,233.0,4.72,,32.5,,,
00-0037306,TE,,,,,,,,
00-0037311,TE,,,,,,,,
00-0037317,TE,,,,,,,,
00-0037091,WR,5-11,189.0,4.34,,38.0,121.0,6.98,
00-0037093,WR,,,,,,,,
00-0037324,QB,,,,,,,,
00-0037327,QB,6-2,217.0,4.91,,31.0,112.0,7.0,4.28
00-0037329,RB,,,,,,,,
00-0037197,RB,5-10,216.0,4.37,,33.0,118.0,,
00-0037098,WR,,,,,,,,
00-0037331,RB,,,,,,,,
00-0037834,QB,6-1,212.0,4.84,,27.0,,7.21,4.45
00-0039150,QB,5-10,204.0,,,,,,
00-0039163,QB,6-3,214.0,,,,,,
00-0039164,QB,6-4,244.0,4.43,,40.5,129.0,,
00-0038542,RB,5-11,215.0,4.46,,37.0,124.0,,
00-0039139,RB,5-9,199.0,4.36,,33.5,,,
00-0038543,WR,6-1,196.0,,,35.0,125.0,6.57,3.93
00-0038544,WR,6-3,208.0,,,40.5,134.0,,
00-0039064,WR,5-9,182.0,4.42,,35.5,127.0,,
00-0038994,WR,5-11,173.0,4.49,,34.0,122.0,,
00-0038933,TE,6-4,246.0,,,,,,
00-0039152,QB,6-4,229.0,,,34.0,124.0,,
00-0039065,TE,6-3,245.0,4.59,,35.0,123.0,6.91,4.25
00-0039066,TE,6-5,249.0,4.7,,32.5,118.0,,
00-0039062,WR,6-2,220.0,4.46,22.0,39.5,129.0,,
00-0039144,TE,6-6,253.0,4.61,,36.0,125.0,,
00-0039146,WR,5-11,187.0,4.45,,33.5,121.0,,4.29
00-0039165,RB,6-0,214.0,4.53,,37.0,122.0,,
00-0039067,WR,6-1,204.0,4.51,,41.0,128.0,,
00-0038547,TE,6-5,251.0,4.63,,33.5,127.0,,4.27
00-0038935,TE,6-4,253.0,4.7,23.0,36.0,124.0,7.25,4.46
00-0038976,WR,5-11,183.0,4.38,,39.5,129.0,6.9,
00-0038550,QB,6-3,217.0,,,,,,
00-0038977,WR,,,,,,,,
00-0038551,RB,5-11,215.0,,,,,,
00-0038938,WR,6-0,176.0,4.4,,40.0,135.0,,
00-0038979,WR,6-3,213.0,4.54,,37.0,128.0,,
00-0038996,TE,6-5,254.0,4.69,23.0,34.0,122.0,7.08,4.29
00-0038997,WR,5-9,171.0,4.48,,38.5,131.0,,
00-0039032,RB,5-10,201.0,,,39.0,125.0,,
00-0039040,RB,,,,,,,,
00-0038555,RB,6-0,210.0,4.56,,32.5,119.0,,
00-0038558,TE,6-7,264.0,4.64,21.0,31.0,122.0,,4.08
00-0038559,WR,6-2,213.0,4.58,23.0,37.5,125.0,,4.27
00-0038563,WR,5-9,182.0,4.4,,37.5,124.0,,
00-0038564,TE,6-4,242.0,,,,,,
00-0039021,RB,6-0,219.0,4.58,,31.5,122.0,,
00-0038573,WR,5-8,165.0,4.36,,,,,4.38
00-0038998,QB,6-0,207.0,,,35.0,114.0,7.01,
00-0039107,QB,5-11,192.0,4.67,,33.5,118.0,,4.2
00-0038576,WR,5-11,175.0,4.43,13.0,36.5,124.0,,
00-0038941,WR,5-10,177.0,4.44,,39.5,133.0,,
00-0038579,QB,6-3,213.0,,,,,,
00-0038582,QB,6-3,220.0,4.64,,37.5,122.0,6.89,4.25
00-0038583,QB,6-2,203.0,4.56,,32.5,121.0,7.28,4.44
00-0038389,RB,5-10,216.0,,,,,,
00-0038589,TE,6-7,248.0,4.69,,33.5,115.0,,
00-0038391,QB,,,,,,,,
00-0038590,WR,6-4,229.0,4.55,18.0,35.5,126.0,,
00-0038393,WR,6-1,206.0,4.62,,39.0,130.0,,
00-0038394,TE,6-5,239.0,4.54,20.0,36.5,121.0,,
00-0038597,RB,5-10,209.0,4.43,,40.0,127.0,,
00-0038598,QB,6-0,207.0,,,,,,
00-0039050,TE,6-6,253.0,4.87,,34.5,117.0,,
00-0038396,RB,5-10,207.0,,,37.5,118.0,,
00-0039074,TE,6-6,245.0,4.84,,38.5,125.0,,
00-0038397,RB,5-10,209.0,4.47,,37.0,123.0,6.9,4.38
00-0039075,WR,6-2,201.0,,,,,,
00-0038606,WR,5-10,204.0,,16.0,,,,
00-0038608,WR,5-11,195.0,4.5,,29.0,118.0,,4.25
00-0038400,QB,6-6,231.0,,,33.0,114.0,7.22,4.41
00-0039052,WR,6-0,192.0,4.33,,,,,
00-0038611,RB,6-0,217.0,,,,,,
00-0038612,WR,6-4,198.0,4.47,,35.0,133.0,,
00-0039041,WR,6-3,235.0,4.54,,35.0,126.0,7.01,
00-0038618,WR,6-2,203.0,4.53,,36.0,116.0,6.91,4.35
00-0038619,WR,6-3,205.0,4.43,19.0,39.0,128.0,6.85,4.12
00-0038621,WR,5-8,179.0,4.44,,39.5,134.0,,4.29
00-0038622,RB,5-5,179.0,,,35.5,116.0,,
00-0039136,RB,5-11,202.0,,,,,,
00-0038627,WR,6-2,199.0,4.47,,33.5,123.0,6.99,4.27
00-0038406,TE,6-7,255.0,4.55,23.0,40.0,128.0,6.87,4.12
00-0039046,RB,5-10,209.0,,,,,,
00-0038632,WR,,,,,,,,
00-0038409,RB,,,,,,,,
00-0038636,RB,6-0,204.0,4.62,,,,,
00-0038637,QB,6-2,207.0,4.52,,30.5,116.0,7.26,4.45
00-0038640,WR,6-1,201.0,4.69,,35.0,130.0,7.15,4.31
00-0038643,TE,6-4,241.0,,20.0,32.0,117.0,7.3,4.36
00-0038647,WR,6-0,191.0,4.54,14.0,38.5,120.0,6.98,4.15
00-0038507,WR,6-2,201.0,4.57,,35.0,125.0,6.89,4.32
00-0039918,QB,6-1,214.0,,,,,,
00-0039910,QB,6-4,210.0,,,,,,
00-0039851,QB,6-4,223.0,,,,,,
00-0039849,WR,6-3,209.0,,,,,,
00-0039337,WR,6-0,200.0,,,,,,
00-0039917,QB,6-2,216.0,,,,,,
00-0039919,WR,6-3,212.0,4.45,,39.0,124.0,6.88,4.03
00-0039923,QB,6-3,219.0,,,,,6.82,4.23
00-0039732,QB,6-2,214.0,,,,,,
00-0039338,TE,6-3,243.0,,,,,,
00-0039893,WR,6-3,209.0,4.33,11.0,38.5,126.0,,
00-0039894,WR,5-11,165.0,4.21,,41.0,131.0,,
00-0039916,WR,6-1,189.0,4.41,17.0,42.0,129.0,6.64,4.05
00-0039342,WR,6-1,221.0,4.39,,40.0,126.0,,
00-0039901,WR,6-3,213.0,4.61,,38.0,127.0,,
00-0039915,WR,6-0,186.0,4.39,13.0,36.0,124.0,,
00-0039907,WR,6-1,203.0,4.52,,37.5,129.0,,
00-0039344,RB,6-0,216.0,,,,,,
00-0039890,WR,6-2,205.0,4.34,,39.5,136.0,,
00-0039912,TE,6-4,250.0,4.68,,40.0,126.0,6.82,4.23
00-0039920,WR,5-11,215.0,,,,,,
00-0039921,RB,6-0,216.0,4.39,,33.5,122.0,,
00-0039810,WR,6-0,196.0,4.45,,38.5,133.0,,
00-0039737,TE,6-5,271.0,4.64,28.0,33.5,121.0,7.02,4.26
00-0039738,RB,5-8,205.0,4.53,27.0,35.5,,6.82,4.12
00-0039739,WR,5-11,185.0,4.39,12.0,,,,
00-0039811,RB,5-9,220.0,4.46,25.0,36.0,118.0,,
00-0039855,WR,6-1,197.0,4.47,,37.0,127.0,6.94,4.18
00-0039355,WR,6-2,198.0,4.46,,36.0,121.0,6.7,4.02
00-0039356,TE,6-4,245.0,4.69,,,,,4.32
00-0039868,WR,6-2,176.0,4.41,,39.0,124.0,6.9,4.31
00-0039847,TE,,,,,,,,
00-0039853,WR,6-1,202.0,4.54,,37.0,121.0,,
00-0039792,WR,6-2,193.0,4.36,,40.5,134.0,,
00-0039814,TE,6-4,252.0,,,,,,
00-0039874,RB,5-11,210.0,4.38,,38.0,134.0,,
00-0039793,TE,6-6,251.0,,,,,,
00-0039359,TE,6-4,247.0,4.65,,34.5,117.0,,4.45
00-0039361,RB,5-9,192.0,4.55,,29.5,115.0,,
00-0039746,RB,5-11,206.0,,,,,,
00-0039875,RB,,,,,,,,
00-0039363,RB,6-0,221.0,4.33,,41.5,129.0,6.94,4.15
00-0039824,TE,6-6,249.0,4.62,,37.0,118.0,7.19,
00-0039794,RB,6-1,235.0,,26.0,32.0,117.0,,
00-0039365,WR,5-8,168.0,4.38,,36.0,119.0,7.02,4.32
00-0039816,WR,5-8,174.0,4.39,,39.5,129.0,,4.16
00-0039373,RB,,,,,,,,
00-0039376,QB,6-0,211.0,4.95,,32.0,108.0,7.21,4.37
00-0039747,WR,5-9,190.0,,21.0,,,,
00-0039379,WR,6-0,188.0,4.46,,34.0,120.0,7.16,
00-0039796,RB,5-11,206.0,,,,,,
00-0039384,RB,5-11,209.0,4.48,,40.0,124.0,6.81,4.06
00-0039385,RB,5-8,191.0,4.42,,33.0,125.0,,
00-0039386,WR,6-1,212.0,4.43,19.0,39.5,122.0,,
00-0039797,QB,6-1,200.0,,,,,,
00-0039798,RB,6-0,218.0,4.57,23.0,34.5,119.0,,
00-0039391,RB,5-8,213.0,4.46,18.0,37.5,120.0,7.01,4.15
00-0039392,WR,5-9,188.0,4.42,12.0,32.0,118.0,,
00-0039880,WR,5-9,191.0,4.47,19.0,42.5,126.0,,
00-0039236,WR,6-6,231.0,4.52,,37.0,128.0,,4.11
00-0039393,RB,5-10,221.0,,20.0,,,,
00-0039394,WR,,,,,,,,
00-0039397,WR,,,,,,,,
00-0039398,QB,6-5,235.0,,,35.0,121.0,,
00-0039399,TE,6-5,244.0,4.61,,35.0,117.0,,
00-0039405,RB,5-10,193.0,4.56,,,,,
00-0039407,RB,5-10,206.0,4.54,23.0,37.0,118.0,6.84,4.02
00-0039751,WR,6-1,205.0,,18.0,,,,
00-0039410,WR,6-1,202.0,4.44,19.0,39.5,132.0,,
00-0039801,QB,6-1,215.0,,,,,,
