gsis_id,position,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle
00-0032130,RB,5-11,254.0,4.94,23.0,33.5,114.0,7.56,4.4
00-0032062,TE,6-6,252.0,4.8,14.0,33.0,116.0,6.85,4.32
00-0031577,RB,6-0,221.0,4.53,11.0,35.5,121.0,6.96,4.28
00-0032063,RB,5-9,217.0,4.61,17.0,34.0,116.0,7.0,4.18
00-0032133,RB,5-11,229.0,4.81,17.0,38.5,121.0,,
00-0032170,WR,5-11,182.0,4.53,,36.5,122.0,6.88,4.12
00-0031585,TE,6-2,251.0,4.58,17.0,38.0,118.0,7.25,4.37
00-0031588,WR,6-0,195.0,4.46,,35.0,115.0,7.03,4.32
00-0031589,QB,6-3,226.0,4.63,,36.0,120.0,6.93,3.98
00-0031590,RB,6-0,221.0,4.57,19.0,39.0,121.0,7.1,4.1
00-0032152,RB,6-1,230.0,4.48,16.0,33.5,117.0,7.16,4.46
00-0031594,WR,6-2,192.0,4.61,10.0,36.0,114.0,6.92,4.13
00-0032134,TE,,,,,,,,
00-0032112,WR,,,,,,,,
00-0032135,TE,6-7,261.0,4.83,26.0,37.5,121.0,7.53,4.5
00-0032113,WR,6-1,197.0,4.42,7.0,41.5,129.0,6.66,4.15
00-0031595,RB,5-11,242.0,4.65,25.0,33.0,115.0,7.2,4.34
00-0031598,TE,6-4,268.0,5.04,20.0,30.5,112.0,7.13,4.23
00-0031951,TE,,,,,,,,
00-0031600,WR,6-0,215.0,4.54,,32.5,121.0,7.07,4.25
00-0032115,WR,5-10,195.0,4.51,10.0,33.0,113.0,6.97,4.26
00-0031953,WR,6-2,216.0,4.49,23.0,36.5,124.0,6.86,4.18
00-0031954,WR,,,,,,,,
00-0032117,TE,6-3,252.0,4.93,21.0,30.5,110.0,7.4,4.5
00-0032068,TE,,,,,,,,
00-0031533,TE,6-4,250.0,4.83,20.0,,,,
,WR,,,,,,,,
00-0031610,WR,6-6,238.0,4.46,12.0,37.0,125.0,7.07,4.25
00-0031611,RB,5-8,217.0,4.7,21.0,32.0,113.0,,
00-0031612,RB,,,,,,,,
00-0031617,TE,,,,,,,,
00-0032120,WR,,,,,,,,
00-0032139,TE,6-5,255.0,4.79,,,,,
00-0031959,RB,5-9,198.0,4.61,11.0,29.0,109.0,,4.4
00-0032070,WR,,,,,,,,
00-0031625,RB,6-0,226.0,4.83,,27.0,111.0,7.17,4.4
00-0031962,WR,5-8,180.0,4.43,13.0,34.0,121.0,6.64,4.07
00-0032123,WR,6-0,210.0,4.41,16.0,38.0,122.0,6.96,4.08
00-0032141,TE,,,,,,,,
00-0032156,QB,,,,,,,,
00-0032072,TE,6-5,244.0,4.73,,,,,
00-0032190,TE,6-3,244.0,4.87,28.0,,,7.62,4.7
00-0033106,QB,6-4,215.0,4.82,,27.0,110.0,7.17,4.47
00-0032950,QB,6-5,237.0,4.77,,30.5,118.0,6.86,4.15
00-0033045,RB,6-0,225.0,4.47,,32.5,118.0,,
00-0032966,WR,5-11,194.0,4.42,17.0,40.5,129.0,,
00-0033127,WR,6-0,186.0,4.32,10.0,33.5,126.0,6.93,4.27
00-0032760,WR,6-2,202.0,4.5,14.0,41.0,131.0,6.84,4.08
00-0032951,WR,6-2,221.0,4.52,12.0,33.0,117.0,,
00-0033108,QB,6-7,244.0,4.86,,36.0,118.0,7.14,4.26
00-0033090,TE,6-5,250.0,4.79,13.0,,,,
00-0032385,WR,5-10,194.0,4.48,20.0,41.0,123.0,7.0,4.35
00-0032764,RB,6-3,247.0,4.54,22.0,37.0,130.0,7.2,4.38
00-0032765,WR,6-3,212.0,4.57,18.0,35.0,126.0,6.8,4.13
00-0032953,QB,6-4,223.0,4.78,,31.0,114.0,7.04,4.33
00-0033009,WR,6-1,197.0,4.58,11.0,34.0,119.0,6.9,4.35
00-0033118,RB,6-1,210.0,4.45,10.0,34.5,123.0,7.04,4.21
00-0032392,TE,6-4,254.0,4.72,19.0,33.0,117.0,7.0,4.32
00-0033069,WR,6-1,201.0,4.5,17.0,35.0,123.0,6.65,4.07
00-0033060,WR,6-0,211.0,4.5,14.0,35.5,120.0,,
00-0032393,RB,6-0,220.0,4.48,,35.5,121.0,,
00-0033119,QB,6-4,231.0,4.94,,31.0,113.0,7.17,4.53
00-0033104,QB,6-1,220.0,4.89,,29.5,104.0,7.32,4.0
00-0032394,TE,6-6,257.0,4.76,17.0,30.5,111.0,7.05,4.2
00-0032893,QB,6-4,217.0,4.79,,33.0,113.0,7.21,4.28
00-0032398,WR,6-1,206.0,4.53,10.0,37.0,130.0,6.76,4.2
00-0033110,TE,6-6,249.0,4.77,,,,,
00-0032400,WR,6-0,198.0,4.45,15.0,36.0,129.0,6.94,4.34
00-0033079,WR,6-2,215.0,4.43,18.0,38.0,132.0,,
00-0033111,WR,5-11,203.0,4.52,15.0,31.0,115.0,,
00-0032404,RB,5-10,192.0,4.41,17.0,39.0,130.0,,
00-0032775,WR,6-1,203.0,4.59,,34.5,123.0,6.77,4.19
00-0032411,RB,5-10,215.0,4.56,18.0,37.5,121.0,6.97,4.28
00-0033077,QB,6-2,226.0,4.79,,32.5,116.0,7.11,4.32
00-0032972,RB,5-11,219.0,4.56,22.0,,,,
00-0033080,TE,,,,,,,,
00-0033098,QB,6-5,253.0,4.81,,36.0,,,
00-0032778,WR,6-2,194.0,4.55,11.0,33.5,114.0,,
00-0032940,RB,5-8,204.0,4.49,24.0,34.5,116.0,7.03,4.2
00-0032417,RB,5-10,208.0,4.54,19.0,32.0,124.0,,
00-0032780,RB,6-0,230.0,4.57,16.0,34.0,122.0,,
00-0032782,RB,5-10,208.0,4.47,14.0,33.5,120.0,6.83,4.28
00-0032974,WR,6-1,207.0,4.47,,34.5,121.0,7.08,4.33
00-0032975,RB,5-11,220.0,4.56,16.0,,,,
00-0032784,QB,6-3,218.0,4.78,,32.5,113.0,6.9,4.31
00-0032423,WR,6-1,188.0,4.42,11.0,38.5,124.0,6.6,4.22
00-0033040,WR,,,,,,,,
00-0032426,RB,5-10,217.0,4.59,18.0,28.5,113.0,,
00-0032977,WR,6-1,196.0,4.64,13.0,32.0,116.0,,
00-0032956,RB,6-1,238.0,4.81,30.0,34.0,119.0,7.28,4.32
00-0033112,TE,6-5,244.0,4.71,18.0,30.5,115.0,6.88,4.31
00-0032341,WR,,,,,,,,
00-0033078,RB,,,,,,,,
00-0032429,TE,6-5,247.0,4.64,,32.5,117.0,7.05,4.31
00-0032791,WR,,,,,,,,
00-0032792,QB,6-6,234.0,5.02,,29.0,105.0,,
00-0032430,TE,6-4,262.0,,,,,,
00-0032431,QB,,,,,,,,
00-0032957,WR,6-0,197.0,4.39,15.0,35.5,129.0,,
00-0032794,RB,,,,,,,,
00-0032897,RB,,,,,,,,
00-0032795,WR,6-3,205.0,4.47,14.0,31.5,119.0,,
00-0032434,QB,6-1,217.0,4.84,,28.0,110.0,7.06,4.33
00-0033114,WR,,,,,,,,
00-0032436,QB,6-4,234.0,4.56,,32.0,122.0,7.19,4.25
00-0032440,RB,5-10,207.0,4.6,15.0,32.0,113.0,,
00-0032441,WR,6-0,206.0,4.56,20.0,30.5,115.0,7.22,4.31
00-0033049,RB,,,,,,,,
00-0033054,TE,,,,,,,,
00-0032446,QB,6-3,213.0,5.22,,27.0,103.0,7.49,4.52
00-0032447,WR,,,,,,,,
00-0032365,WR,5-9,182.0,4.72,,33.0,123.0,,
00-0032801,WR,,,,,,,,
00-0033061,TE,6-2,231.0,4.72,12.0,33.5,118.0,6.97,4.24
00-0032450,RB,,,,,,,,
00-0032804,RB,6-0,209.0,4.46,23.0,41.5,135.0,7.22,4.26
00-0032451,WR,,,,,,,,
00-0032959,WR,6-2,209.0,4.45,12.0,35.5,122.0,6.96,4.46
00-0032806,RB,5-11,219.0,4.31,25.0,30.5,,,
00-0032453,WR,6-2,203.0,4.64,,31.0,111.0,7.13,4.2
00-0032808,RB,,,,,,,,
00-0032900,TE,6-4,253.0,4.74,23.0,35.0,124.0,7.1,4.33
00-0033869,QB,6-2,222.0,4.67,,27.5,116.0,6.87,4.25
00-0033856,RB,6-0,240.0,4.51,,28.5,,,
00-0033871,WR,6-3,209.0,,,,,,
00-0033536,WR,6-4,218.0,,15.0,32.5,121.0,,
00-0033280,RB,5-11,202.0,4.48,10.0,37.5,121.0,6.57,4.22
00-0033460,WR,5-11,188.0,4.22,,37.0,133.0,,
00-0033873,QB,6-2,225.0,4.8,,30.0,114.0,6.88,4.08
00-0033537,QB,6-2,221.0,4.66,,32.5,119.0,6.95,4.31
00-0033879,TE,6-6,251.0,4.51,22.0,30.0,121.0,6.85,4.16
00-0033881,TE,6-3,234.0,4.42,19.0,36.0,125.0,6.92,4.23
00-0033885,TE,6-4,246.0,4.64,21.0,37.5,133.0,6.97,4.34
00-0033891,WR,6-2,201.0,4.45,15.0,36.5,133.0,6.79,4.01
00-0033282,WR,5-11,196.0,4.31,18.0,37.0,119.0,7.09,4.33
00-0033893,RB,5-10,210.0,4.49,22.0,30.5,116.0,7.27,4.53
00-0033895,TE,6-3,239.0,4.62,22.0,37.5,126.0,6.99,4.33
00-0033896,TE,6-6,278.0,4.79,24.0,32.5,121.0,7.09,4.38
00-0033897,RB,,,,,,,,
00-0033899,QB,6-4,233.0,4.83,,30.5,107.0,7.4,4.53
00-0033857,WR,6-1,215.0,4.54,15.0,32.5,120.0,,
00-0033906,RB,5-10,214.0,4.56,15.0,39.5,131.0,,
00-0033908,WR,6-2,204.0,4.62,,31.0,116.0,6.75,4.08
00-0033911,WR,5-11,203.0,4.5,13.0,33.5,132.0,6.57,4.21
00-0033916,WR,5-11,204.0,4.49,,34.0,124.0,,
00-0033919,WR,5-11,199.0,4.46,13.0,36.0,131.0,7.18,4.35
00-0033921,WR,6-1,209.0,4.42,19.0,36.0,126.0,7.01,4.0
00-0033923,RB,5-10,216.0,4.62,18.0,36.5,119.0,,
00-0033550,QB,6-5,229.0,4.79,,33.0,118.0,6.92,4.21
00-0033925,RB,6-0,233.0,,18.0,,,,
00-0033932,WR,6-4,218.0,4.5,18.0,35.5,120.0,7.0,4.15
00-0033933,WR,,,,,,,,
00-0033858,TE,6-3,248.0,4.62,22.0,38.0,127.0,,4.18
00-0033936,QB,6-2,219.0,,,31.0,113.0,,
00-0033553,RB,6-1,233.0,4.65,20.0,29.0,113.0,,
00-0033937,WR,6-2,214.0,4.45,17.0,36.0,124.0,,
00-0033839,WR,6-0,178.0,,,,,,
00-0033526,RB,5-11,233.0,4.65,30.0,33.0,116.0,7.26,4.37
00-0033943,WR,6-3,194.0,4.52,,37.0,124.0,6.83,4.13
00-0033555,WR,6-4,221.0,4.53,,,,,
00-0033556,RB,5-6,179.0,4.42,11.0,31.5,118.0,,
00-0033286,RB,5-11,210.0,4.41,14.0,35.0,125.0,7.19,4.19
00-0033559,TE,6-4,270.0,4.86,,30.0,110.0,7.05,4.51
00-0033859,WR,6-3,208.0,4.4,10.0,30.5,121.0,7.05,4.19
00-0033561,RB,5-8,176.0,4.48,5.0,33.5,117.0,,
