gsis_id,player_name,player_name_norm,position,draft_year,ff_adp,ff_adp_rank,ff_rankings_note
00-0040021,Phil Mafah,phil mafah,RB,2025,599.5,606.0,FantasyPros Overall ADP for rookie season 2025 (match_score=100.0)
,Kaden Prather,kaden prather,WR,2025,,,No FantasyPros ADP match in 2025 overall rankings (rookies only; best_score=61.53846153846154).
00-0040240,Caleb Lohner,caleb lohner,TE,2025,622.5,529.0,FantasyPros Overall ADP for rookie season 2025 (match_score=100.0)
00-0040590,Konata Mumpfield,konata mumpfield,WR,2025,504.5,585.0,FantasyPros Overall ADP for rookie season 2025 (match_score=100.0)
00-0040241,Dominic Lovett,dominic lovett,WR,2025,530.3,442.0,FantasyPros Overall ADP for rookie season 2025 (match_score=100.0)
00-0040242,Jacory Croskey-Merritt,jacory croskey merritt,RB,2025,102.2,96.0,FantasyPros Overall ADP for rookie season 2025 (match_score=100.0)
00-0040244,Moliki Matavao,moliki matavao,TE,2025,,,No FantasyPros ADP match in 2025 overall rankings (rookies only; best_score=48.0).
00-0040247,Junior Bergen,junior bergen,WR,2025,758.0,873.0,FantasyPros Overall ADP for rookie season 2025 (match_score=100.0)
00-0040250,Luke Lachey,luke lachey,TE,2025,412.0,613.0,FantasyPros Overall ADP for rookie season 2025 (match_score=100.0)
MEN516487,Fernando Mendoza,fernando mendoza,QB,2026,181.5,178.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
LOV121782,Jeremiyah Love,jeremiyah love,RB,2026,25.5,26.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
TAT143045,Carnell Tate,carnell tate,WR,2026,61.5,61.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
TYS405541,Jordyn Tyson,jordyn tyson,WR,2026,72.0,70.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
SIM639376,Ty Simpson,ty simpson,QB,2026,377.0,397.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
SAD482340,Kenyon Sadiq,kenyon sadiq,TE,2026,165.0,164.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
LEM694125,Makai Lemon,makai lemon,WR,2026,92.0,91.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
CON046719,KC Concepcion,kc concepcion,WR,2026,124.5,127.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
COO816508,Omar Cooper Jr.,omar cooper,WR,2026,160.0,159.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
PRI206342,Jadarian Price,jadarian price,RB,2026,67.0,68.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
,De'Zhaun Stribling,de zhaun stribling,WR,2026,208.5,200.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
BOS677861,Denzel Boston,denzel boston,WR,2026,154.0,154.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
BER218265,Germie Bernard,germie bernard,WR,2026,216.0,210.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
STO806346,Eli Stowers,eli stowers,TE,2026,260.0,253.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
KLE258860,Marlin Klein,marlin klein,TE,2026,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=60.86956521739131).
KLA269938,Max Klare,max klare,TE,2026,302.0,358.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
,Carson Beck,carson beck,QB,2026,299.5,269.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
ROU550040,Sam Roush,sam roush,TE,2026,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=50.0).
