gsis_id,pfr_player_id,player_name,player_name_norm,position,hs_class,birth_date,draft_year,college,draft_team
00-0031569,LangJe00,Jeremy Langford,jeremy langford,RB,2010,1991-12-06,2015,Michigan St.,CHI
00-0032130,FowlJa00,Jalston Fowler,jalston fowler,RB,2010,1990-07-26,2015,Alabama,TEN
00-0032062,BellBl00,Blake Bell,blake bell,TE,2010,1991-08-07,2015,Oklahoma,SFO
00-0031577,AlleJa01,Javorius Allen,javorius allen,RB,2011,1991-08-27,2015,USC,BAL
00-0032063,DaviMi01,Mike Davis,mike davis,RB,2012,1993-02-19,2015,South Carolina,SFO
00-0032133,CobbDa00,David Cobb,david cobb,RB,2011,1993-06-03,2015,Minnesota,TEN
00-0032170,GreeRa00,Rashad Greene,rashad greene,WR,2011,1992-09-23,2015,Florida St.,JAX
00-0031585,PruiMy00,MyCole Pruitt,mycole pruitt,TE,2010,1992-03-24,2015,Southern Illinois,MIN
00-0031588,DiggSt00,Stefon Diggs,stefon diggs,WR,2012,1993-11-29,2015,Maryland,MIN
00-0031589,HundBr00,Brett Hundley,brett hundley,QB,2011,1993-06-15,2015,UCLA,GNB
00-0031590,AjayJa00,Jay Ajayi,jay ajayi,RB,2011,1993-06-15,2015,Boise St.,MIA
00-0032152,WillKa01,Karlos Williams,karlos williams,RB,2011,1993-05-04,2015,Florida St.,BUF
00-0031594,LippTo00,Tony Lippett,tony lippett,WR,2010,1992-07-02,2015,Michigan St.,MIA
00-0032134,UzomC.00,C.J. Uzomah,c j uzomah,TE,2011,1993-01-14,2015,Auburn,CIN
00-0032112,NelsJJ00,JJ Nelson,jj nelson,WR,2010,1992-04-24,2015,Ala-Birmingham,ARI
00-0032135,JameJe00,Jesse James,jesse james,TE,2012,1994-06-04,2015,Penn St.,PIT
00-0032113,BellKe02,Kenny Bell,kenny bell,WR,2010,1992-02-25,2015,Nebraska,TAM
00-0031595,BurtMi00,Michael Burton,michael burton,RB,2010,1992-02-01,2015,Rutgers,DET
00-0031598,BoylNi00,Nick Boyle,nick boyle,TE,2011,1993-02-17,2015,Delaware,BAL
00-0031951,O'ShJa00,James O'Shaughnessy,james o shaughnessy,TE,2010,1992-01-14,2015,Illinois St.,KAN
00-0031600,MumpKe00,Keith Mumphery,keith mumphery,WR,2010,1992-06-05,2015,Michigan St.,HOU
00-0032115,ClayKa00,Kaelin Clay,kaelin clay,WR,2010,1992-01-02,2015,Utah,TAM
00-0031953,DaviGe00,Geremy Davis,geremy davis,WR,2010,1992-01-10,2015,Connecticut,NYG
00-0031954,SpenEv00,Evan Spencer,evan spencer,WR,2011,1993-05-26,2015,Ohio St.,WAS
00-0032117,OLeaNi00,Nick O'Leary,nick o leary,TE,2011,1992-08-31,2015,Florida St.,BUF
00-0032068,JohnMa06,Malcolm Johnson,malcolm johnson,TE,2010,1992-08-11,2015,Mississippi St.,CLE
00-0031533,TelfRa00,Randall Telfer,randall telfer,TE,2010,1992-05-16,2015,USC,CLE
,SassBu00,Bud Sasser,bud sasser,WR,2010,,2015,Missouri,STL
00-0031610,WallDa01,Darren Waller,darren waller,WR,2011,1992-09-13,2015,Georgia Tech,BAL
00-0031611,RobiJo02,Josh Robinson,josh robinson,RB,2011,1992-08-24,2015,Mississippi St.,IND
00-0031612,RipkAa00,Aaron Ripkowski,aaron ripkowski,RB,2010,1992-12-20,2015,Oklahoma,GNB
