gsis_id,player_name,position,draft_year,draft_team,sos_opp_win_pct,games_scheduled,off_pass_yards,off_rush_yards,off_pass_rate_proxy,team_opportunity_ppr,team_pos_carries,team_pos_targets,team_pos_receptions,team_pos_touches,incumbent_pos_ppr,incumbent_pos_ppr_sum,incumbent_pos_carries,incumbent_pos_targets,incumbent_pos_touches
00-0031376,Jerick McKinnon,RB,2014,MIN,0.47265625,16.0,3566.0,1804.0,0.5559139784946237,398.29999999999995,291.0,121.0,76.0,367.0,232.7,398.29999999999995,279.0,77.0,308.0
00-0031384,Richard Rodgers,TE,2014,GNB,0.48046875,16.0,4447.0,1917.0,0.5520082389289392,,,,,,,,,,
00-0031285,Devonta Freeman,RB,2014,ATL,0.4765625,16.0,4758.0,1498.0,0.6294820717131474,154.20000000000002,96.0,72.0,60.0,156.0,141.3,154.20000000000002,96.0,62.0,148.0
00-0031053,Jalen Saunders,WR,2014,NYJ,0.54296875,16.0,3206.0,2243.0,0.4955223880597015,114.4,4.0,72.0,43.0,47.0,114.4,114.4,4.0,72.0,47.0
00-0031055,Andre Williams,RB,2014,NYG,0.51171875,16.0,4470.0,1603.0,0.5748106060606061,,,,,,,,,,
00-0031057,Ka'Deem Carey,RB,2014,CHI,0.52734375,16.0,4035.0,1441.0,0.6317427385892116,337.3,289.0,94.0,74.0,363.0,337.3,337.3,289.0,94.0,363.0
00-0031060,De'Anthony Thomas,RB,2014,KAN,0.51171875,16.0,3428.0,1918.0,0.5399780941949617,486.5,331.0,143.0,99.0,430.0,378.0,486.5,259.0,104.0,329.0
00-0031062,James White,RB,2014,NWE,0.51171875,16.0,4291.0,1727.0,0.5816618911174785,481.5,434.0,119.0,84.0,518.0,134.5,481.5,178.0,69.0,188.0
00-0031075,Alfred Blue,RB,2014,HOU,0.4453125,16.0,3460.0,2161.0,0.46814671814671815,24.900000000000002,21.0,6.0,6.0,27.0,,,,,
00-0031187,Robert Herron,WR,2014,TAM,0.48046875,16.0,3623.0,1375.0,0.6006787330316742,,,,,,,,,,
00-0031078,Lache Seastrunk,RB,2014,WAS,0.49609375,16.0,4461.0,1691.0,0.5770042194092827,217.5,288.0,21.0,13.0,301.0,178.3,217.5,276.0,12.0,285.0
00-0031189,T.J. Jones,WR,2014,DET,0.46875,16.0,4284.0,1422.0,0.604,32.9,2.0,10.0,5.0,7.0,32.9,32.9,2.0,10.0,7.0
00-0031315,Matt Hazel,WR,2014,MIA,0.51171875,16.0,4066.0,1872.0,0.5985915492957746,297.1,3.0,208.0,114.0,117.0,199.3,297.1,3.0,141.0,76.0
00-0031023,Quincy Enunwa,WR,2014,NYJ,0.54296875,16.0,3206.0,2243.0,0.4955223880597015,114.4,4.0,72.0,43.0,47.0,114.4,114.4,4.0,72.0,47.0
00-0031085,Jay Prosch,RB,2014,HOU,0.4453125,16.0,3460.0,2161.0,0.46814671814671815,24.900000000000002,21.0,6.0,6.0,27.0,,,,,
00-0031243,Storm Johnson,RB,2014,JAX,0.51171875,16.0,3451.0,1633.0,0.6074154852780806,69.2,76.0,26.0,14.0,90.0,69.2,69.2,76.0,26.0,90.0
00-0031291,James Wright,WR,2014,CIN,0.49609375,16.0,3551.0,2147.0,0.5055276381909548,602.0,12.0,338.0,197.0,209.0,306.6,602.0,8.0,178.0,98.0
