gsis_id,player_name,player_name_norm,position,season,team,ppr,games,carries,targets,receptions,rushing_yards,receiving_yards,passing_yards,rushing_tds,receiving_tds,passing_tds,interceptions,fumbles_lost,touches,ppr_per_game,target_season,ppr_next,passing_yards_next,passing_tds_next,interceptions_next,carries_next,rushing_yards_next,rushing_tds_next,targets_next,receptions_next,receiving_yards_next,receiving_tds_next,fumbles_lost_next,games_next,sos_opp_win_pct,games_scheduled,off_pass_yards,off_rush_yards,off_pass_rate_proxy,def_epa_per_play,def_pass_epa,def_rush_epa,off_epa_per_play,off_pass_epa,off_rush_epa,ol_sack_rate,ol_qb_hit_rate,opp_def_epa_faced,opp_def_pass_epa_faced,opp_def_rush_epa_faced,next_opp_def_epa_faced,next_opp_def_pass_epa_faced,next_opp_def_rush_epa_faced,off_snap_pct,off_snaps,snap_games,depth_rank,ngs_ryoe,ngs_ryoe_per_att,ngs_rush_efficiency,ngs_avg_separation,ngs_avg_cushion,ngs_yac_oe,ngs_avg_ttt,ngs_cpoe,ngs_aggressiveness,age,lag1_ppr,lag2_ppr,delta_ppr,lag1_touches,delta_touches,ppr_trail3_mean,career_seasons,team_changed,lag1_ol_sack_rate,delta_ol_sack_rate,lag1_off_snap_pct,delta_off_snap_pct,baseline_last_ppr,baseline_trail3_ppr,adp_log_rank,adp_pos_rank,adp_rank,team_targets,team_carries,team_touches,target_share,carry_share,touch_share,pos_target_share,pos_carry_share,pos_touch_share,predicted_ppr_next,predictive_q25,predictive_q75,ppr_low,ppr_high
00-0031912,Cameron Meredith,cameron meredith,WR,2015,CHI,23.0,6,0,16,11,0,120,0,0,0,0,0,0,11.0,3.8333333333333335,2016,179.48,2.0,1.0,0.0,1.0,6.0,0.0,97.0,66.0,888.0,4.0,2.0,14.0,0.546875,16,3843.0,1854.0,0.5277497477295661,0.03950071907242581,0.13319923913578832,-0.10490248641175881,-0.02109120165099976,0.049216404233542774,-0.11230925928568643,0.05647840531561462,0.12458471760797342,-0.023210250545318813,0.04197779903435139,-0.1305951241491142,0.009243634635576023,0.08527797035047714,-0.10772707970220964,0.19090909090909092,136.0,11.0,3.0,,,,,,,,,,22.94318959616701,,,,,,23.0,1,,,,,,23.0,23.0,5.521460917862246,,250.0,433,461,733.0,0.03695150115473441,0.0,0.015006821282401092,0.08080808080808081,,0.09649122807017543,39.123157217484824,12.697593000480675,63.97430007423807,7.808222801762036,125.24139120566434
00-0031912,Cameron Meredith,cameron meredith,WR,2016,CHI,179.48,14,1,97,66,6,888,2,0,4,1,0,2,67.0,12.819999999999999,2017,,,,,,,,,,,,,,0.51953125,16,4139.0,1735.0,0.5953141640042598,0.06984847931535584,0.1472781465478444,-0.050326863774293525,-0.04212822125436314,-0.0012161745762226243,-0.1106422620913558,0.044585987261146494,0.11146496815286625,0.015453233558636285,0.09036156370346092,-0.11488290958004942,0.03012368310472038,0.10185571063665856,-0.09156149731674144,0.7807142857142857,703.0,14.0,3.0,,,,2.40098522705613,5.7038947368421,0.682197150571138,,,,23.94524298425736,23.0,,156.48,11.0,56.0,101.24,2,0.0,0.05647840531561462,-0.011892418054468126,0.19090909090909092,0.5898051948051948,179.48,101.24,5.402677381872279,76.0,222.0,504,372,683.0,0.19246031746031747,0.002688172043010753,0.09809663250366032,0.30407523510971785,0.16666666666666666,0.3471502590673575,116.88294908251001,68.46787720481203,166.29353607457634,34.9750487637944,209.90091025212988
00-0031912,Cameron Meredith,cameron meredith,WR,2018,NO,24.4,3,0,10,9,0,114,0,0,1,0,0,1,9.0,8.133333333333333,2019,,,,,,,,,,,,,,0.4765625,16,4174.0,2025.0,0.5242424242424243,0.020456996816738102,0.126556023190187,-0.2057787732657237,0.15531032601803424,0.27973076158715676,-0.006408405672480749,0.03442340791738382,0.08605851979345955,0.034390283643761864,0.095041189720873,-0.0697469682023928,0.017441944605624815,0.08266892567222307,-0.0935602708253162,0.29833333333333334,126.0,6.0,2.0,,,,,,,,,,25.94387405886379,179.48,23.0,-155.07999999999998,67.0,-58.0,75.62666666666667,3,1.0,0.044585987261146494,-0.010162579343762676,0.7807142857142857,-0.48238095238095235,24.4,75.62666666666667,6.3784261836515865,186.0,589.0,510,471,851.0,0.0196078431372549,0.0,0.010575793184488837,0.03717472118959108,0.0,0.0430622009569378,62.96627741300814,19.408224487960084,85.57129302764064,5.7108050837728825,144.13009439662787
00-0031922,Khari Lee,khari lee,TE,2015,CHI,1.7,3,0,3,1,0,7,0,0,0,0,0,0,1.0,0.5666666666666667,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.546875,16,3843.0,1854.0,0.5277497477295661,0.03950071907242581,0.13319923913578832,-0.10490248641175881,-0.02109120165099976,0.049216404233542774,-0.11230925928568643,0.05647840531561462,0.12458471760797342,-0.023210250545318813,0.04197779903435139,-0.1305951241491142,0.009243634635576023,0.08527797035047714,-0.10772707970220964,0.12625,127.0,16.0,2.0,,,,,,,,,,23.6249144421629,,,,,,1.7,1,,,,,,1.7,1.7,5.521460917862246,,250.0,433,461,733.0,0.006928406466512702,0.0,0.001364256480218281,0.023255813953488372,,0.011363636363636364,11.073492895103131,0.09975625122783599,17.79213778945664,-16.61393857658411,35.312180957063354
00-0031922,Khari Lee,khari lee,TE,2016,DET,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2017,,,,,,,,,,,,,,0.47265625,16,4327.0,1310.0,0.6292372881355932,0.10693210634592074,0.2238089757454907,-0.09298060860562252,0.05388011181188416,0.1661291397694207,-0.1868010861706865,0.05293276108726753,0.11015736766809728,0.011811646077672128,0.08543180533138206,-0.11792514640496676,0.010845480981392115,0.07832056781966931,-0.10466359000182461,0.2025,101.0,8.0,3.0,,,,,,,,,,24.62696783025325,1.7,,-1.7,1.0,-1.0,0.85,2,1.0,0.05647840531561462,-0.003545644228347092,0.12625,0.07625000000000001,0.0,0.85,5.521460917862246,,250.0,480,337,654.0,0.0020833333333333333,0.0,0.0,0.010869565217391304,0.0,0.0,23.080634760724102,8.96837447594449,30.166133080690276,-9.046586345907865,58.08935708476771
00-0031922,Khari Lee,khari lee,TE,2018,BUF,1.5,1,0,1,1,0,5,0,0,0,0,0,0,1.0,1.5,2019,,,,,,,,,,,,,,0.51953125,16,3052.0,1984.0,0.515527950310559,-0.08005452018325857,-0.07195531108731941,-0.09134668671125068,-0.14014794118027135,-0.1380172578854011,-0.14343660452670157,0.06416275430359937,0.15492957746478872,-0.015518052887617062,0.04619364398978533,-0.11861205264775171,0.016690047278440954,0.07620051437172251,-0.08424212167667879,0.355,46.0,2.0,3.0,,,,,,,,,,26.625598904859686,0.0,1.7,1.5,0.0,1.0,1.0666666666666667,3,1.0,0.05293276108726753,0.011229993216331842,0.2025,0.15249999999999997,1.5,1.0666666666666667,6.782192056006791,157.0,882.0,458,466,729.0,0.002183406113537118,0.0,0.0013717421124828531,0.011235955056179775,,0.017857142857142856,26.541826118585274,10.923060703585723,31.657779854890137,-8.338509247290732,45.78824097267214
00-0031934,Devin Smith,devin smith,WR,2015,NYJ,26.5,7,0,28,9,0,115,0,0,1,0,0,0,9.0,3.7857142857142856,2016,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,20.0,0.0,0.0,1.0,0.44140625,16,4170.0,1868.0,0.5741444866920152,-0.0971593612079948,-0.03171206075649893,-0.22900247371173285,0.024792902455570445,0.1259970068063029,-0.1440451643149198,0.03216374269005848,0.1023391812865497,0.017220320416097248,0.09294849298387048,-0.10070471849864551,-0.011602766065983186,0.06134469881201646,-0.13095889766224353,0.42400000000000004,312.0,10.0,1.0,,,,,,,,,,23.496235455167692,,,,,,26.5,1,,,,,,26.5,26.5,5.986452005284438,132.0,398.0,565,417,760.0,0.049557522123893805,0.0,0.011842105263157895,0.0639269406392694,,0.03557312252964427,43.63380075194505,18.056103767347153,91.25386935420443,9.601009992422085,119.8972778513171
00-0031934,Devin Smith,devin smith,WR,2016,NYJ,3.0,1,0,3,1,0,20,0,0,0,0,0,0,1.0,3.0,2017,,,,,,,,,,,,,,0.51171875,16,3645.0,1802.0,0.5681818181818182,0.046690269403423836,0.19482854822418075,-0.1818446632497037,-0.06839081398373438,-0.06904848318859703,-0.06732625347788349,0.054602184087363496,0.14508580343213728,0.008886578223226556,0.07113943264920224,-0.08847588172443477,0.008496692032952427,0.062162922599328665,-0.07964776624119893,0.14500000000000002,35.0,4.0,,,,,,,,,,,24.49828884325804,26.5,,-23.5,9.0,-8.0,14.75,2,0.0,0.03216374269005848,0.02243844139730502,0.42400000000000004,-0.279,3.0,14.75,5.521460917862246,,250.0,530,403,705.0,0.005660377358490566,0.0,0.0014184397163120568,0.007633587786259542,0.0,0.0048543689320388345,34.46207001250218,3.1928208623662657,44.801880649822486,1.8837020164872598,73.35760667104147
00-0031934,Devin Smith,devin smith,WR,2019,DAL,22.299999999999997,3,0,9,5,0,113,0,0,1,0,0,0,5.0,7.433333333333333,2020,,,,,,,,,,,,,,0.4765625,16,4902.0,2153.0,0.5707456978967496,-0.026019879711597353,0.018737989824439562,-0.10746258130767511,0.11162098838432458,0.19146058670372956,-0.014158796439053612,0.033873343151693665,0.12223858615611193,-0.005843661038929851,0.06875416109430661,-0.12797284721929927,0.0061157544509738175,0.0845958238431432,-0.11871557317488254,0.515,136.0,4.0,2.0,,,,,,,,,,27.496235455167692,3.0,26.5,19.299999999999997,1.0,4.0,17.266666666666666,3,1.0,0.054602184087363496,-0.02072884093566983,0.14500000000000002,0.37,22.299999999999997,17.266666666666666,5.521460917862246,,250.0,576,449,837.0,0.015625,0.0,0.005973715651135006,0.025210084033613446,0.0,0.021367521367521368,36.107648364880944,7.68490638892045,43.13965269850991,4.112164376793677,83.89801563324296
00-0031934,Devin Smith,devin smith,WR,2021,JAX,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2022,,,,,,,,,,,,,,0.5121107266435987,17,3674.0,1755.0,0.606425702811245,0.11053180044868476,0.22838809014081332,-0.04983420928358522,-0.07985079392868151,-0.061552656257204776,-0.11510088475629474,0.04526166902404526,0.11598302687411598,0.0050575261090509355,0.06086179525404116,-0.08256108122494986,0.03611608514676198,0.09809355536472188,-0.06378477625210485,0.12,9.0,1.0,,,,,,,,,,,29.49760438056126,22.299999999999997,3.0,-22.299999999999997,5.0,-5.0,8.433333333333332,4,1.0,0.033873343151693665,0.011388325872351598,0.515,-0.395,0.0,8.433333333333332,5.521460917862246,,250.0,579,390,751.0,0.0017271157167530224,0.0,0.0,0.0026455026455026454,0.0,0.0,10.545205808517778,-0.9909126653576532,16.99605553233008,0.9038919251285795,71.39022196032279
00-0031939,Matt Jones,matt jones,RB,2015,WAS,116.4,13,144,25,19,490,304,0,3,1,0,0,3,163.0,8.953846153846154,2016,75.3,0.0,0.0,0.0,99.0,460.0,3.0,8.0,8.0,73.0,0.0,2.0,7.0,0.46484375,16,4294.0,1566.0,0.5640243902439024,0.003448177158176106,0.08455294699748002,-0.13186332492815625,0.022815016045388884,0.16727530003324492,-0.19080903598382273,0.0430622009569378,0.12440191387559808,0.016654179518229173,0.09204055302335958,-0.10310976707288222,0.006039520182576929,0.07396882607559688,-0.1056353115816286,0.4030769230769231,341.0,13.0,2.0,,,,,,,,,,22.48596851471595,,,,,,116.4,1,,,,,,116.4,116.4,4.330733340286331,28.0,76.0,542,418,795.0,0.046125461254612546,0.3444976076555024,0.2050314465408805,0.2717391304347826,0.37209302325581395,0.35667396061269147,108.04976438257322,65.48891515651204,174.12664437372857,40.842751920618554,228.13734880059937
00-0031939,Matt Jones,matt jones,RB,2016,WAS,75.3,7,99,8,8,460,73,0,3,0,0,0,2,107.0,10.757142857142856,2017,1.4000000000000001,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.51171875,16,4948.0,1696.0,0.6156186612576064,0.06998361628273166,0.15601225276079775,-0.07056437295131367,0.11438415216293142,0.19863061363370746,-0.03802947302478973,0.03417533432392273,0.11738484398216939,-0.0013747697498325759,0.0644555646486469,-0.11790155101112212,-0.022357643490514795,0.03545298920361338,-0.12260511386336254,0.4714285714285714,221.0,7.0,1.0,,,3.89460869565218,,,,,,,23.488021902806295,116.4,,-41.10000000000001,163.0,-56.0,95.85,2,0.0,0.0430622009569378,-0.008886866633015071,0.4030769230769231,0.06835164835164831,75.3,95.85,5.697093486505405,90.0,298.0,592,379,785.0,0.013513513513513514,0.2612137203166227,0.13630573248407643,0.0898876404494382,0.2886297376093295,0.25907990314769974,59.668846355416875,19.423600882628023,101.34175156906855,2.4830301249692344,131.25479809277047
00-0031939,Matt Jones,matt jones,RB,2017,IND,1.4000000000000001,2,5,0,0,14,0,0,0,0,0,0,0,5.0,0.7000000000000001,2018,,,,,,,,,,,,,,0.48046875,16,3226.0,1661.0,0.5191897654584222,0.0676047881267069,0.19639885199569873,-0.09946430123046691,-0.10796486338058367,-0.10316724994595464,-0.11521459034846754,0.0915032679738562,0.17973856209150327,-0.05032537607528539,-0.0010329045113765672,-0.12607867952738133,-0.023554257897734,0.02934887761113518,-0.10841372466917813,0.030000000000000006,9.0,5.0,,,,,,,,,,,24.487337440109513,75.3,116.4,-73.89999999999999,107.0,-102.0,64.36666666666666,3,1.0,0.03417533432392273,0.05732793364993347,0.4714285714285714,-0.4414285714285714,1.4000000000000001,64.36666666666666,5.521460917862246,,250.0,467,451,734.0,0.0,0.011086474501108648,0.006811989100817439,0.0,0.013054830287206266,0.011235955056179775,52.900083780971684,2.884609623109943,76.88970878780079,-3.778776331967488,106.52376606429331
00-0031941,Jamison Crowder,jamison crowder,WR,2015,WAS,135.6,16,2,78,59,2,604,0,0,2,0,0,0,61.0,8.475,2016,197.5,0.0,0.0,0.0,2.0,-2.0,0.0,99.0,67.0,847.0,7.0,1.0,16.0,0.46484375,16,4294.0,1566.0,0.5640243902439024,0.003448177158176106,0.08455294699748002,-0.13186332492815625,0.022815016045388884,0.16727530003324492,-0.19080903598382273,0.0430622009569378,0.12440191387559808,0.016654179518229173,0.09204055302335958,-0.10310976707288222,0.006039520182576929,0.07396882607559688,-0.1056353115816286,0.7,735.0,16.0,3.0,,,,,,,,,,22.206707734428473,,,,,,135.6,1,,,,,,135.6,135.6,5.488937726156687,81.0,242.0,542,418,795.0,0.14391143911439114,0.004784688995215311,0.07672955974842767,0.2484076433121019,1.0,0.2975609756097561,130.2853123951173,79.4234409216834,197.3737968050917,40.453456038700125,208.21355885521356
00-0031941,Jamison Crowder,jamison crowder,WR,2016,WAS,197.5,16,2,99,67,-2,847,0,0,7,0,0,1,69.0,12.34375,2017,166.29999999999998,0.0,0.0,0.0,7.0,34.0,0.0,103.0,66.0,789.0,3.0,0.0,15.0,0.51171875,16,4948.0,1696.0,0.6156186612576064,0.06998361628273166,0.15601225276079775,-0.07056437295131367,0.11438415216293142,0.19863061363370746,-0.03802947302478973,0.03417533432392273,0.11738484398216939,-0.0013747697498325759,0.0644555646486469,-0.11790155101112212,-0.022357643490514795,0.03545298920361338,-0.12260511386336254,0.741875,781.0,16.0,1.0,,,,3.59347659118066,6.73223529411765,-0.0564490768610622,,,,23.208761122518823,135.6,,61.900000000000006,61.0,8.0,166.55,2,0.0,0.0430622009569378,-0.008886866633015071,0.7,0.041874999999999996,197.5,166.55,4.1588830833596715,31.0,64.0,592,379,785.0,0.16722972972972974,0.005277044854881266,0.08789808917197452,0.28205128205128205,1.0,0.3080357142857143,168.39793503210294,116.91387904723918,195.405701880498,91.09316343613288,227.36084807760778
