scope,position,n,full_r,adp_r,lift_r,full_mae,adp_mae,lift_mae
overall,,78,0.4375,0.4227,0.0148,186.757,189.592,-2.835
by_position,QB,10,0.2924,0.2924,0.0,307.203,307.201,0.002
by_position,RB,23,0.6289,0.5592,0.0697,186.882,201.968,-15.087
by_position,TE,8,0.9064,0.9418,-0.0354,61.779,50.062,11.717
by_position,WR,37,0.4099,0.4088,0.0011,181.149,180.28,0.869
