season,overall_pick,round,round_pick,team_id,espn_player_id,gsis_id,player_name,position,pro_team,is_keeper,bid_amount
2018,1,1,1,10,2977644,00-0032241,Todd Gurley II,RB,LA,False,0
2018,2,1,2,5,13934,00-0027793,Antonio Brown,WR,PIT,False,0
2018,3,1,3,1,3054850,00-0033906,Alvin Kamara,RB,NO,False,0
2018,4,1,4,3,8439,00-0023459,Aaron Rodgers,QB,GB,False,0
2018,5,1,5,2,3051392,00-0033045,Ezekiel Elliott,RB,DAL,False,0
2018,6,1,6,7,2508176,00-0032187,David Johnson,RB,ARI,False,0
2018,7,1,7,4,3929630,00-0034844,Saquon Barkley,RB,NYG,False,0
2018,8,1,8,8,16733,00-0031235,Odell Beckham Jr.,WR,NYG,False,0
2018,9,1,9,9,3059915,00-0033923,Kareem Hunt,RB,FA,False,0
2018,10,1,10,6,13982,00-0027944,Julio Jones,WR,ATL,False,0
2018,11,2,1,6,15795,00-0030564,DeAndre Hopkins,WR,HOU,False,0
2018,12,2,2,9,3115364,00-0033856,Leonard Fournette,RB,JAX,False,0
2018,13,2,3,8,2573300,00-0031590,Jay Ajayi,RB,PHI,False,0
2018,14,2,4,4,14881,00-0029263,Russell Wilson,QB,SEA,False,0
2018,15,2,5,7,2330,00-0019596,Tom Brady,QB,NE,False,0
2018,16,2,6,2,13994,00-0027939,Cam Newton,QB,CAR,False,0
2018,17,2,7,3,15825,00-0030496,Le'Veon Bell,RB,PIT,False,0
2018,18,2,8,1,3116593,00-0033893,Dalvin Cook,RB,MIN,False,0
2018,19,2,9,5,5536,00-0022924,Ben Roethlisberger,QB,PIT,False,0
2018,20,2,10,10,2976316,00-0032765,Michael Thomas,WR,NO,False,0
2018,21,3,1,10,2580,00-0020531,Drew Brees,QB,NO,False,0
2018,22,3,2,5,13229,00-0027656,Rob Gronkowski,TE,NE,False,0
2018,23,3,3,1,15818,00-0030279,Keenan Allen,WR,LAC,False,0
2018,24,3,4,3,13983,00-0027942,A.J. Green,WR,CIN,False,0
2018,25,3,5,2,2576434,00-0032144,Melvin Gordon,RB,LAC,False,0
2018,26,3,6,7,16800,00-0031381,Davante Adams,WR,GB,False,0
2018,27,3,7,4,3060022,00-0032780,Jordan Howard,RB,CHI,False,0
