gsis_id,player_name,position,draft_year,first_stat_season,ppr_y1,ppr_y2,ppr_y3,games_y1,games_y2,games_y3,dynasty_seasons_observed,dynasty_seasons_complete,dynasty_ppr_y1_y3_total,dynasty_ppr_y1_y3_avg_season,dynasty_ppr_y1_y3_avg_game,dynasty_games_y1_y3
00-0036297,Darrynton Evans,RB,2020,2020.0,16.099999999999998,3.8,10.700000000000001,4.0,1.0,3.0,3,1,30.6,10.200000000000001,3.825,8.0
00-0036332,Josiah Deguara,TE,2020,2020.0,2.2,61.5,24.4,1.0,12.0,9.0,3,1,88.1,29.366666666666664,4.004545454545454,22.0
00-0036225,Dalton Keene,TE,2020,2020.0,4.6,,,3.0,,,1,0,,,,
00-0036422,Adam Trautman,TE,2020,2020.0,38.1,63.3,44.7,10.0,11.0,12.0,3,1,146.10000000000002,48.70000000000001,4.427272727272728,33.0
00-0036370,Joshua Kelley,RB,2020,2020.0,81.2,17.0,64.8,13.0,8.0,12.0,3,1,163.0,54.333333333333336,4.9393939393939394,33.0
00-0036232,Harrison Bryant,TE,2020,2020.0,61.8,62.3,61.699999999999996,12.0,13.0,14.0,3,1,185.79999999999998,61.93333333333333,4.764102564102564,39.0
00-0036423,Albert Okwuegbunam,TE,2020,2020.0,29.1,76.0,25.5,4.0,13.0,6.0,3,1,130.6,43.53333333333333,5.678260869565217,23.0
00-0036269,La'Mical Perine,RB,2020,2020.0,52.5,3.0999999999999996,,9.0,2.0,,2,0,,,,
00-0036226,Jacob Eason,QB,2020,2021.0,-1.0,0.36,,1.0,1.0,,2,0,,,,
00-0036336,Anthony McFarland Jr.,RB,2020,2020.0,22.7,2.4,6.1,11.0,2.0,1.0,3,1,31.199999999999996,10.399999999999999,2.228571428571428,14.0
00-0036301,James Morgan,QB,2020,,,,,,,,0,0,,,,
00-0036196,Gabe Davis,WR,2020,2020.0,136.9,125.9,171.6,16.0,15.0,15.0,3,1,434.4,144.79999999999998,9.443478260869565,46.0
00-0036244,Colby Parkinson,TE,2020,2020.0,3.6,8.3,69.2,1.0,5.0,14.0,3,1,81.10000000000001,27.033333333333335,4.055000000000001,20.0
00-0036424,Brycen Hopkins,TE,2020,2021.0,1.9,17.900000000000002,12.8,1.0,7.0,4.0,3,1,32.6,10.866666666666667,2.716666666666667,12.0
00-0036340,Antonio Gandy-Golden,WR,2020,2020.0,3.5,,,4.0,,,1,0,,,,
00-0036425,DeeJay Dallas,RB,2020,2020.0,56.900000000000006,60.099999999999994,46.2,8.0,11.0,11.0,3,1,163.2,54.4,5.4399999999999995,30.0
