gsis_id,player_name,position,draft_year,score_draft_capital,score_draft_capital_coverage,score_pre_draft_fantasy,score_pre_draft_fantasy_coverage,score_recruiting,score_recruiting_coverage,score_timing,score_timing_coverage,score_cfb_receiving,score_cfb_receiving_coverage,score_cfb_rushing,score_cfb_rushing_coverage,score_cfb_passing,score_cfb_passing_coverage,score_combine_speed,score_combine_speed_coverage,score_combine_explosion,score_combine_explosion_coverage,score_combine_size,score_combine_size_coverage,score_team_context,score_team_context_coverage,predicted_rookie_ppr,ppr_low,ppr_high,predictive_q25,predictive_q75,success_score_0_100,rookie_ppr,first_stat_season,ff_adp,ff_adp_rank,predicted_adp_baseline
00-0030564,DeAndre Hopkins,WR,2013,1.149965376695297,1.0,1.0876479976718954,1.0,0.5042123318469551,1.0,0.36415659494099023,1.0,1.3651462358997044,1.0,,0.0,-0.46032777135629843,1.0,-1.4017050151968,0.6666666666666666,-0.7002749666183193,1.0,0.453393583129388,1.0,0.13264957425126578,0.4444444444444444,153.3823554577361,65.97468118252483,218.76767732713748,113.29221210021304,201.08349263367143,84.01639344262296,142.2,2013.0,117.5,114.0,178.56465169212575
00-0030521,Justin Hunter,WR,2013,1.057404544301538,1.0,-0.05040980470224178,1.0,0.5471730579205882,1.0,-0.30971172574385075,1.0,0.34570336875704616,1.0,,0.0,,0.0,-0.10577277170609116,0.6666666666666666,1.732749431793745,1.0,0.4916326015017866,1.0,-0.4248960746997841,0.4444444444444444,85.96204756073399,21.460019324873272,213.3504496068895,40.51615272156984,162.94607414283234,65.1639344262295,77.39999999999999,2013.0,274.7,280.0,77.37025251186168
00-0030456,Giovani Bernard,RB,2013,1.3929243042130257,1.0,0.9977808417025035,1.0,0.5505623728357825,1.0,-0.3640919714959394,1.0,2.1237773590947504,1.0,0.24985366193853856,1.0,,0.0,0.6335877120518252,1.0,-0.021524761322969786,1.0,-1.2787118452093278,1.0,0.06462815013607631,0.2857142857142857,214.0138334166713,91.16025184099453,317.55414895956085,168.31729239036258,227.2910994009195,92.94117647058823,222.9,2013.0,55.8,54.0,187.0472472388466
00-0030431,Robert Woods,WR,2013,0.964843711907779,1.0,0.3743732854395323,1.0,1.473231704384836,1.0,0.36415659494099023,1.0,0.3196272633976015,1.0,-0.15412637739974253,1.0,,0.0,-0.9483994668078395,1.0,-0.9164362785325657,1.0,-0.20634414753230995,1.0,-0.7990299780397037,0.4444444444444444,121.16298935507045,26.208557589032825,199.64624603279424,59.89359288845522,188.3586384335627,77.04918032786885,120.3,2013.0,218.0,216.0,101.13453898906529
00-0030496,Le'Veon Bell,RB,2013,1.2324827613193787,1.0,0.5946539044675794,1.0,-1.1735646952732626,1.0,0.3551495072800737,1.0,0.14748158089229157,1.0,0.7034951969959342,1.0,-0.32278955607198734,1.0,0.3840235732195838,1.0,-0.7174313531945754,1.0,1.3150207732575334,1.0,-0.5218888898574421,0.2857142857142857,189.2199431913144,33.879963904816336,234.33852029545343,110.17094682977825,198.80238119299125,87.6470588235294,216.9,2013.0,88.7,141.0,170.1975364133316
00-0030279,Keenan Allen,WR,2013,0.5020395499389837,1.0,0.19096230194948086,1.0,1.4654846882076233,1.0,0.36415659494099023,1.0,-0.32261883875733155,1.0,0.14363179668621032,1.0,-0.4023735140035016,1.0,-1.1598514663540225,0.3333333333333333,,0.0,0.3980355656179877,1.0,0.12131383501043397,0.4444444444444444,91.00319898545577,19.63750620290236,212.2466219981351,47.577383066767425,186.9913107139574,66.80327868852459,221.6,2013.0,246.0,240.0,85.18007118558701
00-0030550,Ace Sanders,WR,2013,0.17146514853270128,1.0,-0.4158064057192075,1.0,-0.7331355101016506,1.0,-0.30971172574385075,1.0,-0.5119316919857952,1.0,-0.38461895408547897,1.0,0.536562668250876,1.0,-0.39528597179295394,1.0,-1.1535481192138255,1.0,-2.2451021969167693,1.0,-0.2380500683865565,0.4444444444444444,29.606181922165213,8.56169140109569,121.73797625503607,18.447801668848907,65.26977629803106,40.16393442622951,,,309.0,350.0,26.97861786345585
00-0030474,Josh Boyce,WR,2013,0.15824217247644998,1.0,-0.1815419755629064,1.0,-1.6853142257008633,1.0,-0.1733732256600992,1.0,-0.052861817355014315,1.0,0.042215062944486244,1.0,,0.0,1.1333413107557293,1.0,0.41577662624282646,1.0,-0.2531426654742093,1.0,0.4696544064153674,0.4444444444444444,26.848581101618546,9.509944632705974,137.61101824484456,17.62272078061702,74.00977476143723,36.885245901639344,21.1,2013.0,291.0,301.0,19.5977140867523
00-0030497,Marcus Lattimore,RB,2013,0.021878392212770038,1.0,-0.11013344746679392,1.0,1.5982734569231265,1.0,-1.6820927061856528,0.5,-0.20952870907563956,1.0,-0.284779457437548,1.0,,0.0,-1.3383607796414514,0.3333333333333333,,0.0,0.36638137443976915,1.0,0.752413525650466,0.2857142857142857,26.797252599601745,0.7389598732370892,148.79945213480013,26.797252599601745,72.50399205669946,35.88235294117647,,,223.3,223.0,51.74146228235421
00-0030085,Kenny Stills,WR,2013,-0.3971228218861044,1.0,0.3884643454582914,1.0,0.4661815251588209,1.0,0.36415659494099023,1.0,0.498845407803816,1.0,-0.32008103261347276,1.0,,0.0,0.1833721399425621,0.6666666666666666,-0.2898484662584129,1.0,-0.44470939692334277,1.0,0.9324784545624492,0.4444444444444444,89.0994464980915,2.2812942182908538,130.86739172281239,18.643219756558004,127.85042080658651,66.39344262295081,127.1,2013.0,216.0,214.0,101.13453898906529
