season,source,blend_model_weight,team_id,proj_points_for,sim_wins_mean,sim_wins_p10,sim_wins_p90,sim_points_mean,sim_seed_mean,playoff_odds,title_odds
2018,model,,1,1220.6892885832517,6.323333333333333,4.0,9.0,1219.9390532153936,5.74,0.5723333333333334,0.072
2018,model,,2,1197.0778103507673,5.983333333333333,4.0,8.0,1197.1421747968336,6.295,0.4856666666666667,0.06433333333333334
2018,model,,3,1248.2323097956532,6.889333333333333,5.0,9.0,1251.1771590045003,4.859666666666667,0.6983333333333334,0.10633333333333334
2018,model,,4,1259.8842469611475,6.947,5.0,9.0,1258.52575501783,4.764666666666667,0.7076666666666667,0.13433333333333333
2018,model,,5,1210.0997434064682,6.326333333333333,4.0,9.0,1212.1207102962153,5.778333333333333,0.5676666666666667,0.078
2018,model,,6,1278.1833629662522,7.410666666666667,5.0,10.0,1275.456832575644,4.169666666666667,0.7896666666666666,0.16666666666666666
2018,model,,7,1188.4516550646044,6.049666666666667,4.0,8.0,1189.5203810767525,6.276,0.488,0.059666666666666666
2018,model,,8,1080.6792686865535,4.846,3.0,7.0,1079.8949892697144,8.068,0.213,0.014
2018,model,,9,1330.3498979072094,7.6066666666666665,5.0,10.0,1328.6634691899415,3.7333333333333334,0.842,0.206
2018,model,,10,1243.2710393800185,6.617666666666667,4.0,9.0,1242.6023245004035,5.315333333333333,0.6356666666666667,0.09866666666666667
2018,adp,,1,1310.562872486127,6.613333333333333,4.0,9.0,1307.3222964565973,5.265,0.6396666666666667,0.10033333333333333
2018,adp,,2,1242.0337789007428,5.905333333333333,4.0,8.0,1245.4813963013858,6.436,0.44966666666666666,0.052333333333333336
2018,adp,,3,1356.0791085878009,7.301,5.0,9.0,1357.6790229523265,4.203,0.7736666666666666,0.17033333333333334
2018,adp,,4,1250.1249390262085,6.249,4.0,8.0,1248.489853622757,6.013,0.527,0.061
2018,adp,,5,1280.347937600433,6.3613333333333335,4.0,9.0,1280.0421179496689,5.714,0.569,0.074
2018,adp,,6,1326.7366185931708,7.416,5.0,10.0,1327.5925893496124,4.259333333333333,0.7883333333333333,0.14433333333333334
2018,adp,,7,1325.5322741159712,7.034,5.0,9.0,1325.6003914770502,4.718666666666667,0.731,0.13666666666666666
2018,adp,,8,1066.670575488519,4.035666666666667,2.0,6.0,1066.3555195838555,8.967,0.09,0.0026666666666666666
2018,adp,,9,1301.7814039047128,6.548,4.0,9.0,1301.2174064147603,5.457,0.6173333333333333,0.08733333333333333
2018,adp,,10,1352.5162447262887,7.536333333333333,5.0,10.0,1357.2472970664526,3.967,0.8143333333333334,0.171
2018,blend,0.3,1,1277.2918247369807,6.640333333333333,4.0,9.0,1280.0686808817761,5.230666666666667,0.6336666666666667,0.109
2018,blend,0.3,2,1212.639212051866,5.831333333333333,4.0,8.0,1216.1948626173778,6.515333333333333,0.44433333333333336,0.05333333333333334
2018,blend,0.3,3,1317.3518615938376,7.122,5.0,9.0,1317.570039125248,4.498,0.737,0.138
2018,blend,0.3,4,1246.319448942379,6.503333333333333,4.0,9.0,1248.3260034683599,5.583666666666667,0.5793333333333334,0.08433333333333333
2018,blend,0.3,5,1252.7041822424942,6.384,4.0,9.0,1256.1426021146037,5.661666666666667,0.5816666666666667,0.07933333333333334
2018,blend,0.3,6,1301.9737266016186,7.437333333333333,5.0,10.0,1303.56773150923,4.221666666666667,0.795,0.147
2018,blend,0.3,7,1280.273182967721,6.768,4.0,9.0,1277.452374408063,5.139,0.6656666666666666,0.10866666666666666
2018,blend,0.3,8,1056.9495199367277,4.164666666666666,2.0,6.0,1055.321388289146,8.830666666666668,0.10233333333333333,0.004333333333333333
2018,blend,0.3,9,1303.6570475496528,6.889333333333333,5.0,9.0,1301.91512457784,4.907666666666667,0.6976666666666667,0.12933333333333333
2018,blend,0.3,10,1309.2361536112066,7.259666666666667,5.0,10.0,1311.983788014088,4.411666666666667,0.7633333333333333,0.14666666666666667
2019,model,,1,1215.2377476615604,5.755333333333334,4.0,8.0,1212.8002654672225,6.766333333333334,0.4103333333333333,0.05
2019,model,,2,1273.8075182571645,6.518,4.0,9.0,1275.3419660169614,5.397333333333333,0.6196666666666667,0.09166666666666666
2019,model,,3,1323.0150813529121,7.392333333333333,5.0,10.0,1321.6574081027074,4.019333333333333,0.7956666666666666,0.17566666666666667
2019,model,,4,1201.9543328234747,5.838666666666667,4.0,8.0,1203.572932837085,6.675333333333334,0.42966666666666664,0.035333333333333335
