target_season,gsis_id,player_name,position,team,predicted_ppr,pred_q25,pred_q75,prior_ppr,prior_games,actual_ppr
2018,00-0019596,Tom Brady,QB,NE,273.6283028972927,240.65241234556035,314.41955176834057,295.88,16,281.3
2018,00-0020531,Drew Brees,QB,NO,302.19811789625203,247.47106784766362,329.4070849961795,262.56,16,304.98
2018,00-0021206,Josh McCown,QB,NYJ,132.46291188151594,103.46705748373564,223.01486708739125,205.44,13,20.76
2018,00-0021429,Carson Palmer,QB,ARI,191.24611543371404,103.63013957657743,277.4573749756346,102.32,7,
2018,00-0022803,Eli Manning,QB,NYG,228.67857241346132,205.79465653773406,273.76741004855955,187.32,15,239.96
2018,00-0022924,Ben Roethlisberger,QB,PIT,255.8956300929349,224.88724417453977,261.17989754319416,261.06,15,341.86
2018,00-0022942,Philip Rivers,QB,LAC,281.30947845510644,255.0872147695064,281.30947845510644,270.4,16,285.02
2018,00-0023436,Alex Smith,QB,KC,268.38033509417306,227.67531516215593,276.59522461767443,295.18,15,138.0
2018,00-0023459,Aaron Rodgers,QB,GB,269.75405197017517,197.4170614571758,309.6106497284314,129.6,7,312.58
2018,00-0023645,Derek Anderson,QB,CAR,10.604250704137165,1.5865666912077554,23.972253306035782,0.48,3,6.5
2018,00-0023662,Matt Cassel,QB,TEN,15.353887144348159,0.7406087908263158,19.886855546120447,2.4799999999999995,2,1.66
2018,00-0023682,Ryan Fitzpatrick,QB,TB,103.46359666463202,57.9918782155808,158.48380086211813,73.92,6,165.84
2018,00-0024226,Jay Cutler,QB,MIA,117.36184612756071,58.68910369184589,205.5921920909129,157.84,14,
2018,00-0024264,Kellen Clemens,QB,LAC,18.41014136517578,0.07884726698382122,52.98115941077109,-1.0599999999999998,3,
2018,00-0025430,Drew Stanton,QB,ARI,71.7842844070709,-0.1493584966992795,151.7819110858628,50.46,5,
2018,00-0025708,Matt Moore,QB,MIA,26.18845645878842,1.4677623006997345,96.09584326060506,41.34,4,
2018,00-0026143,Matt Ryan,QB,ATL,270.61385994551614,220.6086996624563,272.28736859372265,228.1,16,354.96
2018,00-0026158,Joe Flacco,QB,BAL,224.67818081589695,127.44956018420675,238.19303812964876,185.04,16,137.1
2018,00-0026197,Chad Henne,QB,JAX,0.28796995964385824,0.28796995964385824,38.91891090529513,-0.5,2,1.46
2018,00-0026498,Matthew Stafford,QB,DET,272.79870991079105,235.37230991951185,287.2085716563826,273.64,16,212.18
2018,00-0026544,Chase Daniel,QB,NO,17.969959524002768,3.4807540291462913,55.750609766797034,-0.2,1,30.7
2018,00-0026625,Brian Hoyer,QB,SF,83.74438197351725,15.099359181247172,147.27063538269473,62.5,6,-0.52
2018,00-0027796,Joe Webb,QB,BUF,21.576108373385964,0.9789561519608959,31.760519946723193,4.800000000000001,2,3.3
2018,00-0027854,Sam Bradford,QB,MIN,102.78506830550687,59.35725682736844,148.83303428480028,26.98,2,12.7
2018,00-0027939,Cam Newton,QB,CAR,266.55917129906237,220.8705669016786,313.0611589176588,299.48,16,282.6
2018,00-0027948,Blaine Gabbert,QB,ARI,66.3537262818576,11.776587450779882,145.29497567814062,61.64,5,33.04
2018,00-0027973,Andy Dalton,QB,CIN,220.34040291444782,184.8742079390945,263.68082612873206,210.7,16,174.54
2018,00-0028012,Ryan Mallett,QB,BAL,3.671174513997076,1.7078504615938708,36.19491307256794,9.94,2,
2018,00-0028090,T.J. Yates,QB,HOU,48.480943800295876,5.2961107249784485,103.07691194872828,34.02,4,
2018,00-0028118,Tyrod Taylor,QB,BUF,222.41903585793688,181.36368122001485,259.921150056021,222.66,15,41.42
2018,00-0028595,Scott Tolzien,QB,IND,53.55398733885549,2.840501124129865,79.96505943958304,1.32,1,
2018,00-0028957,Austin Davis,QB,SEA,9.338447132375821,3.152665559513676,28.25378534905712,-0.1,1,
2018,00-0028986,Case Keenum,QB,MIN,159.96944506035172,127.75245048149976,217.2940533142641,237.88,15,214.9
2018,00-0029263,Russell Wilson,QB,SEA,273.47667363535396,207.4537677288444,327.9422187410598,347.92,16,299.42
2018,00-0029567,Nick Foles,QB,PHI,86.7100207841248,1.0978918863729565,119.10592075193719,33.78,7,76.72
2018,00-0029604,Kirk Cousins,QB,WAS,289.32288796144763,255.5722806892001,335.90644339121485,277.62,16,283.12
2018,00-0029682,Brock Osweiler,QB,DEN,77.12482432737225,8.912796638225748,143.0701420904885,67.92,6,67.98
2018,00-0030151,Tyler Bray,QB,KC,19.212072423671074,4.440491236899445,37.464363450045305,-2.0,1,
2018,00-0030520,Mike Glennon,QB,CHI,48.69836561673966,4.464827072201651,123.66807444656757,33.72,4,10.96
2018,00-0030524,Landry Jones,QB,PIT,19.61938770232916,6.474849481609773,46.87069933194638,8.56,3,
2018,00-0030526,EJ Manuel,QB,LV,18.205112100433723,3.6566678962136843,50.50824731187768,14.1,2,
2018,00-0030565,Geno Smith,QB,NYG,23.196662623033564,9.211325411370712,55.386754893573034,9.68,2,-1.4800000000000002
2018,00-0031064,Tom Savage,QB,HOU,121.58759402899557,4.186282277813931,150.3827952862449,50.68,8,
2018,00-0031076,David Fales,QB,MIA,19.243789274673556,2.6425566554666995,97.60531460497361,19.4,2,
2018,00-0031237,Teddy Bridgewater,QB,MIN,26.36387382046845,11.102621291648138,70.30611202105865,-2.3,1,7.22
2018,00-0031280,Derek Carr,QB,LV,254.37296007716162,197.99116006044852,277.36895316450284,208.44,15,216.76
