gsis_id,player_name,position,cfb_final_season,cfb_pass_yards,cfb_pass_td,cfb_rush_yards,cfb_rush_td,cfb_rec,cfb_rec_yards,cfb_rec_td
00-0034369,Kyle Lauletta,QB,2016,337.0,3.0,-1.0,0.0,,,
00-0034679,Mark Walton,RB,2017,,,428.0,3.0,7.0,91.0,0.0
00-0034370,DaeSean Hamilton,WR,2017,,,2.0,0.0,53.0,857.0,9.0
00-0034159,Will Dissly,TE,2017,,,,,20.0,281.0,2.0
00-0034798,Durham Smythe,TE,2017,,,,,15.0,244.0,1.0
00-0034378,Ito Smith,RB,2017,,,1413.0,13.0,40.0,396.0,2.0
00-0034799,Kalen Ballage,RB,2017,,,669.0,6.0,20.0,91.0,0.0
00-0034267,Jaleel Scott,WR,2017,,,,,76.0,1079.0,9.0
00-0034268,J'Mon Moore,WR,2017,,,,,65.0,1082.0,10.0
00-0034681,Chase Edmonds,RB,2017,,,42.0,1.0,2.0,21.0,0.0
00-0034383,Dalton Schultz,TE,2017,,,,,22.0,212.0,3.0
00-0034386,Justin Watson,WR,,,,,,,,
00-0034393,Troy Fumagalli,TE,2017,,,,,46.0,547.0,4.0
00-0034270,Tyler Conklin,TE,2017,,,,,35.0,504.0,5.0
00-0034395,Daurice Fountain,WR,2017,,,,,3.0,30.0,0.0
00-0034271,Jordan Lasley,WR,2017,,,-6.0,0.0,69.0,1264.0,9.0
00-0034331,Jaylen Samuels,TE,2017,25.0,0.0,407.0,12.0,75.0,593.0,4.0
00-0034400,Jordan Wilkins,RB,2017,,,1011.0,9.0,26.0,241.0,1.0
00-0034401,Mike White,QB,2017,4177.0,26.0,-268.0,6.0,,,
00-0034272,Marquez Valdes-Scantling,WR,2017,,,108.0,1.0,53.0,879.0,6.0
00-0034273,Damion Ratley,WR,2017,,,,,30.0,694.0,6.0
00-0034808,John Kelly,RB,2017,10.0,0.0,778.0,9.0,37.0,299.0,0.0
00-0034406,Deon Cain,WR,2017,,,,,58.0,734.0,6.0
00-0034407,Ray-Ray McCloud,WR,2017,,,30.0,0.0,49.0,503.0,1.0
00-0034409,Dylan Cantrell,WR,2017,,,3.0,1.0,71.0,816.0,7.0
00-0034411,Russell Gage,WR,2017,0.0,0.0,232.0,1.0,21.0,285.0,3.0
00-0034278,Tremon Smith,WR,,,,,,,,
00-0034412,Luke Falk,QB,2017,3593.0,30.0,-147.0,0.0,,,
00-0034414,Boston Scott,RB,2017,,,1040.0,8.0,20.0,181.0,1.0
00-0034416,Tanner Lee,QB,2017,3143.0,23.0,-97.0,2.0,,,
00-0034164,Trenton Cannon,RB,,,,,,,,
00-0034279,Equanimeous St. Brown,WR,2017,,,,,33.0,515.0,4.0
00-0034418,Cedrick Wilson Jr.,WR,2017,46.0,0.0,13.0,0.0,83.0,1511.0,7.0
00-0034419,Braxton Berrios,WR,2017,17.0,0.0,9.0,0.0,54.0,670.0,9.0
00-0034420,Jordan Thomas,TE,2017,,,,,22.0,263.0,3.0
00-0034423,Danny Etling,QB,2017,2463.0,16.0,128.0,2.0,,,
00-0034732,Alex McGough,QB,2017,2798.0,17.0,231.0,5.0,,,
00-0034426,Javon Wims,WR,2017,,,,,46.0,724.0,7.0
00-0034427,David Williams,RB,2017,,,656.0,8.0,10.0,171.0,2.0
00-0034747,Marcell Ateman,WR,2017,,,,,59.0,1156.0,8.0
00-0034432,Bo Scarbrough,RB,2017,,,596.0,8.0,17.0,109.0,0.0
00-0034433,Nick Bawden,RB,2017,,,,,15.0,103.0,1.0
00-0034286,Richie James,WR,2017,0.0,0.0,57.0,0.0,31.0,290.0,3.0
00-0034438,Logan Woodside,QB,2017,3882.0,28.0,34.0,1.0,,,
00-0034439,Ryan Izzo,TE,2017,,,,,20.0,317.0,3.0
00-0034440,Justin Jackson,RB,2017,12.0,1.0,1311.0,11.0,44.0,276.0,0.0
00-0034686,Auden Tate,WR,2017,,,,,40.0,548.0,10.0
00-0034442,Austin Proehl,WR,2017,0.0,0.0,,,21.0,337.0,1.0
00-0034339,Trey Quinn,WR,2017,34.0,0.0,0.0,0.0,114.0,1236.0,13.0
00-0035228,Kyler Murray,QB,2018,4364.0,42.0,1001.0,12.0,,,
00-0035710,Daniel Jones,QB,2018,2674.0,22.0,319.0,3.0,1.0,6.0,0.0
00-0035229,T.J. Hockenson,TE,2018,,,4.0,1.0,49.0,750.0,6.0
00-0035232,Dwayne Haskins,QB,2018,4751.0,49.0,108.0,4.0,,,
00-0035644,Noah Fant,TE,2018,,,1.0,0.0,39.0,518.0,7.0
00-0035700,Josh Jacobs,RB,2018,,,640.0,11.0,20.0,247.0,3.0
00-0035662,Marquise Brown,WR,2018,,,0.0,0.0,75.0,1318.0,10.0
00-0035624,N'Keal Harry,WR,2018,0.0,0.0,10.0,1.0,73.0,1088.0,9.0
00-0035719,Deebo Samuel,WR,2018,13.0,1.0,26.0,0.0,62.0,882.0,11.0
00-0035704,Drew Lock,QB,2018,3498.0,28.0,175.0,6.0,,,
00-0034970,Irv Smith Jr.,TE,2018,,,,,44.0,710.0,7.0
00-0035676,A.J. Brown,WR,2018,,,,,85.0,1355.0,6.0
00-0035631,Drew Sample,TE,2018,,,,,24.0,245.0,3.0
00-0035243,Miles Sanders,RB,2018,,,1271.0,9.0,24.0,139.0,0.0
00-0035140,Mecole Hardman,WR,2018,,,36.0,0.0,34.0,532.0,7.0
00-0035246,JJ Arcega-Whiteside,WR,2018,,,,,62.0,1040.0,14.0
00-0035639,Parris Campbell,WR,2018,,,102.0,1.0,88.0,983.0,11.0
00-0035527,Andy Isabella,WR,2018,,,79.0,1.0,101.0,1697.0,13.0
00-0035640,D.K. Metcalf,WR,2018,,,,,26.0,569.0,5.0
00-0035216,Diontae Johnson,WR,2018,,,17.0,0.0,49.0,761.0,8.0
00-0034971,Jalen Hurd,WR,2018,,,209.0,3.0,69.0,946.0,4.0
00-0035249,Josh Oliver,TE,2018,,,,,56.0,709.0,4.0
00-0035664,Darrell Henderson,RB,2018,4.0,1.0,1909.0,22.0,19.0,295.0,3.0
00-0035685,David Montgomery,RB,2018,,,1185.0,13.0,22.0,157.0,0.0
00-0035250,Devin Singletary,RB,2018,3.0,0.0,1348.0,22.0,6.0,36.0,0.0
00-0035671,Jace Sternberger,TE,2018,,,4.0,0.0,48.0,832.0,10.0
00-0035659,Terry McLaurin,WR,2018,,,,,35.0,701.0,11.0
00-0035660,Kahale Warring,TE,2018,,,,,31.0,372.0,3.0
00-0035657,Damien Harris,RB,2018,,,876.0,9.0,22.0,204.0,0.0
00-0035703,Miles Boykin,WR,2018,,,,,59.0,872.0,8.0
00-0035689,Dawson Knox,TE,2018,,,,,14.0,278.0,0.0
00-0035251,Will Grier,QB,2018,3864.0,37.0,-95.0,3.0,,,
00-0034972,Alexander Mattison,RB,2018,,,1412.0,17.0,27.0,173.0,0.0
00-0035529,Hakeem Butler,WR,2018,,,,,60.0,1318.0,9.0
00-0035652,Ryan Finley,QB,2018,3612.0,21.0,20.0,1.0,,,
00-0035256,Bryce Love,RB,2018,,,736.0,6.0,20.0,99.0,0.0
00-0034975,Justice Hill,RB,2018,,,930.0,9.0,13.0,68.0,0.0
00-0035589,Gary Jennings Jr,WR,2018,,,,,54.0,917.0,13.0
00-0035259,Trevon Wesco,TE,2018,0.0,0.0,3.0,0.0,26.0,366.0,1.0
00-0035217,Benny Snell Jr.,RB,2018,43.0,1.0,1434.0,16.0,17.0,105.0,0.0
00-0035590,Riley Ridley,WR,2018,,,,,44.0,570.0,9.0
00-0035261,Tony Pollard,RB,2018,,,553.0,6.0,38.0,444.0,3.0
00-0035264,Jarrett Stidham,QB,2018,2795.0,18.0,-5.0,3.0,,,
00-0034981,Foster Moreau,TE,2018,,,,,22.0,272.0,2.0
00-0035268,Ryquell Armstead,RB,2018,,,1098.0,13.0,8.0,52.0,0.0
00-0035222,Zach Gentry,TE,2018,,,,,32.0,514.0,2.0
00-0034983,Hunter Renfrow,WR,2018,2.0,0.0,,,49.0,544.0,1.0
00-0035273,Qadree Ollison,RB,2018,0.0,0.0,1213.0,11.0,11.0,66.0,0.0
00-0035275,Jordan Scarlett,RB,2018,,,776.0,5.0,10.0,84.0,0.0
00-0035282,Easton Stick,QB,2016,124.0,1.0,35.0,0.0,,,
00-0035283,Clayton Thorson,QB,2018,3181.0,17.0,-110.0,9.0,,,
00-0035535,Darius Slayton,WR,2018,,,,,35.0,670.0,5.0
00-0035287,KeeSean Johnson,WR,2018,,,14.0,0.0,95.0,1340.0,8.0
00-0034988,Kaden Smith,TE,2018,,,,,47.0,635.0,2.0
00-0035289,Gardner Minshew II,QB,2018,4776.0,38.0,119.0,4.0,,,
00-0035291,Trayveon Williams,RB,2018,,,1760.0,18.0,27.0,277.0,1.0
00-0035592,Travis Fulgham,WR,2018,,,,,63.0,1083.0,9.0
00-0035537,Ty Johnson,RB,2018,,,506.0,3.0,6.0,22.0,0.0
00-0035593,Juwann Winfree,WR,2018,,,,,28.0,324.0,2.0
00-0034995,Dexter Williams,RB,2018,,,995.0,12.0,16.0,133.0,1.0
00-0035146,Trace McSorley,QB,2018,2513.0,18.0,799.0,12.0,,,
00-0035296,Marcus Green,WR,2018,,,193.0,1.0,50.0,855.0,8.0
00-0035594,Travis Homer,RB,2018,,,985.0,4.0,19.0,186.0,0.0
00-0035297,Kelvin Harmon,WR,2018,,,,,74.0,1086.0,6.0
00-0035298,Scott Miller,WR,2018,24.0,0.0,16.0,0.0,70.0,1106.0,9.0
00-0035299,Rodney Anderson,RB,2018,,,119.0,3.0,,,
00-0035148,Darwin Thompson,RB,2018,,,1044.0,14.0,23.0,351.0,2.0
00-0035303,Mike Weber,RB,2018,,,954.0,5.0,21.0,112.0,1.0
00-0035304,Cullen Gillaspia,RB,2018,,,33.0,1.0,5.0,52.0,0.0
00-0035596,Kerrith Whyte Jr,RB,2018,,,866.0,8.0,10.0,160.0,2.0
00-0035539,Isaac Nauta,TE,2018,,,31.0,1.0,30.0,430.0,3.0
00-0035308,Tommy Sweeney,TE,2018,,,,,32.0,348.0,3.0
00-0035309,Alizé Mack,TE,,,,,,,,
00-0035310,Chandler Cox,RB,2018,,,3.0,2.0,10.0,81.0,1.0
00-0035311,Myles Gaskin,RB,2018,2.0,1.0,1269.0,12.0,21.0,77.0,1.0
00-0035597,John Ursua,WR,2018,,,4.0,1.0,89.0,1343.0,16.0
00-0035313,Terry Godwin,WR,2018,,,,,22.0,373.0,3.0
00-0035002,Dillon Mitchell,WR,2018,,,5.0,0.0,75.0,1184.0,10.0
00-0035006,Olabisi Johnson,WR,2018,,,,,54.0,796.0,4.0
00-0035320,Caleb Wilson,TE,2018,,,4.0,0.0,60.0,965.0,4.0
00-0036442,Joe Burrow,QB,2019,5671.0,60.0,369.0,5.0,1.0,16.0,0.0
00-0036212,Tua Tagovailoa,QB,2019,2840.0,33.0,17.0,2.0,,,
00-0036355,Justin Herbert,QB,2019,3471.0,32.0,50.0,4.0,,,
00-0036357,Henry Ruggs III,WR,2019,,,75.0,1.0,40.0,746.0,7.0
00-0036407,Jerry Jeudy,WR,2019,,,1.0,0.0,77.0,1163.0,10.0
00-0036358,CeeDee Lamb,WR,2019,,,20.0,1.0,62.0,1327.0,14.0
00-0036387,Jalen Reagor,WR,2019,,,89.0,0.0,43.0,611.0,5.0
00-0036322,Justin Jefferson,WR,2019,,,,,111.0,1540.0,18.0
00-0036261,Brandon Aiyuk,WR,2019,,,6.0,0.0,65.0,1192.0,8.0
00-0036264,Jordan Love,QB,2019,3402.0,20.0,175.0,0.0,,,
00-0036360,Clyde Edwards-Helaire,RB,2019,,,1414.0,16.0,55.0,453.0,1.0
00-0036410,Tee Higgins,WR,2019,,,36.0,1.0,59.0,1167.0,13.0
00-0036252,Michael Pittman Jr.,WR,2019,,,,,101.0,1275.0,11.0
00-0036275,D'Andre Swift,RB,2019,,,1218.0,7.0,24.0,216.0,1.0
00-0036223,Jonathan Taylor,RB,2019,,,2003.0,21.0,26.0,252.0,5.0
00-0036268,Laviska Shenault Jr.,WR,2019,,,161.0,2.0,56.0,764.0,4.0
00-0036290,Cole Kmet,TE,2019,,,,,43.0,515.0,6.0
00-0036412,KJ Hamler,WR,2019,,,43.0,0.0,56.0,904.0,8.0
00-0036326,Chase Claypool,WR,2019,,,,,66.0,1037.0,13.0
00-0036414,Cam Akers,RB,2019,50.0,0.0,1144.0,14.0,30.0,225.0,4.0
00-0036389,Jalen Hurts,QB,2019,3851.0,32.0,1298.0,20.0,2.0,25.0,1.0
00-0036158,J.K. Dobbins,RB,2019,,,2003.0,21.0,23.0,247.0,2.0
00-0036415,Van Jefferson,WR,2019,,,7.0,0.0,49.0,657.0,6.0
00-0036255,Denzel Mims,WR,2019,,,,,66.0,1020.0,12.0
00-0036265,AJ Dillon,RB,2019,,,1685.0,14.0,13.0,195.0,1.0
00-0036328,Antonio Gibson,RB,2019,,,369.0,4.0,38.0,735.0,8.0
00-0036450,Ke'Shawn Vaughn,RB,2019,,,1028.0,9.0,28.0,270.0,1.0
00-0036364,Lynn Bowden Jr.,WR,2019,403.0,3.0,1468.0,13.0,30.0,348.0,1.0
00-0036365,Bryan Edwards,WR,2019,,,22.0,0.0,71.0,816.0,6.0
00-0036251,Zack Moss,RB,2019,,,1416.0,15.0,28.0,388.0,2.0
00-0036194,Devin Asiasi,TE,2019,,,,,44.0,641.0,4.0
00-0036331,Devin Duvernay,WR,2019,14.0,0.0,24.0,1.0,106.0,1386.0,9.0
00-0036297,Darrynton Evans,RB,2019,14.0,0.0,1479.0,18.0,21.0,198.0,5.0
00-0036332,Josiah Deguara,TE,2019,,,2.0,1.0,39.0,504.0,7.0
00-0036225,Dalton Keene,TE,2019,,,33.0,0.0,20.0,236.0,5.0
00-0036422,Adam Trautman,TE,,,,,,,,
00-0036370,Joshua Kelley,RB,2019,,,1060.0,12.0,11.0,71.0,1.0
00-0036232,Harrison Bryant,TE,2019,,,,,65.0,1004.0,7.0
00-0036423,Albert Okwuegbunam,TE,2019,,,,,26.0,306.0,6.0
00-0036269,La'Mical Perine,RB,,,,,,,,
00-0036226,Jacob Eason,QB,2019,3132.0,23.0,-69.0,1.0,0.0,5.0,0.0
00-0036336,Anthony McFarland Jr.,RB,2019,,,614.0,8.0,17.0,126.0,1.0
00-0036301,James Morgan,QB,2019,2560.0,14.0,-34.0,2.0,,,
00-0036196,Gabe Davis,WR,,,,,,,,
00-0036244,Colby Parkinson,TE,2019,8.0,1.0,,,48.0,589.0,1.0
00-0036424,Brycen Hopkins,TE,2019,,,,,61.0,830.0,7.0
00-0036340,Antonio Gandy-Golden,WR,2019,,,,,79.0,1396.0,10.0
00-0036425,DeeJay Dallas,RB,2019,,,693.0,8.0,14.0,140.0,2.0
00-0036377,Joe Reed,WR,2019,,,42.0,0.0,77.0,679.0,7.0
00-0036427,Tyler Johnson,WR,2019,,,-1.0,0.0,86.0,1318.0,13.0
00-0036254,Collin Johnson,WR,2019,,,,,38.0,559.0,3.0
00-0036277,Quintez Cephus,WR,2019,,,,,59.0,901.0,7.0
00-0036197,Jake Fromm,QB,2019,2860.0,24.0,-12.0,0.0,,,
00-0036398,John Hightower,WR,2019,4.0,0.0,139.0,0.0,51.0,943.0,8.0
00-0036308,Isaiah Coulter,WR,2019,,,,,11.0,205.0,1.0
00-0036278,Jason Huntley,RB,2019,,,1090.0,9.0,40.0,192.0,2.0
00-0036309,Darnell Mooney,WR,2019,,,,,48.0,713.0,5.0
00-0036345,K.J. Osborn,WR,2019,,,15.0,0.0,50.0,547.0,5.0
00-0036233,Donovan Peoples-Jones,WR,2019,,,-7.0,0.0,34.0,438.0,6.0
00-0036312,Jake Luton,QB,2019,2714.0,28.0,-87.0,1.0,,,
00-0036429,Charlie Woerner,TE,2019,,,,,9.0,78.0,1.0
00-0036271,Quez Watkins,WR,2019,,,1.0,0.0,64.0,1178.0,6.0
00-0036133,James Proche,WR,2019,0.0,0.0,18.0,0.0,111.0,1225.0,15.0
00-0036250,Tyler Davis,TE,2019,,,,,17.0,148.0,1.0
00-0036165,Isaiah Hodgins,WR,2019,,,,,86.0,1171.0,13.0
00-0036228,Dezmon Patmon,WR,2019,,,,,58.0,762.0,8.0
00-0036247,Freddie Swain,WR,2019,,,27.0,0.0,38.0,517.0,7.0
00-0036259,Jauan Jennings,WR,2019,0.0,0.0,51.0,1.0,59.0,969.0,8.0
00-0036382,K.J. Hill,WR,2019,,,1.0,0.0,57.0,636.0,10.0
00-0036383,Eno Benjamin,RB,2019,,,1083.0,10.0,42.0,347.0,2.0
,Cole McDonald,QB,2019,4138.0,33.0,377.0,7.0,,,
00-0036384,Ben DiNucci,QB,2019,156.0,0.0,36.0,0.0,,,
00-0036433,Tommy Stevens,QB,2019,1155.0,11.0,381.0,4.0,,,
00-0036279,Nate Stanley,QB,,,,,,,,
00-0036435,Raymond Calais,RB,2019,,,886.0,6.0,10.0,67.0,1.0
00-0036245,Malcolm Perry,RB,2019,1084.0,7.0,2017.0,21.0,,,
00-0036438,Stephen Sullivan,TE,2019,,,,,12.0,130.0,0.0
00-0036439,Tyrie Cleveland,WR,2019,,,,,25.0,351.0,1.0
00-0036971,Trevor Lawrence,QB,2020,3153.0,24.0,203.0,8.0,1.0,8.0,0.0
00-0037013,Zach Wilson,QB,2020,3651.0,32.0,265.0,10.0,2.0,32.0,0.0
00-0037012,Trey Lance,QB,,,,,,,,
00-0036970,Kyle Pitts,TE,2020,,,,,43.0,770.0,12.0
00-0036900,Ja'Marr Chase,WR,2019,,,5.0,0.0,84.0,1780.0,20.0
00-0036613,Jaylen Waddle,WR,2020,,,12.0,0.0,28.0,591.0,4.0
00-0036912,DeVonta Smith,WR,2020,,,6.0,1.0,117.0,1856.0,23.0
00-0036945,Justin Fields,QB,2020,2100.0,22.0,383.0,5.0,,,
00-0036972,Mac Jones,QB,2020,4500.0,41.0,16.0,1.0,1.0,-8.0,0.0
00-0036913,Kadarius Toney,WR,2020,12.0,0.0,161.0,1.0,70.0,984.0,10.0
00-0036893,Najee Harris,RB,2020,,,1466.0,26.0,43.0,425.0,4.0
00-0036973,Travis Etienne,RB,2020,,,914.0,14.0,48.0,588.0,2.0
00-0036550,Rashod Bateman,WR,2020,,,,,36.0,472.0,2.0
00-0036980,Elijah Moore,WR,2020,2.0,0.0,64.0,0.0,86.0,1193.0,8.0
00-0036997,Javonte Williams,RB,2020,,,1140.0,19.0,25.0,305.0,3.0
00-0036936,Rondale Moore,WR,2020,,,32.0,1.0,35.0,270.0,0.0
00-0036894,Pat Freiermuth,TE,2020,,,,,23.0,310.0,1.0
00-0036620,D'Wayne Eskridge,WR,2020,,,43.0,0.0,33.0,768.0,8.0
00-0036849,Tutu Atwell,WR,,,,,,,,
00-0036955,Terrace Marshall Jr.,WR,2020,,,,,48.0,731.0,10.0
00-0036928,Kyle Trask,QB,2020,4283.0,43.0,50.0,3.0,,,
00-0036946,Kellen Mond,QB,2020,2208.0,19.0,294.0,4.0,,,
00-0036898,Davis Mills,QB,2020,1510.0,7.0,37.0,3.0,,,
00-0036988,Josh Palmer,WR,2020,,,,,33.0,475.0,4.0
00-0037004,Hunter Long,TE,2020,,,,,57.0,685.0,5.0
00-0036626,Dyami Brown,WR,2020,,,,,54.0,1084.0,8.0
00-0037005,Tommy Tremble,TE,2020,,,4.0,0.0,19.0,217.0,0.0
00-0036991,Amari Rodgers,WR,2020,8.0,0.0,,,77.0,1020.0,7.0
00-0036984,Trey Sermon,RB,2020,,,870.0,4.0,12.0,95.0,0.0
00-0036554,Nico Collins,WR,2019,,,,,37.0,729.0,7.0
00-0036999,Anthony Schwartz,WR,2020,,,-6.0,0.0,54.0,652.0,3.0
00-0037011,Tre' McKitty,TE,2020,,,,,6.0,108.0,1.0
00-0036924,Michael Carter,RB,2020,,,1245.0,9.0,25.0,267.0,2.0
00-0036627,Dez Fitzpatrick,WR,2020,,,,,43.0,833.0,3.0
00-0036963,Amon-Ra St. Brown,WR,2020,,,,,41.0,478.0,7.0
00-0036842,Kene Nwangwu,RB,2020,,,339.0,4.0,3.0,22.0,0.0
00-0036875,Rhamondre Stevenson,RB,2020,,,664.0,7.0,18.0,211.0,0.0
00-0036628,John Bates,TE,2020,,,,,12.0,117.0,0.0
00-0036555,Chuba Hubbard,RB,2020,,,623.0,5.0,8.0,52.0,1.0
00-0036876,Kylen Granson,TE,2020,,,0.0,0.0,35.0,536.0,5.0
00-0036877,Jaelon Darden,WR,2020,,,-3.0,0.0,74.0,1190.0,19.0
00-0036630,Tylan Wallace,WR,2020,,,7.0,0.0,59.0,917.0,6.0
00-0036929,Ian Book,QB,2020,2830.0,15.0,486.0,9.0,,,
00-0036918,Jacob Harris,WR,2020,,,,,30.0,539.0,8.0
00-0036887,Luke Farrell,TE,2020,,,,,5.0,37.0,1.0
00-0036556,Brevin Jordan,TE,2020,15.0,0.0,1.0,0.0,38.0,576.0,7.0
00-0036919,Kenneth Gainwell,RB,2019,,,1459.0,13.0,51.0,610.0,3.0
00-0036635,Ihmir Smith-Marsette,WR,2020,,,54.0,1.0,25.0,345.0,4.0
00-0036637,Noah Gray,TE,2020,11.0,0.0,3.0,0.0,28.0,278.0,2.0
00-0036640,Zach Davidson,TE,2015,0.0,0.0,,,,,
00-0036646,Simi Fehoko,WR,2020,,,-1.0,0.0,37.0,584.0,3.0
00-0036647,Cornell Powell,WR,2020,,,,,53.0,882.0,7.0
00-0036565,Ben Mason,RB,2020,,,,,2.0,17.0,1.0
00-0036951,Frank Darby,WR,2020,,,,,6.0,46.0,1.0
00-0036567,Elijah Mitchell,RB,2020,,,878.0,8.0,16.0,153.0,0.0
00-0036569,Gary Brightwell,RB,2020,,,386.0,1.0,13.0,58.0,0.0
00-0036650,Larry Rountree,RB,2020,,,972.0,14.0,15.0,100.0,0.0
00-0036857,Chris Evans,RB,2020,,,73.0,1.0,9.0,87.0,0.0
00-0036571,Marquez Stevenson,WR,2020,,,16.0,0.0,20.0,307.0,4.0
00-0036572,Shi Smith,WR,2020,0.0,0.0,6.0,0.0,55.0,621.0,4.0
00-0036652,Racey McMath,WR,2020,,,,,14.0,195.0,1.0
00-0036858,Jalen Camp,WR,2020,,,,,25.0,392.0,4.0
00-0036654,Demetric Felton,RB,2020,,,668.0,5.0,22.0,159.0,3.0
00-0036906,Khalil Herbert,RB,2020,,,1183.0,8.0,10.0,179.0,1.0
00-0036879,Sam Ehlinger,QB,2020,2566.0,26.0,378.0,8.0,,,
00-0036657,Seth Williams,WR,2020,,,,,47.0,744.0,4.0
00-0036907,Dazz Newsome,WR,2020,,,21.0,1.0,54.0,684.0,6.0
00-0036482,Mike Strachan,WR,,,,,,,,
00-0036860,Jake Funk,RB,2020,,,511.0,3.0,10.0,68.0,1.0
00-0036536,Tre Nixon,WR,2020,,,,,18.0,258.0,2.0
00-0036578,Gerrid Doaks,RB,2020,,,673.0,7.0,14.0,202.0,2.0
00-0036862,Ben Skowronek,WR,2020,,,17.0,1.0,29.0,439.0,5.0
00-0036939,Kawaan Baker,WR,2020,,,42.0,0.0,50.0,656.0,8.0
00-0036669,Kylin Hill,RB,2020,,,58.0,0.0,23.0,237.0,1.0
00-0036670,Jermar Jefferson,RB,2020,,,858.0,7.0,9.0,67.0,0.0
00-0036671,Dax Milne,WR,2020,,,67.0,0.0,70.0,1189.0,8.0
00-0037238,Drake London,WR,2021,,,2.0,0.0,88.0,1084.0,7.0
00-0037740,Garrett Wilson,WR,2021,,,76.0,1.0,70.0,1058.0,12.0
00-0037239,Chris Olave,WR,2021,,,,,65.0,936.0,13.0
00-0037240,Jameson Williams,WR,2021,,,23.0,0.0,79.0,1572.0,15.0
00-0037741,Jahan Dotson,WR,2021,43.0,0.0,18.0,1.0,91.0,1182.0,12.0
00-0037742,Treylon Burks,WR,2021,0.0,0.0,112.0,1.0,66.0,1104.0,11.0
00-0038102,Kenny Pickett,QB,2021,4319.0,42.0,241.0,5.0,,,
00-0038124,Christian Watson,WR,,,,,,,,
00-0038120,Breece Hall,RB,2021,,,1472.0,20.0,36.0,302.0,3.0
00-0038134,Kenneth Walker III,RB,2021,,,1636.0,18.0,13.0,89.0,1.0
00-0038117,Wan'Dale Robinson,WR,2021,,,111.0,0.0,104.0,1334.0,7.0
00-0037614,John Metchie,WR,2021,,,8.0,0.0,96.0,1142.0,8.0
00-0038104,Tyquan Thornton,WR,2021,6.0,1.0,-11.0,0.0,62.0,948.0,10.0
00-0037247,George Pickens,WR,2021,,,,,5.0,107.0,0.0
00-0037664,Alec Pierce,WR,2021,,,,,52.0,884.0,8.0
00-0038090,Skyy Moore,WR,2021,,,10.0,0.0,95.0,1292.0,10.0
00-0037744,Trey McBride,TE,2021,,,69.0,1.0,90.0,1121.0,1.0
00-0037248,James Cook,RB,2021,,,728.0,7.0,27.0,284.0,4.0
00-0037745,Velus Jones Jr.,WR,2021,,,15.0,0.0,62.0,807.0,7.0
00-0037755,Jelani Woods,TE,2021,,,1.0,0.0,44.0,598.0,8.0
00-0038122,Desmond Ridder,QB,2021,3334.0,30.0,355.0,6.0,2.0,8.0,1.0
00-0037252,Greg Dulcich,TE,2021,,,,,42.0,725.0,5.0
00-0038128,Malik Willis,QB,2021,2857.0,27.0,878.0,13.0,1.0,13.0,0.0
00-0037666,Jalen Tolbert,WR,2021,,,,,82.0,1474.0,8.0
00-0037256,Rachaad White,RB,2021,,,1006.0,15.0,43.0,456.0,1.0
00-0037827,Tyrion Davis-Price,RB,2021,,,1003.0,6.0,10.0,64.0,0.0
00-0038132,Matt Corral,QB,2021,3349.0,20.0,614.0,11.0,1.0,19.0,0.0
00-0037746,Brian Robinson Jr.,RB,2021,,,1343.0,14.0,35.0,296.0,2.0
00-0037257,David Bell,WR,2021,,,39.0,0.0,93.0,1286.0,6.0
00-0037805,Jeremy Ruckert,TE,2021,,,,,26.0,309.0,3.0
00-0037828,Danny Gray,WR,2021,,,40.0,0.0,49.0,803.0,9.0
00-0038129,Cade Otton,TE,2021,,,,,28.0,250.0,1.0
00-0037258,Dameon Pierce,RB,2021,,,574.0,13.0,19.0,216.0,3.0
00-0038115,Daniel Bellinger,TE,2021,,,2.0,0.0,31.0,357.0,2.0
00-0038040,Zamir White,RB,2021,,,856.0,11.0,9.0,75.0,0.0
00-0038045,Isaiah Spiller,RB,2021,,,1011.0,6.0,25.0,189.0,1.0
00-0038092,Erik Ezukanma,WR,2021,,,138.0,2.0,48.0,705.0,4.0
00-0038098,Pierre Strong,RB,2021,,,138.0,2.0,3.0,8.0,0.0
00-0038046,Charlie Kolar,TE,2021,,,,,62.0,756.0,6.0
00-0038041,Jake Ferguson,TE,2021,,,,,46.0,450.0,3.0
00-0037617,Hassan Haskins,RB,2021,,,1327.0,20.0,18.0,131.0,0.0
00-0037816,Romeo Doubs,WR,2021,,,4.0,0.0,80.0,1109.0,11.0
00-0038108,Bailey Zappe,QB,2021,5967.0,62.0,17.0,3.0,,,
00-0037837,Calvin Austin III,WR,2021,,,69.0,1.0,74.0,1149.0,8.0
00-0037838,Isaiah Likely,TE,2021,,,10.0,0.0,59.0,912.0,12.0
00-0037809,Chig Okonkwo,TE,,,,,,,,
00-0037077,Sam Howell,QB,2021,3056.0,24.0,828.0,11.0,,,
00-0037261,Khalil Shakir,WR,2021,0.0,0.0,130.0,0.0,77.0,1117.0,7.0
00-0037078,Cole Turner,TE,2022,,,,,8.0,161.0,0.0
00-0037263,Tyler Allgeier,RB,2021,,,1606.0,23.0,28.0,199.0,0.0
00-0037265,Snoop Conner,RB,2021,,,647.0,13.0,14.0,82.0,0.0
00-0037267,Jerome Ford,RB,2021,,,1319.0,19.0,21.0,220.0,1.0
00-0037272,Montrell Washington,WR,2021,16.0,0.0,19.0,1.0,10.0,124.0,1.0
