gsis_id,player_name,position,cfb_final_season,cfb_pass_yards,cfb_pass_td,cfb_rush_yards,cfb_rush_td,cfb_rec,cfb_rec_yards,cfb_rec_td
00-0031560,Jaelen Strong,WR,2014,,,,,82.0,1165.0,10.0
00-0032058,Tevin Coleman,RB,2014,,,2036.0,15.0,25.0,141.0,0.0
00-0032128,Chris Conley,WR,2014,,,,,36.0,657.0,8.0
00-0032257,Duke Johnson,RB,,,,,,,,
00-0032214,Tyler Kroft,TE,2014,,,,,24.0,269.0,0.0
00-0032166,Sammie Coates,WR,2014,,,,,34.0,741.0,4.0
00-0032245,Sean Mannion,QB,2014,3164.0,15.0,-306.0,1.0,,,
00-0032227,Jeff Heuerman,TE,2014,,,,,17.0,207.0,2.0
00-0032200,Ty Montgomery,WR,2014,,,144.0,1.0,61.0,604.0,3.0
00-0031939,Matt Jones,RB,2014,,,817.0,6.0,11.0,65.0,1.0
00-0031941,Jamison Crowder,WR,2014,12.0,1.0,9.0,0.0,85.0,1044.0,6.0
00-0031569,Jeremy Langford,RB,2014,,,1522.0,22.0,11.0,62.0,0.0
00-0032130,Jalston Fowler,RB,2014,,,69.0,0.0,11.0,129.0,2.0
00-0032062,Blake Bell,TE,2014,,,4.0,0.0,16.0,214.0,4.0
00-0031577,Javorius Allen,RB,2014,,,1489.0,11.0,41.0,458.0,1.0
00-0032063,Mike Davis,RB,2014,,,982.0,9.0,32.0,368.0,2.0
00-0032133,David Cobb,RB,2014,9.0,0.0,1629.0,13.0,16.0,162.0,0.0
00-0032170,Rashad Greene,WR,,,,,,,,
00-0031585,MyCole Pruitt,TE,2014,,,,,10.0,136.0,0.0
00-0031588,Stefon Diggs,WR,2014,,,28.0,0.0,62.0,792.0,5.0
00-0031589,Brett Hundley,QB,2014,3155.0,22.0,644.0,10.0,1.0,9.0,0.0
00-0031590,Jay Ajayi,RB,2014,,,1823.0,28.0,50.0,535.0,4.0
00-0032152,Karlos Williams,RB,2014,,,689.0,11.0,29.0,265.0,1.0
00-0031594,Tony Lippett,WR,2014,,,51.0,1.0,65.0,1198.0,11.0
00-0032134,C.J. Uzomah,TE,2014,-1.0,0.0,1.0,0.0,11.0,145.0,3.0
00-0032112,JJ Nelson,WR,,,,,,,,
00-0032135,Jesse James,TE,2014,,,,,38.0,396.0,3.0
00-0032113,Kenny Bell,WR,2014,,,,,47.0,788.0,6.0
00-0031595,Michael Burton,RB,2014,-2.0,0.0,2.0,0.0,15.0,150.0,0.0
00-0031598,Nick Boyle,TE,2013,,,,,4.0,47.0,0.0
00-0031951,James O'Shaughnessy,TE,2013,,,,,5.0,57.0,0.0
00-0031600,Keith Mumphery,WR,2014,,,85.0,1.0,26.0,495.0,3.0
00-0032115,Kaelin Clay,WR,2014,,,4.0,0.0,43.0,523.0,4.0
00-0031953,Geremy Davis,WR,2014,,,,,44.0,521.0,3.0
00-0031954,Evan Spencer,WR,2014,13.0,1.0,9.0,0.0,15.0,149.0,3.0
00-0032117,Nick O'Leary,TE,2014,,,0.0,1.0,48.0,618.0,6.0
00-0032068,Malcolm Johnson,TE,2014,,,,,28.0,380.0,3.0
00-0031533,Randall Telfer,TE,2014,,,,,21.0,197.0,2.0
,Bud Sasser,WR,2014,,,,,77.0,1003.0,12.0
00-0031610,Darren Waller,WR,2014,,,,,26.0,442.0,6.0
00-0031611,Josh Robinson,RB,2014,,,1203.0,11.0,28.0,370.0,1.0
00-0031612,Aaron Ripkowski,RB,2014,,,13.0,3.0,7.0,38.0,1.0
00-0031617,Kennard Backman,TE,2014,,,,,39.0,399.0,3.0
00-0032120,Neal Sterling,WR,,,,,,,,
00-0032139,Ben Koyack,TE,2014,,,,,30.0,317.0,2.0
00-0031959,Marcus Murphy,RB,2014,,,924.0,4.0,28.0,212.0,1.0
00-0032070,Dezmin Lewis,WR,2014,,,0.0,0.0,7.0,105.0,0.0
00-0031625,Kenny Hilliard,RB,2014,,,447.0,6.0,4.0,35.0,0.0
00-0031962,Mario Alford,WR,2014,,,14.0,0.0,65.0,945.0,11.0
00-0032123,Tre McBride,WR,,,,,,,,
00-0032141,Geoff Swaim,TE,2014,,,,,10.0,70.0,1.0
00-0032156,Trevor Siemian,QB,2014,2214.0,7.0,-123.0,5.0,1.0,17.0,1.0
00-0032072,Rory Anderson,TE,2014,,,,,22.0,260.0,1.0
00-0032190,Gerald Christian,TE,2014,,,,,32.0,384.0,5.0
00-0033106,Jared Goff,QB,2015,4719.0,43.0,-8.0,0.0,1.0,11.0,0.0
00-0032950,Carson Wentz,QB,2014,204.0,0.0,38.0,0.0,,,
00-0033045,Ezekiel Elliott,RB,2015,,,1821.0,23.0,27.0,206.0,0.0
00-0032966,Corey Coleman,WR,2015,,,111.0,0.0,74.0,1363.0,20.0
00-0033127,Will Fuller,WR,,,,,,,,
00-0032760,Josh Doctson,WR,2015,,,6.0,0.0,79.0,1327.0,14.0
00-0032951,Laquon Treadwell,WR,2015,134.0,1.0,-5.0,0.0,82.0,1153.0,11.0
00-0033108,Paxton Lynch,QB,2015,3776.0,28.0,239.0,2.0,,,
00-0033090,Hunter Henry,TE,2015,,,,,51.0,739.0,3.0
00-0032385,Sterling Shepard,WR,2015,,,5.0,0.0,86.0,1288.0,11.0
00-0032764,Derrick Henry,RB,2015,,,2219.0,28.0,11.0,91.0,0.0
00-0032765,Michael Thomas,WR,2015,,,,,127.0,2172.0,23.0
00-0032953,Christian Hackenberg,QB,2015,2525.0,16.0,-80.0,2.0,1.0,14.0,1.0
00-0033009,Tyler Boyd,WR,2015,67.0,0.0,349.0,0.0,91.0,926.0,6.0
00-0033118,Kenyan Drake,RB,2015,,,408.0,1.0,29.0,276.0,1.0
00-0032392,Austin Hooper,TE,2015,,,,,34.0,438.0,6.0
00-0033069,Braxton Miller,WR,2015,3.0,0.0,260.0,1.0,26.0,341.0,3.0
00-0033060,Leonte Carroo,WR,2015,,,,,39.0,809.0,10.0
00-0032393,C.J. Prosise,RB,2015,,,1032.0,11.0,26.0,308.0,1.0
00-0033119,Jacoby Brissett,QB,2015,2662.0,20.0,370.0,6.0,,,
00-0033104,Cody Kessler,QB,2015,3536.0,29.0,-149.0,4.0,,,
