season,team_id,as_of_week,end_week,n_weeks,player_name,overall_pick,pick_label,kind,label
2025,3,5,8,4,Bucky Irving,17.0,2.07,out_3plus,Bucky Irving out 4 weeks (W5-W8) (2.07)
2025,3,5,14,10,Tyreek Hill,37.0,4.07,out_for_season,Tyreek Hill out for season (4.07)
2025,3,7,9,3,Mark Andrews,84.0,9.04,out_3plus,Mark Andrews out 3 weeks (W7-W9) (9.04)
2025,3,9,11,3,Rhamondre Stevenson,104.0,11.04,out_3plus,Rhamondre Stevenson out 3 weeks (W9-W11) (11.04)
2025,3,11,13,3,Dalton Kincaid,124.0,13.04,out_3plus,Dalton Kincaid out 3 weeks (W11-W13) (13.04)
2025,3,12,14,3,Rashid Shaheed,117.0,12.07,out_3plus,Rashid Shaheed out 3 weeks (W12-W14) (12.07)
2025,4,4,6,3,Mike Evans,42.0,5.02,out_3plus,Mike Evans out 3 weeks (W4-W6) (5.02)
2025,4,5,7,3,Brock Bowers,22.0,3.02,out_3plus,Brock Bowers out 3 weeks (W5-W7) (3.02)
2025,4,9,14,6,Kyler Murray,62.0,7.02,out_3plus,Kyler Murray out 6 weeks (W9-W14) (7.02)
2025,4,10,14,5,Mike Evans,42.0,5.02,out_3plus,Mike Evans out 5 weeks (W10-W14) (5.02)
2025,5,7,11,5,Hunter Henry,,,out_3plus,Hunter Henry out 5 weeks (W7-W11)
2025,5,9,14,6,Isiah Pacheco,75.0,8.05,out_3plus,Isiah Pacheco out 6 weeks (W9-W14) (8.05)
2025,5,9,14,6,Darnell Mooney,159.0,16.09,out_3plus,Darnell Mooney out 6 weeks (W9-W14) (16.09)
2025,5,10,13,4,Chris Godwin Jr.,73.0,8.03,out_3plus,Chris Godwin Jr. out 4 weeks (W10-W13) (8.03)
2025,5,11,14,4,Garrett Wilson,46.0,5.06,out_3plus,Garrett Wilson out 4 weeks (W11-W14) (5.06)
2025,5,12,14,3,Josh Downs,114.0,12.04,out_3plus,Josh Downs out 3 weeks (W12-W14) (12.04)
2025,6,2,6,5,George Kittle,34.0,4.04,out_3plus,George Kittle out 5 weeks (W2-W6) (4.04)
