rank,dataset_block,feature_count,mean_abs_corr,max_abs_corr,incremental_r2,dataset_correlation_score_0_100
1,draft_capital,2,0.5249,0.5324,0.0005,36.8
2,pre_draft_fantasy,2,0.4091,0.4217,0.0152,29.1
3,college_production,7,0.2125,0.5094,0.0172,15.4
4,timing,2,0.1816,0.2453,0.0151,13.2
5,combine,8,0.1136,0.2379,0.0239,8.7
6,recruiting,2,0.1099,0.1196,0.0007,7.7
7,team_context,16,0.0483,0.1112,0.0366,4.5
