gsis_id,player_name,position,draft_year,score_draft_capital,score_draft_capital_coverage,score_pre_draft_fantasy,score_pre_draft_fantasy_coverage,score_recruiting,score_recruiting_coverage,score_timing,score_timing_coverage,score_cfb_receiving,score_cfb_receiving_coverage,score_cfb_rushing,score_cfb_rushing_coverage,score_cfb_passing,score_cfb_passing_coverage,score_combine_speed,score_combine_speed_coverage,score_combine_explosion,score_combine_explosion_coverage,score_combine_size,score_combine_size_coverage,score_team_context,score_team_context_coverage,draft_overall,dynasty_ppr_y1_y3_total,first_stat_season,dynasty_seasons_complete,ppr_y1,ppr_y2,ppr_y3,ff_adp,ff_adp_rank,predicted_dynasty_ppr_y1_y3_total,predictive_q25,predictive_q75,ppr_low,ppr_high,success_score_dynasty_0_100,predicted_ppr_y1,predictive_q25_ppr_y1,predictive_q75_ppr_y1,ppr_low_ppr_y1,ppr_high_ppr_y1,success_score_ppr_y1,predicted_ppr_y2,predictive_q25_ppr_y2,predictive_q75_ppr_y2,ppr_low_ppr_y2,ppr_high_ppr_y2,success_score_ppr_y2,predicted_ppr_y3,predictive_q25_ppr_y3,predictive_q75_ppr_y3,ppr_low_ppr_y3,ppr_high_ppr_y3,success_score_ppr_y3
00-0030564,DeAndre Hopkins,WR,2013,0.9228807775121276,1.0,1.033091661695985,1.0,0.48199192087072923,1.0,0.33294654762791,1.0,1.2571783665991283,1.0,,0.0,-0.6321993808921709,1.0,-1.4719390538786126,0.6666666666666666,-0.8209030645211557,1.0,0.5297066738012878,1.0,-0.7696605469397089,0.4444444444444444,27,704.3,2013.0,1,142.2,231.0,331.09999999999997,117.5,114.0,637.6939423564886,400.35538081674275,698.3227202457764,87.19734084915824,823.7502516646724,89.84375,156.32626066395613,128.93728854657058,195.91027794203723,72.20973247361626,253.77712075298197,83.56164383561644,227.17280559561235,196.61427648407363,230.88823111983083,61.53118451054329,257.0527824359022,89.24050632911393,197.70685185823896,133.04607022589906,270.4158264797504,33.02165032363056,343.94894739425456,79.56204379562044
00-0030521,Justin Hunter,WR,2013,0.8222722878356625,1.0,-0.14105890302407664,1.0,0.525806995878849,1.0,-0.367678880680988,1.0,0.1417413917879108,1.0,,0.0,,0.0,-0.2594571888396838,0.6666666666666666,1.5792372019572636,1.0,0.34520744067838466,1.0,-0.06776070222626406,0.4444444444444444,34,227.6,2013.0,1,77.39999999999999,95.8,54.4,274.7,280.0,227.04938649606305,180.46879321798428,428.71636793452274,26.58233592146952,691.5489411239795,42.1875,76.84693013938006,36.59252558212239,108.00590842034656,5.565978033976677,176.7704078538112,61.64383561643836,96.55904757348827,86.7704647171525,132.2020583103289,12.736855378923472,215.3866582683048,51.89873417721519,54.295396139485696,45.54307412727518,82.32408814612612,3.8400601632708344,220.66052831440433,33.57664233576642
00-0030456,Giovani Bernard,RB,2013,1.1410746803234078,1.0,0.8168361386102989,1.0,0.452812517551787,1.0,-0.4050495597082881,1.0,2.0577473746797788,1.0,0.10836551246622464,1.0,,0.0,0.8031176523338511,1.0,0.017184389603314393,1.0,-1.1936275040098363,1.0,0.26433280274257187,0.2222222222222222,37,592.0,2013.0,1,222.9,187.9,181.2,55.8,54.0,591.6743033159315,492.76663091899695,591.692433394824,132.6717419429493,741.0601857383238,81.05263157894737,182.09726443947602,127.77273633135259,224.10170333809003,76.19050279645255,244.63796537283383,85.98726114649682,198.90695333215814,130.63754903694542,242.90978453349754,45.658548506355196,327.4757463561775,82.30088495575221,152.47439585210066,58.88765501896877,184.98123838231416,8.8010300694156,242.28959726546185,65.0485436893204
00-0030431,Robert Woods,WR,2013,0.7216637981591975,1.0,0.29748727368631817,1.0,1.3904009747651087,1.0,0.33294654762791,1.0,0.13451807518905157,1.0,-0.17876044939224406,1.0,,0.0,-1.1485145693149255,1.0,-0.9513925407720458,1.0,-0.2041035188643082,1.0,0.18459880242358462,0.4444444444444444,41,403.4,2013.0,1,120.3,164.9,118.2,218.0,216.0,455.0214286085585,331.08193494285933,563.3709117890395,106.23819799748149,702.1296872903703,71.875,120.20924922120268,53.29209603320397,166.28551592533276,7.130800388559457,201.3393889605993,73.97260273972603,163.8462857831946,136.74590325465414,163.8462857831946,55.01746141741358,225.60270148589237,70.25316455696202,141.07353048030444,121.29576748944449,141.87488797947051,35.4069014714206,236.05684717363317,64.96350364963503
00-0030496,Le'Veon Bell,RB,2013,0.9664374452709824,1.0,0.3755528946794073,1.0,-1.2353332960480528,1.0,0.3830516096069732,1.0,0.07589788575644132,1.0,0.5156801766637108,1.0,-0.12393693836224438,1.0,0.6017848806173646,1.0,-0.6886345395491361,1.0,1.1215248238439173,1.0,-0.2870932254178804,0.2222222222222222,48,698.6,2013.0,1,216.9,370.5,111.2,88.7,141.0,477.9072230148451,477.9072230148451,630.9114816103785,180.98609222374935,841.1870995316988,72.63157894736842,127.93935140464285,94.96982347020095,193.30779720544575,34.10547743415247,216.15644704484944,72.61146496815286,199.8174522350937,146.07905282670615,243.85282190230387,48.57358459304651,388.2448346186651,83.1858407079646,127.4940974974193,111.09261456582381,187.08859702235773,24.379241360770628,205.2245703880631,59.22330097087378
00-0030279,Keenan Allen,WR,2013,0.21862134977687217,1.0,0.10865269204840104,1.0,1.3824998956652839,1.0,0.33294654762791,1.0,-0.5575953941091872,1.0,0.2276070696836337,1.0,-0.505344717122437,1.0,-1.153145943977574,0.3333333333333333,,0.0,0.38449009394910294,1.0,0.15662612706230453,0.4444444444444444,76,562.4,2013.0,1,221.6,177.3,163.5,246.0,240.0,497.9002253803736,270.0384158288214,562.7010335202675,57.339382707958706,682.0520067224644,74.21875,89.75309849448038,46.16666169785024,173.83282778454884,-2.044234063055997,229.70100876676105,63.926940639269404,177.46142670809544,104.24817155132263,189.281330228634,36.31542343101784,231.29889603173208,76.58227848101265,142.2995285414286,83.41050339907996,163.44161040297888,16.781353524476764,222.07646387018247,64.96350364963503
00-0030550,Ace Sanders,WR,2013,-0.14069468478193162,1.0,-0.5204292944318676,1.0,-0.7000817818448568,1.0,-0.367678880680988,1.0,-0.7114864954583572,1.0,-0.4749345962262435,1.0,0.747236994507862,1.0,-0.3110252188200339,1.0,-1.1414906802903366,1.0,-2.3243930258514363,1.0,-0.7711823266479786,0.4444444444444444,101,,,0,,,,309.0,350.0,217.36950979358934,91.68209037173582,453.2405244780801,-45.2586557087628,622.5420730386433,40.625,53.56078667131863,23.89888642780253,81.78078339410914,3.5711224648706974,129.74268071198216,53.42465753424658,56.46240496014782,23.23532386280903,156.95287511211959,2.4503204611108487,220.33009026150552,34.810126582278485,53.166634244892926,10.173249448459469,148.07041186583686,-19.70324422494015,224.19633146130792,33.57664233576642
00-0030474,Josh Boyce,WR,2013,-0.15506732616428376,1.0,-0.27661731393551664,1.0,-1.6711962312051494,1.0,-0.20807213773918407,1.0,-0.27752352972677236,1.0,0.09729044507667393,1.0,,0.0,1.1124898839323105,1.0,0.4163587996912116,1.0,-0.18446219222894913,1.0,0.65066191630935,0.4444444444444444,102,,2013.0,0,21.1,,,291.0,301.0,150.21430878600268,106.15119356141146,295.8044009267965,-23.98094521703824,541.3925345221998,29.6875,40.89197960322831,21.007025871962444,40.89197960322831,3.6100641145901697,88.81960682366369,45.20547945205479,63.86129781133311,57.350031167989705,118.96179670000284,10.144094060920587,156.4610186280019,37.9746835443038,68.6004922615009,15.837037650143921,132.41446549285644,-35.3728118337533,222.27893927309512,40.14598540145985
00-0030497,Marcus Lattimore,RB,2013,-0.35127987376095526,1.0,-0.36671545753439233,1.0,1.4317032885720948,1.0,-1.53317573638251,0.5,-0.2965805861577922,1.0,-0.3804801111610718,1.0,,0.0,-1.12098063456973,0.3333333333333333,,0.0,0.2910260343473776,1.0,0.9046433849003043,0.2222222222222222,131,,,0,,,,223.3,223.0,213.46599640130032,213.46599640130032,318.4671887271263,57.42404925342174,643.8865904355766,36.84210526315789,55.429628175775605,41.34383783363403,120.88444396044012,6.735042912561621,146.2909316516528,47.13375796178344,27.778463194557244,25.97019958175278,99.55492100579494,-1.5704086407642066,173.68400034639694,28.31858407079646,101.06875343478461,101.06875343478461,147.83261673686457,41.86054845148687,185.82880952325183,51.45631067961165
00-0030085,Kenny Stills,WR,2013,-0.7587182642230742,1.0,0.31201731613900074,1.0,0.44320480528977085,1.0,0.33294654762791,1.0,0.31275443968270483,1.0,-0.3920058351127237,1.0,,0.0,-0.07264041169179172,0.6666666666666666,-0.29919989379346557,1.0,-0.4971124430369019,1.0,-0.5095667493206213,0.4444444444444444,144,390.0,2013.0,1,127.1,173.9,89.0,216.0,214.0,390.005123887904,305.0521683599207,393.8244351626776,40.384881772139025,558.2841512232354,64.0625,68.78051068231902,34.589861393370064,122.65936870755613,-2.8935615754956014,143.2557980876872,60.273972602739725,145.02012838335563,91.53640280638487,173.82136710322473,17.213759734104464,199.49123307811112,68.9873417721519,89.76819310954211,88.96261805559155,128.85195508145392,25.77198862105172,201.98552218465676,48.175182481751825
