gsis_id,player_name,position,draft_year,first_stat_season,rookie_ppr,rookie_games,rookie_ppr_per_game,rookie_ppr_rank_pos
00-0032058,Tevin Coleman,RB,2015,2015.0,42.599999999999994,12.0,3.5499999999999994,11.0
00-0032128,Chris Conley,WR,2015,2015.0,42.9,9.0,4.766666666666667,13.0
00-0032257,Duke Johnson,RB,2015,2015.0,164.3,16.0,10.26875,3.0
00-0032214,Tyler Kroft,TE,2015,2015.0,29.9,6.0,4.983333333333333,7.0
00-0032166,Sammie Coates,WR,2015,2015.0,2.1,1.0,2.1,25.0
00-0032245,Sean Mannion,QB,2015,2015.0,1.24,1.0,1.24,4.0
00-0032227,Jeff Heuerman,TE,2015,2016.0,23.1,6.0,3.85,8.0
00-0032200,Ty Montgomery,WR,2015,2015.0,42.0,5.0,8.4,14.0
00-0031939,Matt Jones,RB,2015,2015.0,116.4,13.0,8.953846153846154,8.0
00-0031941,Jamison Crowder,WR,2015,2015.0,135.6,16.0,8.475,4.0
00-0031569,Jeremy Langford,RB,2015,2015.0,147.6,15.0,9.84,5.0
00-0032130,Jalston Fowler,RB,2015,2015.0,22.7,7.0,3.242857142857143,13.0
00-0032062,Blake Bell,TE,2015,2015.0,33.6,9.0,3.7333333333333334,5.0
00-0031577,Javorius Allen,RB,2015,2015.0,145.7,16.0,9.10625,6.0
00-0032063,Mike Davis,RB,2015,2015.0,16.6,5.0,3.3200000000000003,14.0
00-0032133,David Cobb,RB,2015,,,,,
00-0032170,Rashad Greene,WR,2015,2015.0,46.300000000000004,9.0,5.144444444444445,12.0
00-0031585,MyCole Pruitt,TE,2015,2015.0,18.9,10.0,1.89,10.0
00-0031588,Stefon Diggs,WR,2015,2015.0,149.29999999999998,13.0,11.484615384615383,3.0
00-0031589,Brett Hundley,QB,2015,2016.0,-1.5199999999999998,4.0,-0.37999999999999995,6.0
00-0031590,Jay Ajayi,RB,2015,2015.0,42.699999999999996,9.0,4.744444444444444,10.0
00-0032152,Karlos Williams,RB,2015,,,,,
00-0031594,Tony Lippett,WR,2015,,,,,
00-0032134,C.J. Uzomah,TE,2015,2015.0,1.4,1.0,1.4,16.0
00-0032112,JJ Nelson,WR,2015,2015.0,52.9,9.0,5.877777777777777,9.0
00-0032135,Jesse James,TE,2015,2015.0,21.6,5.0,4.32,9.0
00-0032113,Kenny Bell,WR,2015,,,,,
00-0031595,Michael Burton,RB,2015,2015.0,16.1,8.0,2.0125,15.0
00-0031598,Nick Boyle,TE,2015,2015.0,35.3,8.0,4.4125,4.0
00-0031951,James O'Shaughnessy,TE,2015,2015.0,14.7,5.0,2.94,11.0
00-0031600,Keith Mumphery,WR,2015,,,,,
00-0032115,Kaelin Clay,WR,2015,2015.0,6.0,1.0,6.0,20.0
00-0031953,Geremy Davis,WR,2015,2015.0,4.1,3.0,1.3666666666666665,21.0
00-0031954,Evan Spencer,WR,2015,,,,,
00-0032117,Nick O'Leary,TE,2015,2015.0,4.7,3.0,1.5666666666666667,13.0
00-0032068,Malcolm Johnson,TE,2015,2015.0,5.5,5.0,1.1,12.0
00-0031533,Randall Telfer,TE,2015,2016.0,2.4,5.0,0.48,14.0
,Bud Sasser,WR,2015,,,,,
00-0031610,Darren Waller,WR,2015,2015.0,3.8000000000000003,3.0,1.2666666666666668,22.0
00-0031611,Josh Robinson,RB,2015,,,,,
00-0031612,Aaron Ripkowski,RB,2015,2015.0,2.8,1.0,2.8,17.0
00-0031617,Kennard Backman,TE,2015,,,,,
00-0032120,Neal Sterling,WR,2015,2016.0,23.0,5.0,4.6,18.0
00-0032139,Ben Koyack,TE,2015,2016.0,41.1,9.0,4.566666666666666,3.0
00-0031959,Marcus Murphy,RB,2015,2015.0,6.0,2.0,3.0,16.0
00-0032070,Dezmin Lewis,WR,2015,2016.0,0.0,1.0,0.0,26.0
00-0031625,Kenny Hilliard,RB,2015,,,,,
00-0031962,Mario Alford,WR,2015,2015.0,2.5,1.0,2.5,24.0
00-0032123,Tre McBride,WR,2015,2015.0,9.600000000000001,2.0,4.800000000000001,19.0
00-0032141,Geoff Swaim,TE,2015,2015.0,1.0,1.0,1.0,17.0
00-0032156,Trevor Siemian,QB,2015,2015.0,-0.1,1.0,-0.1,5.0
00-0032072,Rory Anderson,TE,2015,,,,,
00-0032190,Gerald Christian,TE,2015,2016.0,2.4,1.0,2.4,14.0
00-0033106,Jared Goff,QB,2016,2016.0,53.16,7.0,7.594285714285713,4.0
00-0032950,Carson Wentz,QB,2016,2016.0,213.98,16.0,13.37375,2.0
00-0033045,Ezekiel Elliott,RB,2016,2016.0,325.4,15.0,21.69333333333333,1.0
00-0032966,Corey Coleman,WR,2016,2016.0,93.3,10.0,9.33,8.0
00-0033127,Will Fuller,WR,2016,2016.0,128.2,14.0,9.157142857142857,4.0
00-0032760,Josh Doctson,WR,2016,2016.0,8.6,2.0,4.3,21.0
00-0032951,Laquon Treadwell,WR,2016,2016.0,2.5,2.0,1.25,24.0
00-0033108,Paxton Lynch,QB,2016,2016.0,28.380000000000003,3.0,9.46,5.0
00-0033090,Hunter Henry,TE,2016,2016.0,129.8,13.0,9.984615384615385,1.0
00-0032385,Sterling Shepard,WR,2016,2016.0,184.4,16.0,11.525,3.0
00-0032764,Derrick Henry,RB,2016,2016.0,105.7,14.0,7.55,4.0
00-0032765,Michael Thomas,WR,2016,2016.0,255.70000000000002,15.0,17.046666666666667,1.0
00-0032953,Christian Hackenberg,QB,2016,,,,,
00-0033009,Tyler Boyd,WR,2016,2016.0,124.1,16.0,7.75625,5.0
00-0033118,Kenyan Drake,RB,2016,2016.0,49.5,13.0,3.8076923076923075,10.0
00-0032392,Austin Hooper,TE,2016,2016.0,64.1,11.0,5.827272727272727,2.0
00-0033069,Braxton Miller,WR,2016,2016.0,30.9,9.0,3.433333333333333,13.0
00-0033060,Leonte Carroo,WR,2016,2016.0,11.9,5.0,2.38,19.0
00-0032393,C.J. Prosise,RB,2016,2016.0,61.0,6.0,10.166666666666666,8.0
00-0033119,Jacoby Brissett,QB,2016,2016.0,28.299999999999997,3.0,9.433333333333332,6.0
00-0033104,Cody Kessler,QB,2016,2016.0,77.0,9.0,8.555555555555555,3.0
00-0032394,Nick Vannett,TE,2016,2016.0,6.2,3.0,2.066666666666667,6.0
00-0032893,Connor Cook,QB,2016,2016.0,6.0,1.0,6.0,9.0
00-0032398,Chris Moore,WR,2016,2016.0,19.5,9.0,2.1666666666666665,15.0
00-0033110,Tyler Higbee,TE,2016,2016.0,25.5,11.0,2.3181818181818183,5.0
00-0032400,Malcolm Mitchell,WR,2016,2016.0,96.1,12.0,8.008333333333333,7.0
00-0033079,Ricardo Louis,WR,2016,2016.0,38.5,7.0,5.5,10.0
00-0033111,Pharoh Cooper,WR,2016,2016.0,22.6,8.0,2.825,14.0
00-0032404,Tyler Ervin,RB,2016,2016.0,5.1,3.0,1.7,18.0
00-0032775,Demarcus Robinson,WR,2016,2017.0,42.2,10.0,4.220000000000001,9.0
00-0032411,Kenneth Dixon,RB,2016,2016.0,102.4,12.0,8.533333333333333,5.0
00-0033077,Dak Prescott,QB,2016,2016.0,286.88,16.0,17.93,1.0
00-0032972,Devontae Booker,RB,2016,2016.0,142.7,16.0,8.91875,3.0
00-0033080,Seth Devalve,TE,2016,2016.0,34.7,8.0,4.3375,3.0
00-0033098,Cardale Jones,QB,2016,2016.0,1.74,1.0,1.74,10.0
00-0032778,Tajae Sharpe,WR,2016,2016.0,105.3,16.0,6.58125,6.0
00-0032940,DeAndre Washington,RB,2016,2016.0,85.2,13.0,6.553846153846154,6.0
