player_name,player_name_norm,position,draft_year,draft_round,draft_overall,draft_team,gsis_id,pfr_player_id,cfb_id,college,draft_side,hof,birth_date,first_stat_season,rookie_ppr,rookie_games,rookie_ppr_per_game,rookie_ppr_rank_pos,hs_class,recruiting_rank,recruiting_stars,recruiting_source,recruiting_match_score,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,sos_opp_win_pct,games_scheduled,off_pass_yards,off_rush_yards,off_pass_rate_proxy,team_opportunity_ppr,team_pos_carries,team_pos_targets,team_pos_receptions,team_pos_touches,incumbent_pos_ppr,incumbent_pos_ppr_sum,incumbent_pos_carries,incumbent_pos_targets,incumbent_pos_touches,cfb_final_season,cfb_pass_yards,cfb_pass_td,cfb_rush_yards,cfb_rush_td,cfb_rec,cfb_rec_yards,cfb_rec_td,ff_adp,ff_adp_rank,ff_rankings_note,vacated_touches,vacated_carries,score_draft_capital,score_pre_draft_fantasy,score_recruiting,score_timing,score_cfb_receiving,score_cfb_rushing,score_cfb_passing,score_combine_speed,score_combine_explosion,score_combine_size,score_team_context,predicted_rookie_ppr,success_score_0_100
Jadarian Price,jadarian price,RB,2026,1,32,SEA,PRI206342,PricJa02,,Notre Dame,O,False,,,,,,,2022.0,212.0,4.0,industry_composite,100.0,5-11,203.0,4.49,21.0,35.0,124.0,,,0.4982698961937716,17.0,4379.0,1627.0,0.6075819672131147,371.3,405.0,0.0,51.0,456.0,179.4,179.4,184.0,0.0,204.0,2025.0,,,674.0,11.0,6.0,87.0,2.0,67.0,68.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),252.0,221.0,1.4658522782555925,0.9143912492750905,0.5810077106684617,2.9802294685681363,-0.5878670800608553,-0.27514459297615207,,0.4405887005515294,0.3974645592075632,-0.3606030229427955,0.22575351064461427,192.00971510394294,88.8235294117647
Kaelon Black,kaelon black,RB,2026,3,90,SFO,BLA097235,BlacKa00,,Indiana,O,False,,,,,,,2020.0,2514.0,3.0,industry_composite,100.0,,,,,,,,,0.4982698961937716,17.0,4424.0,2163.0,0.5383838383838384,416.6,311.0,129.0,102.0,413.0,416.6,416.6,311.0,129.0,413.0,2025.0,,,1039.0,10.0,4.0,36.0,0.0,218.0,212.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),0.0,0.0,0.6198877793618177,-0.05558796772115228,-1.8274776035055913,2.2031757727758383,-1.160840225297959,-0.062272811222264655,,,,,-2.1224488081318222,59.90675976078618,52.352941176470594
Jonah Coleman,jonah coleman,RB,2026,4,108,DEN,COL293648,ColeJo00,,Washington,O,False,,,,,,,2022.0,515.0,3.0,industry_composite,100.0,5-8,220.0,,22.0,,,,,0.4186851211072664,17.0,3808.0,1908.0,0.5528612997090203,324.5,299.0,0.0,58.0,357.0,208.6,324.5,153.0,0.0,193.0,2025.0,,,758.0,15.0,31.0,354.0,2.0,157.0,156.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),164.0,146.0,0.35734707280857725,0.32876857676918364,-0.5044291181245941,2.9802294685681363,0.7520792983086976,0.11305417404125216,,,,-0.551727447826763,-0.27897534370846316,71.2264485824806,57.647058823529406
Mike Washington Jr.,mike washington,RB,2026,4,122,LVR,WAS797326,WashMi00,,Arkansas,O,False,,,,,,,2021.0,2041.0,3.0,industry_composite,100.0,6-1,223.0,4.33,,39.0,128.0,,,0.5363321799307958,17.0,4117.0,1357.0,0.625615763546798,247.1,266.0,0.0,55.0,321.0,247.1,247.1,266.0,0.0,321.0,2025.0,,,1068.0,8.0,28.0,226.0,1.0,195.0,189.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),0.0,0.0,0.15314874548939025,0.09583339292404235,-1.5144201079652153,2.5917026206719873,0.1696766926590681,-0.19936591333437365,,2.21953818074451,1.3775152494580893,1.0323046187198694,-1.5862543846625574,74.25182764740347,57.647058823529406
Emmett Johnson,emmett johnson,RB,2026,5,161,KAN,JOH224817,JohnEm01,,Nebraska,O,False,,,,,,,2022.0,1057.0,3.0,industry_composite,100.0,5-10,202.0,4.56,16.0,35.5,120.0,7.32,4.29,0.5121107266435986,17.0,4046.0,1790.0,0.5714285714285714,234.7,281.0,0.0,37.0,318.0,,,,,,2025.0,,,1451.0,12.0,46.0,370.0,3.0,184.5,181.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),318.0,281.0,-0.4156894520426307,0.1563409167820845,-0.863154620413989,2.9802294685681363,1.4190775025931508,0.4289015598461478,,-0.5997005630034119,0.05673809030960862,-0.6935646450828457,1.1133893991246615,81.62048090622045,60.588235294117645
Nicholas Singleton,nicholas singleton,RB,2026,5,165,TEN,,SingNi01,,Penn St.,O,False,,,,,,,,,,,,6-0,219.0,,,,,,,0.5743944636678201,17.0,3621.0,1855.0,0.5408163265306123,191.8,242.0,0.0,33.0,275.0,191.8,191.8,242.0,0.0,275.0,2025.0,,,549.0,13.0,24.0,219.0,1.0,207.5,199.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),0.0,0.0,-0.47403183127668413,0.022158794227287552,,,0.03836500996861169,-0.2151304065552111,,,,0.5781789303493918,-1.3575936939148974,51.97350575439968,48.8235294117647
Adam Randall,adam randall,RB,2026,5,174,BAL,RAN022436,RandAd00,,Clemson,O,False,,,,,,,2022.0,94.0,4.0,industry_composite,100.0,6-3,232.0,4.5,26.0,37.0,124.0,,4.53,0.5051903114186851,17.0,4189.0,3189.0,0.4626576139670223,285.5,307.0,0.0,15.0,322.0,285.5,285.5,307.0,0.0,322.0,2025.0,,,814.0,10.0,36.0,254.0,3.0,304.0,285.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),0.0,0.0,-0.6053021845533043,-0.5769501667507592,0.6591066207609867,2.9802294685681363,0.8617010344422003,-0.24292651987343994,,-0.7046223505471514,0.6816086575864841,1.9809440175376336,-1.6306166781015672,19.57503460153317,28.823529411764703
Kaytron Allen,kaytron allen,RB,2026,6,187,WAS,ALL532376,AlleKa01,,Penn St.,O,False,,,,,,,2022.0,136.0,4.0,industry_composite,100.0,5-11,216.0,,,,,,,0.5017301038062284,17.0,3932.0,2619.0,0.4995242626070409,236.3,287.0,0.0,12.0,299.0,144.3,144.3,175.0,0.0,184.0,2025.0,,,1303.0,15.0,18.0,68.0,0.0,184.0,180.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),115.0,112.0,-0.794914917063978,0.16135660930080248,0.6313087036094099,2.9802294685681363,-0.6838053819657672,0.5506376016629877,,,,0.1644412640557234,-0.34091423178443164,66.2371187158821,56.470588235294116
Demond Claiborne,demond claiborne,RB,2026,6,198,MIN,CLA041524,ClaiDe00,,Wake Forest,O,False,,,,,,,2022.0,237.0,4.0,industry_composite,100.0,5-10,188.0,4.37,,,122.0,,,0.5086505190311419,17.0,4379.0,1855.0,0.545273631840796,251.6,291.0,0.0,42.0,333.0,130.89999999999998,251.6,159.0,0.0,173.0,2025.0,,,905.0,10.0,28.0,140.0,0.0,210.5,203.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),160.0,132.0,-0.955356459957625,-0.0010396656488608346,0.5644613314115707,2.9802294685681363,-0.2287667767863053,-0.1698621310411868,,1.7748008106962652,0.19377884927211525,-1.2589969541581736,-0.13297488084290984,38.256506417962434,41.76470588235294
Eli Heidenreich,eli heidenreich,RB,2026,7,230,PIT,HEI114391,HeidEl00,,Navy,O,False,,,,,,,,,,,,6-0,198.0,4.44,16.0,35.5,120.0,,,0.5017301038062284,17.0,3607.0,2166.0,0.4835271317829457,440.4,325.0,85.0,113.0,438.0,217.1,217.1,211.0,0.0,251.0,2025.0,0.0,0.0,499.0,3.0,51.0,941.0,6.0,300.0,280.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),187.0,114.0,-1.4220954938300523,-0.5471681694552545,,,3.486190578134965,-1.0571624646134414,-0.3812772307849718,0.9965104131118334,0.05673809030960862,-0.2699695332636002,-0.44410354754859305,65.72172915004006,56.470588235294116
