hs_class,player_name,position,industry_composite_rank,industry_composite_stars,industry_composite_rating,rivals_rank,rivals_stars,rivals_rating,hometown,high_school,state,on3_person_key,source_page
2010,Robert Woods,WR,3,5,98.57983870967742,6.0,5.0,6.1,"Gardena, CA",Junipero Serra,CA,101392,industry_comparison
2010,Michael Dyer,RB,7,5,97.92392473118281,11.0,5.0,6.1,"Little Rock, AR",Little Rock Christian Academy,AR,87647,industry_comparison
2010,Marcus Lattimore,RB,12,5,97.32903225806452,10.0,5.0,6.1,"Duncan, SC",Byrnes,SC,82786,industry_comparison
2010,Keenan Allen,WR,14,5,97.18447872837775,5.0,5.0,6.1,"Greensboro, NC",Northern Guilford,NC,71833,industry_comparison
2010,Kyle Prater,WR,15,5,97.06300841514727,3.0,5.0,6.1,"Hillside, IL",Proviso West,IL,76882,industry_comparison
2010,Mike Davis,WR,17,5,96.92755960729313,34.0,4.0,6.0,"Dallas, TX",Skyline,TX,88885,industry_comparison
2010,Da'Rick Rogers,WR,19,5,96.79112903225806,9.0,5.0,6.1,"Calhoun, GA",Calhoun,GA,27757,industry_comparison
2010,Dillon Baxter,RB,20,5,96.71725105189341,17.0,5.0,6.1,"San Diego, CA",Mission Bay,CA,36973,industry_comparison
2010,Markeith Ambles,WR,23,5,96.54919354838708,24.0,5.0,6.1,"McDonough, GA",Henry County,GA,83671,industry_comparison
2010,Xavier Grimble,TE,24,5,96.32122487143523,51.0,4.0,6.0,"Las Vegas, NV",Bishop Gorman,NV,122021,industry_comparison
2010,Lache Seastrunk,RB,27,5,95.7971482000935,26.0,5.0,6.1,"Temple, TX",Temple,TX,77407,industry_comparison
2010,Darius White,WR,29,5,95.7011103319308,41.0,4.0,6.0,"Fort Worth, TX",Dunbar,TX,30451,industry_comparison
2010,Justin Hunter,WR,41,4,95.15274661056569,75.0,4.0,5.9,"Virginia Beach, VA",Ocean Lakes,VA,135670,industry_comparison
2010,Spencer Ware,RB,43,4,95.08210612435718,19.0,5.0,6.1,"Cincinnati, OH",Princeton,OH,108089,industry_comparison
2010,Savon Huggins,RB,46,4,94.96553295932678,58.0,4.0,5.9,"Jackson, NJ",St. Peter's Prep,NJ,132753,industry_comparison
2010,Storm Johnson,RB,48,4,94.89108228143992,106.0,4.0,5.9,"Loganville, GA",Loganville,GA,135672,industry_comparison
2010,Phillip Sims,QB,49,4,94.82028985507247,67.0,4.0,5.9,"Chesapeake, VA",Oscar Smith,VA,96588,industry_comparison
2010,Jordon James,RB,55,4,94.46521739130435,109.0,4.0,5.9,"Corona, CA",Corona,CA,135676,industry_comparison
2010,Gerald Christian,TE,56,4,94.46521739130435,81.0,4.0,5.9,"Palm Beach Gardens, FL",Dwyer,FL,45835,industry_comparison
2010,Ivan McCartney,WR,59,4,94.35615942028986,37.0,4.0,6.0,"Hollywood, FL",Miramar,FL,50117,industry_comparison
2010,Christian Green,WR,60,4,94.34094202898552,61.0,4.0,5.9,"Tampa, FL",Tampa Catholic,FL,22918,industry_comparison
2010,Rod Smith,RB,61,4,94.28840579710146,65.0,4.0,5.9,"Fort Wayne, IN",Paul Harding,IN,101533,industry_comparison
2010,C.J. Fiedorowicz,TE,62,4,94.25833333333334,129.0,4.0,5.9,"Mchenry, IL",Johnsburg,IL,16404,industry_comparison
2010,Jesse Scroggins,QB,66,4,94.17971014492754,124.0,4.0,5.9,"Lakewood, CA",Lakewood,CA,61318,industry_comparison
2010,D.J. Morgan,RB,67,4,94.17898550724637,68.0,4.0,5.9,"Woodland Hills, CA",Taft,CA,27613,industry_comparison
2010,Devin Gardner,QB,68,4,94.17318840579712,132.0,4.0,5.9,"Inkster, MI",Inkster,MI,36016,industry_comparison
2010,Justin McCay,WR,70,4,94.1159420289855,52.0,4.0,6.0,"Mission, KS",Bishop Miege,KS,69560,industry_comparison
2010,Brennan Clay,RB,72,4,94.0463768115942,53.0,4.0,5.9,"San Diego, CA",Scripps Ranch,CA,13853,industry_comparison
2010,Rob Bolden,QB,77,4,93.90688405797103,136.0,4.0,5.9,"West Bloomfield, MI",St. Mary's,MI,100713,industry_comparison
2010,Silas Redd,RB,78,4,93.90108695652175,44.0,4.0,6.0,"Stamford, CT",King & Low Heywood Thomas,CT,107444,industry_comparison
2010,Malcolm Jones,RB,83,4,93.77101449275364,87.0,4.0,5.9,"Thousand Oaks, CA",Oaks Christian,CA,135694,industry_comparison
2010,Chris Jones,WR,84,4,93.73840579710145,96.0,4.0,5.9,"Daingerfield, TX",Daingerfield,TX,135693,industry_comparison
2010,Curtis White,TE,86,4,93.72572463768117,97.0,4.0,5.9,"Eugene, OR",Sheldon,OR,27215,industry_comparison
2010,Blake Bell,TE,88,4,93.6894927536232,126.0,4.0,5.9,"Wichita, KS",Bishop Carroll,KS,10753,industry_comparison
2010,Kenny Shaw,WR,89,4,93.65326086956523,116.0,4.0,5.9,"Orlando, FL",Dr. Phillips,FL,73387,industry_comparison
2010,Tyler Bray,QB,91,4,93.56811594202898,131.0,4.0,5.9,"Kingsburg, CA",Kingsburg,CA,117385,industry_comparison
2010,Kadron Boone,WR,94,4,93.35978260869567,105.0,4.0,5.9,"Ocala, FL",Trinity Catholic,FL,70427,industry_comparison
2010,Braylon Heard,RB,96,4,93.28508648901357,57.0,4.0,5.9,"Youngstown, OH",Cardinal Mooney,OH,13622,industry_comparison
2010,Corey Brown,WR,97,4,93.25833333333334,118.0,4.0,5.9,"Springfield, PA",Cardinal O'Hara,PA,26069,industry_comparison
2010,Mack Brown,RB,98,4,93.12644927536232,185.0,4.0,5.8,"Lithonia, GA",Martin Luther King Jr.,GA,81169,industry_comparison
2010,T.J. Jones,WR,100,4,93.08260869565217,141.0,4.0,5.8,"Gainesville, GA",Gainesville,GA,136091,industry_comparison
2010,Jake Heaps,QB,101,4,93.04710144927539,63.0,4.0,5.9,"Sammamish, WA",Skyline,WA,53533,industry_comparison
2010,DeAndre Hopkins,WR,102,4,93.02934782608696,148.0,4.0,5.8,"Central, SC",DW Daniel,SC,33000,industry_comparison
2010,DeAndrew White,WR,103,4,93.02355072463769,73.0,4.0,5.9,"Houston, TX",North Shore,TX,33076,industry_comparison
2010,Austin Haywood,TE,104,4,93.00398550724637,139.0,4.0,5.8,"Moore, OK",Southmoore,OK,8439,industry_comparison
2010,Terrence Mitchell,WR,108,4,92.85326086956523,89.0,4.0,5.9,"Tampa, FL",Hillsborough,FL,111697,industry_comparison
2010,Christian Thomas,TE,114,4,92.65760869565219,112.0,4.0,5.9,"Palmdale, CA",Highland,CA,23203,industry_comparison
2010,Roy Finch,RB,121,4,92.325,94.0,4.0,5.9,"Niceville, FL",Niceville,FL,102584,industry_comparison
2010,Connor Wood,QB,122,4,92.3213768115942,113.0,4.0,5.9,"Houston, TX",Second Baptist,TX,25756,industry_comparison
