hs_class,player_name,position,industry_composite_rank,industry_composite_stars,industry_composite_rating,rivals_rank,rivals_stars,rivals_rating,hometown,high_school,state,on3_person_key,source_page
2015,Calvin Ridley,WR,11,5,98.1986559139785,9.0,5.0,6.1,"Pompano Beach, FL",Monarch,FL,17382,industry_comparison
2015,George Campbell,WR,12,5,98.05800607760635,26.0,5.0,6.1,"Tarpon Springs, FL",East Lake,FL,45649,industry_comparison
2015,Deon Cain,WR,13,5,98.03198924731181,17.0,5.0,6.1,"Tampa, FL",Tampa Bay Tech,FL,34378,industry_comparison
2015,Blake Barnett,QB,15,5,97.8788569424965,41.0,4.0,6.0,"Corona, CA",Santiago,CA,10743,industry_comparison
2015,Josh Rosen,QB,21,5,97.74857410004675,2.0,5.0,6.1,"Bellflower, CA",St. John Bosco,CA,67538,industry_comparison
2015,Damien Harris,RB,23,5,97.63533193080877,8.0,5.0,6.1,"Berea, KY",Madison Southern,KY,28568,industry_comparison
2015,Tyron Johnson,WR,24,5,97.59968443197756,11.0,5.0,6.1,"New Orleans, LA",Warren Easton,LA,137344,industry_comparison
2015,Kerryon Johnson,RB,26,5,97.5119798971482,47.0,4.0,6.0,"Madison, AL",Madison Academy,AL,136953,industry_comparison
2015,Christian Kirk,WR,28,5,97.4723468910706,16.0,5.0,6.1,"Scottsdale, AZ",Saguaro,AZ,22979,industry_comparison
2015,Terry Godwin,WR,29,5,97.39920523609163,10.0,5.0,6.1,"Hogansville, GA",Callaway,GA,111837,industry_comparison
2015,Soso Jamabo,RB,33,4,97.0477910238429,22.0,5.0,6.1,"Plano, TX",Plano West,TX,136904,industry_comparison
2015,Jacques Patrick,RB,34,4,97.03042309490415,18.0,5.0,6.1,"Orlando, FL",Timber Creek,FL,52472,industry_comparison
2015,Kyler Murray,QB,36,4,96.91725105189343,71.0,4.0,5.9,"Allen, TX",Allen,TX,77153,industry_comparison
2015,Ronald Jones II,RB,37,4,96.82210144927537,63.0,4.0,6.0,"McKinney, TX",McKinney North,TX,138230,industry_comparison
2015,Brandon Wimbush,QB,40,4,96.45579710144928,60.0,4.0,6.0,"Jersey City, NJ",St. Peter's Prep,NJ,13348,industry_comparison
2015,Taj Griffin,RB,43,4,96.39239130434784,70.0,4.0,6.0,"Powder Springs, GA",McEachern,GA,109859,industry_comparison
2015,Damarkus Lodge,WR,46,4,96.231884057971,61.0,4.0,6.0,"Cedar Hill, TX",Cedar Hill,TX,28455,industry_comparison
2015,Derrius Guice,RB,47,4,96.2058087891538,15.0,5.0,6.1,"Baton Rouge, LA",Catholic,LA,35279,industry_comparison
2015,Jarrett Stidham,QB,50,4,96.07533894343153,97.0,4.0,5.9,"Stephenville, TX",Stephenville,TX,57155,industry_comparison
2015,Brady White,QB,51,4,96.01159420289855,65.0,4.0,6.0,"Santa Clarita, CA",Hart,CA,11934,industry_comparison
2015,Preston Williams,WR,55,4,95.87699859747546,158.0,4.0,5.9,"Hampton, GA",Lovejoy,GA,96890,industry_comparison
2015,Deondre Francois,QB,58,4,95.76123188405798,39.0,4.0,6.0,"Orlando, FL",IMG Academy,FL,34456,industry_comparison
2015,LJ Scott,RB,60,4,95.53586956521738,57.0,4.0,6.0,"Hubbard, OH",Hubbard,OH,79581,industry_comparison
2015,Trent Irwin,WR,61,4,95.52730247779337,31.0,5.0,6.1,"Newhall, CA",Hart,CA,136942,industry_comparison
2015,Mark Walton,RB,62,4,95.46884057971013,69.0,4.0,6.0,"Miami, FL",Booker T. Washington,FL,83605,industry_comparison
2015,Ray-Ray McCloud,WR,64,4,95.43122954651706,23.0,5.0,6.1,"Tampa, FL",Sickles,FL,98928,industry_comparison
2015,Travis Jonsen,QB,73,4,94.89963768115942,49.0,4.0,6.0,"Anaheim, CA",Servite,CA,138131,industry_comparison
2015,Mike Weber,RB,75,4,94.85108695652174,59.0,4.0,6.0,"Detroit, MI",Cass Technical,MI,89472,industry_comparison
2015,Torrance Gibson,QB,76,4,94.84326788218794,,4.0,5.8,"Fort Lauderdale, FL",American Heritage School Broward,FL,114119,industry_comparison
2015,Alize Mack,TE,78,4,94.83079710144928,133.0,4.0,5.9,"Las Vegas, NV",Bishop Gorman,NV,3755,industry_comparison
2015,Daylon Charlot,WR,79,4,94.70471014492755,78.0,4.0,5.9,"Patterson, LA",Patterson,LA,32646,industry_comparison
2015,Da'Vante Phillips,WR,82,4,94.57898550724637,89.0,4.0,5.9,"Miami, FL",Miami Central,FL,27776,industry_comparison
2015,Jake Browning,QB,84,4,94.48079710144928,84.0,4.0,5.9,"Folsom, CA",Folsom,CA,53364,industry_comparison
2015,Chris Warren III,RB,87,4,94.45615942028985,159.0,4.0,5.9,"Rockwall, TX",Rockwall,TX,22628,industry_comparison
2015,Dexter Williams,RB,98,4,94.13840579710146,120.0,4.0,5.9,"Winter Garden, FL",West Orange,FL,36764,industry_comparison
2015,Johnny Frasier,RB,101,4,94.00978260869566,215.0,4.0,5.8,"Princeton, NC",Princeton,NC,64008,industry_comparison
