hs_class,player_name,position,industry_composite_rank,industry_composite_stars,industry_composite_rating,rivals_rank,rivals_stars,rivals_rating,hometown,high_school,state,on3_person_key,source_page
2020,Bryce Young,QB,2,5,99.50698924731184,2.0,5.0,6.1,"Santa Ana, CA",Mater Dei,CA,15984,industry_comparison
2020,Julian Fleming,WR,3,5,99.35430107526881,14.0,5.0,6.1,"Catawissa, PA",Southern Columbia Area,PA,68593,industry_comparison
2020,Arik Gilbert,TE,5,5,99.052688172043,9.0,5.0,6.1,"Marietta, GA",Marietta,GA,7441,industry_comparison
2020,DJ Uiagalelei,QB,12,5,98.31501870032726,3.0,5.0,6.1,"Bellflower, CA",St. John Bosco,CA,37355,industry_comparison
2020,Zach Evans,RB,13,5,98.24281206171108,13.0,5.0,6.1,"Houston, TX",North Shore,TX,122709,industry_comparison
2020,Bijan Robinson,RB,16,5,97.81935483870967,18.0,5.0,6.1,"Tucson, AZ",Salpointe Catholic,AZ,10359,industry_comparison
2020,Demarkcus Bowman,RB,21,5,97.44005376344086,26.0,5.0,6.1,"Lakeland, FL",Lakeland,FL,33810,industry_comparison
2020,Demond Demas,WR,23,5,97.393793828892,15.0,5.0,6.1,"Tomball, TX",Tomball,TX,34082,industry_comparison
2020,Darnell Washington,TE,24,5,97.39126928471248,32.0,5.0,6.1,"Las Vegas, NV",Desert Pines,NV,30551,industry_comparison
2020,Jaxon Smith-Njigba,WR,28,5,96.94257830762038,20.0,5.0,6.1,"Rockwall, TX",Rockwall,TX,58350,industry_comparison
2020,Kayshon Boutte,WR,29,5,96.85726975222065,35.0,4.0,6.0,"New Iberia, LA",Westgate,LA,71578,industry_comparison
2020,Rakim Jarrett,WR,30,5,96.75036231884059,19.0,5.0,6.1,"Washington, DC",St. John's College,DC,142832,industry_comparison
2020,Michael Mayer,TE,34,4,96.40237260402057,36.0,4.0,6.0,"Alexandria, KY",Covington Catholic,KY,88006,industry_comparison
2020,Tank Bigsby,RB,37,4,96.35582047685834,45.0,4.0,6.0,"Hogansville, GA",Callaway,GA,110029,industry_comparison
2020,C.J. Stroud,QB,39,4,96.3012739597943,51.0,4.0,6.0,"Rancho Cucamonga, CA",Rancho Cucamonga,CA,23666,industry_comparison
2020,Jordan Johnson,WR,43,4,96.11681860682562,28.0,5.0,6.1,"Saint Louis, MO",De Smet,MO,143599,industry_comparison
2020,MarShawn Lloyd,RB,46,4,95.97826086956523,33.0,5.0,6.1,"Hyattsville, MD",DeMatha Catholic,MD,84396,industry_comparison
2020,Jase McClellan,RB,47,4,95.87608695652175,65.0,4.0,6.0,"Aledo, TX",Aledo,TX,57326,industry_comparison
2020,Kendall Milton,RB,49,4,95.79531323048153,29.0,5.0,6.1,"Clovis, CA",Buchanan,CA,72773,industry_comparison
2020,Gary Bryant Jr.,ATH,50,4,95.77427536231883,46.0,4.0,6.0,"Corona, CA",Centennial,CA,45189,industry_comparison
2020,Gee Scott Jr.,WR,52,4,95.74420289855072,57.0,4.0,6.0,"Sammamish, WA",Eastside Catholic,WA,45504,industry_comparison
2020,E.J. Williams,WR,60,4,95.40108695652174,50.0,4.0,6.0,"Phenix City, AL",Central,AL,40248,industry_comparison
2020,Jalen McMillan,WR,64,4,95.05326086956522,84.0,4.0,5.9,"Fresno, CA",San Joaquin Memorial,CA,54397,industry_comparison
2020,Marcus Rosemy-Jacksaint,WR,65,4,94.97210144927536,71.0,4.0,5.9,"Fort Lauderdale, FL",St. Thomas Aquinas,FL,82969,industry_comparison
2020,Harrison Bailey,QB,66,4,94.95895278167367,30.0,5.0,6.1,"Marietta, GA",Marietta,GA,141634,industry_comparison
2020,Hudson Card,QB,67,4,94.95398550724639,108.0,4.0,5.9,"Austin, TX",Lake Travis,TX,48300,industry_comparison
2020,Josh Downs,WR,68,4,94.87173913043478,53.0,4.0,6.0,"Suwanee, GA",North Gwinnett,GA,67032,industry_comparison
2020,Xzavier Henderson,WR,71,4,94.81594202898552,106.0,4.0,5.9,"Miami, FL",Columbus,FL,122264,industry_comparison
2020,Mookie Cooper,WR,73,4,94.75978260869564,58.0,4.0,6.0,"Saint Louis, MO",Pattonville,MO,90350,industry_comparison
2020,Theo Johnson,TE,74,4,94.75797101449275,107.0,4.0,5.9,"Windsor, ON",Holy Names High School,ON,144079,industry_comparison
2020,Jermaine Burton,WR,75,4,94.73442028985507,127.0,4.0,5.9,"Calabasas, CA",Calabasas,CA,60695,industry_comparison
2020,Chris Tyree,RB,77,4,94.66039036933147,78.0,4.0,5.9,"Chester, VA",Thomas Dale,VA,22596,industry_comparison
2020,Jahmyr Gibbs,RB,79,4,94.6199275362319,70.0,4.0,5.9,"Dalton, GA",Dalton,GA,53035,industry_comparison
2020,Arian Smith,WR,80,4,94.60937353903695,148.0,4.0,5.8,"Lakeland, FL",Lakeland,FL,7411,industry_comparison
2020,Malachi Wideman,WR,82,4,94.5771739130435,56.0,4.0,6.0,"Venice, FL",Venice,FL,81465,industry_comparison
2020,Quentin Johnston,WR,84,4,94.53514492753624,80.0,4.0,5.9,"Temple, TX",Temple,TX,144210,industry_comparison
2020,Ja'Quinden Jackson,QB,85,4,94.50289855072464,180.0,4.0,5.8,"Duncanville, TX",Duncanville,TX,141932,industry_comparison
2020,Roydell Williams,RB,86,4,94.50072463768116,90.0,4.0,5.9,"Hueytown, AL",Hueytown,AL,102648,industry_comparison
2020,Luke Doty,QB,90,4,94.47173913043478,99.0,4.0,5.9,"Myrtle Beach, SC",Myrtle Beach,SC,80615,industry_comparison
2020,A.J. Henning,WR,98,4,94.09492753623189,112.0,4.0,5.9,"Frankfort, IL",Lincoln-Way East,IL,131,industry_comparison
2020,Zavier Betts,WR,106,4,93.93550724637682,59.0,4.0,6.0,"Bellevue, NE",Bellevue West,NE,123631,industry_comparison
2020,Wesley Steiner,ATH,108,4,93.85797101449276,220.0,4.0,5.8,"Warner Robins, GA",Houston County,GA,120497,industry_comparison
2020,Kobe Hudson,WR,109,4,93.79420289855072,117.0,4.0,5.9,"LaGrange, GA",Troup County,GA,142724,industry_comparison
2020,John Humphreys,WR,110,4,93.66050724637682,114.0,4.0,5.9,"Newport Beach, CA",Corona Del Mar,CA,143534,industry_comparison
2020,Ethan Garbers,QB,112,4,93.62717391304349,85.0,4.0,5.9,"Newport Beach, CA",Corona Del Mar,CA,42937,industry_comparison
2020,Johnny Wilson,WR,115,4,93.52608695652175,104.0,4.0,5.9,"Calabasas, CA",Calabasas,CA,64116,industry_comparison
2020,Blake Corum,RB,118,4,93.42101449275363,105.0,4.0,5.9,"Laurel, MD",St. Frances Academy,MD,10804,industry_comparison
2020,Elijhah Badger,WR,121,4,93.22318840579712,132.0,4.0,5.9,"Sacramento, CA",Folsom,CA,41450,industry_comparison
2020,Jaylan Knighton,RB,123,4,93.20724637681158,144.0,4.0,5.8,"Deerfield Beach, FL",Deerfield Beach,FL,58777,industry_comparison
