hs_class,player_name,position,industry_composite_rank,industry_composite_stars,industry_composite_rating,rivals_rank,rivals_stars,rivals_rating,hometown,high_school,state,on3_person_key,source_page
2013,Christian Hackenberg,QB,10,5,98.29784946236558,24.0,5.0,6.1,"Fork Union, VA",Fork Union Military (HS),VA,22925,industry_comparison
2013,Derrick Henry,RB,13,5,98.22393641888733,36.0,4.0,6.0,"Yulee, FL",Yulee,FL,35100,industry_comparison
2013,Laquon Treadwell,WR,16,5,98.07204301075268,5.0,5.0,6.1,"Crete, IL",Crete-Monee,IL,78153,industry_comparison
2013,Max Browne,QB,18,5,98.01290322580644,7.0,5.0,6.1,"Sammamish, WA",Skyline,WA,86571,industry_comparison
2013,Kelvin Taylor,RB,20,5,97.93805516596541,38.0,4.0,6.0,"Belle Glade, FL",Glades Day School,FL,72556,industry_comparison
2013,O.J. Howard,TE,23,5,97.61005142589994,16.0,5.0,6.1,"Prattville, AL",Autauga Academy,AL,136381,industry_comparison
2013,Robert Foster,WR,24,5,97.48754090696585,46.0,4.0,6.0,"Monaca, PA",Central Valley,PA,101046,industry_comparison
2013,Thomas Tyner,RB,25,5,97.38648901355774,17.0,5.0,6.1,"Beaverton, OR",Aloha,OR,112488,industry_comparison
2013,Robbie Rhodes,WR,30,5,96.9616760168303,69.0,4.0,6.0,"Fort Worth, TX",Southwest,TX,100852,industry_comparison
2013,Keith Ford,RB,34,4,96.89608461898084,48.0,4.0,6.0,"Cypress, TX",Cy Ranch,TX,72082,industry_comparison
2013,Derrick Green,RB,35,4,96.88605656848995,8.0,5.0,6.1,"Richmond, VA",Hermitage,VA,35084,industry_comparison
2013,Ricky Seals-Jones,TE,38,4,96.60635811126694,40.0,4.0,6.0,"Sealy, TX",Sealy,TX,100346,industry_comparison
2013,Ryan Green,RB,40,4,96.57379616643291,72.0,4.0,6.0,"Saint Petersburg, FL",St. Petersburg Catholic,FL,103216,industry_comparison
2013,Greg Bryant,RB,41,4,96.55942028985507,19.0,5.0,6.1,"Delray Beach, FL",American Heritage School Palm Beach,FL,46750,industry_comparison
2013,Alvin Kamara,RB,44,4,96.31485507246376,45.0,4.0,6.0,"Norcross, GA",Norcross,GA,136689,industry_comparison
2013,Derrick Griffin,WR,45,4,96.2804347826087,43.0,4.0,6.0,"Rosenberg, TX",B. F. Terry,TX,35085,industry_comparison
2013,Jalin Marshall,WR,46,4,96.14347826086956,35.0,4.0,6.0,"Middletown, OH",Middletown,OH,54660,industry_comparison
2013,Taquan Mizzell,RB,47,4,96.05726975222066,29.0,5.0,6.1,"Virginia Beach, VA",Bayside,VA,110244,industry_comparison
2013,Alex Collins,RB,48,4,96.0563697989715,117.0,4.0,5.9,"Fort Lauderdale, FL",South Plantation,FL,2915,industry_comparison
2013,Adam Breneman,TE,52,4,95.94927536231886,78.0,4.0,6.0,"Camp Hill, PA",Cedar Cliff,PA,1075,industry_comparison
2013,Ty Isaac,RB,55,4,95.79846891070592,27.0,5.0,6.1,"Joliet, IL",Joliet Catholic Academy,IL,136297,industry_comparison
2013,Steven Mitchell Jr.,WR,60,4,95.69565217391305,54.0,4.0,6.0,"Mission Hills, CA",Bishop Alemany,CA,109023,industry_comparison
2013,Damore'ea Stringfellow,WR,61,4,95.69239130434782,85.0,4.0,6.0,"Moreno Valley, CA",Rancho Verde,CA,28777,industry_comparison
2013,Tyren Jones,RB,63,4,95.67572463768117,79.0,4.0,6.0,"Marietta, GA",Walton,GA,135746,industry_comparison
2013,Altee Tenpenny,RB,66,4,95.53876811594203,53.0,4.0,6.0,"North Little Rock, AR",North Little Rock,AR,4030,industry_comparison
2013,Demarcus Robinson,WR,67,4,95.51557971014495,52.0,4.0,6.0,"Fort Valley, GA",Peach County,GA,33742,industry_comparison
2013,Ezekiel Elliott,RB,70,4,95.39746376811594,84.0,4.0,6.0,"Saint Louis, MO",John Burroughs School,MO,43554,industry_comparison
2013,Shane Morris,QB,71,4,95.35036231884057,81.0,4.0,6.0,"Warren, MI",De La Salle Collegiate,MI,106476,industry_comparison
2013,James Quick,WR,74,4,95.14565217391305,76.0,4.0,6.0,"Louisville, KY",Trinity,KY,55837,industry_comparison
2013,Stacy Coley,WR,75,4,95.13623188405799,111.0,4.0,5.9,"Fort Lauderdale, FL",Northeast,FL,108129,industry_comparison
2013,ArDarius Stewart,WR,77,4,95.1300724637681,66.0,4.0,6.0,"Birmingham, AL",Fultondale,AL,7372,industry_comparison
2013,Marquez North,WR,81,4,94.86195652173912,37.0,4.0,6.0,"Charlotte, NC",Mallard Creek,NC,84067,industry_comparison
2013,DeSean Smith,TE,82,4,94.83115942028985,68.0,4.0,6.0,"Lake Charles, LA",Barbe,LA,35341,industry_comparison
2013,Dontre Wilson,RB,86,4,94.61340579710146,100.0,4.0,5.9,"DeSoto, TX",DeSoto,TX,38488,industry_comparison
2013,Henry Poggi,RB,90,4,94.4677536231884,70.0,4.0,6.0,"Baltimore, MD",Gilman,MD,48022,industry_comparison
2013,Hunter Henry,TE,92,4,94.42210144927539,102.0,4.0,5.9,"Little Rock, AR",Pulaski Academy,AR,48480,industry_comparison
2013,Marcus Baugh,TE,93,4,94.39746376811594,148.0,4.0,5.9,"Riverside, CA",John W. North,CA,82495,industry_comparison
2013,Tarean Folston,RB,94,4,94.3677536231884,119.0,4.0,5.9,"Cocoa, FL",Cocoa,FL,110259,industry_comparison
2013,Hayden Rettig,QB,95,4,94.36557971014491,73.0,4.0,6.0,"Los Angeles, CA",Cathedral,CA,47832,industry_comparison
