hs_class,player_name,position,industry_composite_rank,industry_composite_stars,industry_composite_rating,rivals_rank,rivals_stars,rivals_rating,hometown,high_school,state,on3_person_key,source_page
2019,Jadon Haselwood,WR,3,5,98.86182795698926,4.0,5.0,6.1,"Ellenwood, GA",Cedar Grove,GA,52747,industry_comparison
2019,Trey Sanders,RB,10,5,98.20645161290322,3.0,5.0,6.1,"Bradenton, FL",IMG Academy,FL,116221,industry_comparison
2019,John Emery Jr.,RB,12,5,97.96856007480132,36.0,4.0,6.0,"Destrehan, LA",Destrehan,LA,63140,industry_comparison
2019,Spencer Rattler,QB,15,5,97.8483870967742,13.0,5.0,6.1,"Phoenix, AZ",Pinnacle,AZ,108040,industry_comparison
2019,Bru McCoy,WR,19,5,97.6252688172043,12.0,5.0,6.1,"Santa Ana, CA",Mater Dei,CA,15293,industry_comparison
2019,Garrett Wilson,WR,22,5,97.24677419354839,32.0,4.0,6.0,"Austin, TX",Lake Travis,TX,45104,industry_comparison
2019,Theo Wease Jr.,WR,23,5,97.24074333800841,11.0,5.0,6.1,"Allen, TX",Allen,TX,112161,industry_comparison
2019,George Pickens,WR,25,5,97.10647498831229,7.0,5.0,6.1,"Hoover, AL",Hoover,AL,45750,industry_comparison
2019,Jerrion Ealy,RB,26,5,97.03004908835906,58.0,4.0,6.0,"Flowood, MS",Jackson Prep,MS,61051,industry_comparison
2019,Bo Nix,QB,32,5,96.60855539971948,29.0,5.0,6.1,"Pinson, AL",Scottsboro,AL,11186,industry_comparison
2019,Kyle Ford,WR,34,4,96.5253038803179,65.0,4.0,6.0,"Orange, CA",Orange Lutheran,CA,76595,industry_comparison
2019,Dominick Blaylock,WR,35,4,96.47934782608696,55.0,4.0,6.0,"Marietta, GA",Walton,GA,37580,industry_comparison
2019,Jordan Whittington,WR,38,4,96.23478260869565,33.0,4.0,6.0,"Cuero, TX",Cuero,TX,66198,industry_comparison
2019,Joseph Ngata,WR,40,4,96.13252688172042,27.0,5.0,6.1,"Folsom, CA",Folsom,CA,62353,industry_comparison
2019,Zach Charbonnet,RB,42,4,96.01340579710147,60.0,4.0,6.0,"Westlake Village, CA",Oaks Christian,CA,122635,industry_comparison
